,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.014337207665314428,,,,,,,,0.07526823339975483,,-0.047959429050879694,
BMP1,-0.08416726553983818,0.0440903536099781,-0.02204123560527224,0.02105910619378708,0.09995772887541192,0.0553196102528436,-0.0041214643806112995,-0.015069134641544463,-0.07982356228035585,-0.007416096124156973,0.042820675697905895,0.051080946171583506,-0.0514511512892781,0.027050595622344693,0.0005188148482236553,0.25534619103293893,0.14382967822946538
NDP,0.002323835382378515,0.009410570434795436,0.027056560526104816,-0.03773033733128714,0.033633102053683035,0.04455961547391637,-0.011090371171001843,0.0038216802734015645,0.03975916724236038,0.020801496984065613,-0.13948167652582075,-0.0989955109760355,-0.026889334130487764,0.0076883874479409375,-0.03447467722345257,-0.05405877818288842,0.012280006380050633
TNFSF18,-0.021661459980979767,-0.033126287514111334,-0.0035219679460733832,,,0.032414208743072354,,,,,-0.047829179071119034,,,-0.022362514214549236,,0.08996066795839439,-0.008849667873074419
IL36G,,,,,,,,,,0.16920379838762914,,,,,,,
RTN4,-0.008686019888040563,-0.02683167735267014,0.0020537064465466835,-0.0005013237387611839,0.08871697187931862,-0.024644083914091126,-0.031517401429507125,0.021534223836122236,-0.020534948915448988,0.020651883046333742,0.09028957048806387,-0.08554799254865944,-0.007305575883939775,-0.04974397286719582,-0.028964406207931653,-0.02204418133023561,0.009856066790780183
HEBP1,-0.012856676819982012,0.05695996411372567,-0.012338670239027995,-0.0035109370087040115,0.009331964085462899,0.04081388905645902,0.026806234886964427,-0.011890107812627074,-0.008720528967540928,0.02778026770091607,0.07720080075532591,0.020775928790214147,-0.024522261277274346,0.03534205109515725,0.09450789849298108,-0.02296644037749464,0.025859270259172073
WNT7B,0.005570570278596688,-0.023982463028734097,-0.01701862024144157,-0.024648098341825846,-0.03197245429131868,0.024871974690877867,0.021300830627432717,,0.04698084086695929,-0.016173004793366672,,0.0593036345699663,-0.01355487201780062,0.03806986940869859,0.0025552813529523847,0.10472762343616343,0.029055917059478156
PTMA,-0.020375274704163338,-0.010714992132079536,0.005620734031561094,-0.04879387597985932,0.051283557203953466,-0.03421466464742447,-0.00791937058950438,-0.017953308144996797,0.032033111573951896,0.0033375740293586148,0.05366456415564597,-0.07514426195432287,0.040974587170854414,-0.08282242516240908,-0.039578635626011355,0.2151135970575204,0.08571194867947109
FASLG,-0.019083073182184496,,,,,,,,,,,,,,,0.07147103214983033,
CEACAM1,-0.02649701412255062,0.0390567595451303,-0.013060767434224829,-0.008068411100600761,-0.0229524523906028,-0.013600344712337065,,,,,-0.033632030186094286,-0.029370492105043822,-0.024485766785689502,0.12535637845031633,0.00473870344711527,-0.01290979937864713,
