,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.059665484493566776,,,,,,,,0.1084302708587912,,0.013963790519050032,,
BMP1,-0.017392012125588673,-0.004565548804754628,-0.04967977146785229,0.04776822185320893,-0.06032558647748215,0.019251905672558554,-0.05736073001248575,0.021252951763385916,0.052019554472044316,-0.029526466926536692,0.010936181585712319,-0.05206754384988233,-0.06755847660578988,0.09242151271340256,0.0016200397138984566,0.02470566333040171,0.06537845893179292,-0.05920602401335148,0.05208829273182772,0.12792439363293828,0.03319034366184464
NDP,-0.019746232216359943,0.14633545765620315,-0.0743599121760575,0.024056594850526893,-0.027236377359360374,0.010931505628375592,0.010643815442699347,0.004543989142563539,0.03834920412976135,0.006695066262518961,0.04772654889951731,0.01714274680917751,0.09051317457606947,0.1499988571509907,-0.013237564540663242,-0.007027241492289858,0.06678617986920461,0.03423050588189549,0.14221176689786372,0.10093674645576138,0.11167221428908093
TNFSF18,0.1129024125033946,0.008828165968002568,-0.028201999705800243,-0.04964951775042208,,,,-0.012582390346187208,0.05130582363405348,,,,-0.006909194250527898,,,,-0.03151068652568364,,0.01727461874654432,-0.0184332254669323,
IL36G,,,,,,,,,,,-0.018234105086043104,,,,,,,,,,
RTN4,0.014789825748374341,-0.10058129272918703,0.00676126516689294,-0.013153193367770492,0.001416409126074508,0.011917770275216993,-0.07804886363195293,-0.0285233613654748,-0.07375617399978994,-0.07018323734139446,-0.014272917399483585,0.028698522916028597,0.05431737898755404,-0.10236998858086648,-0.0007838426133772416,-0.04441549649515554,0.02818585183344622,-0.05348494512102498,-0.004619558775796635,-0.16082792213298183,0.012926056792512705
HEBP1,0.013791800879421357,0.11242994714877128,0.041173452691986474,0.02279786448897015,0.03864384664987627,0.023416781449715762,0.02710771129896194,-0.04425018740632617,-0.020708006076895186,0.017809456139735766,0.06131231076789974,0.03626548758078681,-0.12370526958471863,0.01645811475221377,-0.0005294881777913314,0.017206265651479223,0.0994120597411873,0.00808532311340873,0.15475150426223752,0.0461785847316828,0.08027916293524472
WNT7B,-0.018178435990945502,-0.09241927309981797,0.03704176912117676,-0.0010658856915469926,0.031397200388218395,-0.005720834963883396,-0.03357282579789255,0.042653919841561104,-0.004764807673543256,-0.00440567102883028,-0.020041382813349846,0.030743468577915288,,0.014833130983678177,0.04367968030457594,0.0221545077096596,0.055078369185010384,0.039397670383351145,0.05743616309069862,0.05797246273816536,0.08806860676484288
PTMA,-0.022561794898356174,-0.014654087353923569,0.008599366687234345,-0.010999605014545439,-0.09385749764606333,-0.02027154443098899,-0.02056171245776293,-0.000294997659922905,-0.015602912913891844,0.06202466076291886,0.06008787200852297,-0.025266439747419118,0.0034316500589373464,-0.31138605575802747,-0.05123666399762167,0.025176304586530775,0.014787315207272963,0.004969343217991072,-0.10626899342699785,0.08242132279018485,0.0667849228004913
FASLG,0.032042062746308435,,,,,,,,,,,,,,,,,,0.06835295859047211,,
