,UKF251,UKF259,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.020328324891973927,-0.0005829484261115737,0.05188536796491362,0.032011750973146846,0.025584522017456337
NDP,0.027264191317802233,-0.026613851101198148,-0.03724623456342912,0.06239955383256245,0.06232033986992499
TNFSF18,-0.03435514601301066,,-0.033124155643146413,,
RTN4,-0.03042982061564576,0.028904140670413348,0.06089283612082857,0.013043737280737138,-0.04928451570771237
HEBP1,-0.015443443100793217,-0.07996902431781194,0.10230089242739686,0.0005907320875273221,-0.011228001762700817
WNT7B,-0.021340351736476634,-0.03280664696590968,,0.039259099021741774,-0.007375571076589177
PTMA,0.01162221045441131,-0.02416258551733338,-0.004229823479975773,-0.02362644586561697,-0.011242343377390841
CEACAM1,-0.016377436422017964,-0.021497285798936276,-0.03644311715017155,-0.014947343419937384,-0.015355404251449845
PDAP1,-0.021810052148011703,-0.012157949657697058,-0.1308790664721151,-0.014707345183742542,0.06963744530172514
QDPR,0.002260282986901241,0.053766859474793656,0.03904464462508833,0.01329464808494195,-0.07836393159294705
POMC,-0.018018290378871003,0.01755378074289976,-0.035130172345214344,-0.009058619082595086,-0.025119424182995075
CCL18,,,,-0.02526452237409125,0.06752265302950029
CCL17,,0.05922121106802094,,-0.021577428612437718,
VEGFD,0.07512201504268791,-0.011921498976403488,0.06856389394589231,-0.014947343419937384,
TNFSF13,,-0.01514547011284411,,0.029097840462644575,0.003982590961966808
WNT5A,-0.021341187904856528,0.005910647702429329,-0.07567064195473905,0.05724554083174684,0.019712395197308802
CXCL8,-0.021964111392336186,-0.011084211632560367,-0.05523721247824192,-0.09051057706330443,-0.03063065077631815
GRN,-0.01525148453936133,-0.016319471934117823,0.019068054657758467,0.03871084649078912,-0.0076877369242724525
MIA,0.03968909145843585,0.04766632592006596,0.07632705013048612,0.02513500100668823,0.0019310676830487426
COL4A4,0.04368721994583579,0.02905670286568933,-0.038793629523795586,0.11058725511666345,0.1263469772789395
TAC1,-0.00922371330914289,0.055638035601227445,,,0.030112705991120724
RARRES2,0.03212171232364457,0.03466213857901398,0.10010504010009369,-0.04322508664791474,-0.024517234322328503
FGF7,-0.014279833159512676,-0.015448578565147798,-0.049766667635534785,0.02591199353366712,-0.05133780866958139
EFNA2,,,,-0.014206449598433193,
HBEGF,0.042575628272582045,-0.02074418840395765,0.01075636363513773,0.004893142717832665,0.06106143499864161
CSF3,,-0.026170869116142564,,-0.06713492297140675,-0.00507470762437578
