,UKF266,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01971268834415887,,-0.017544612964366595,
BMP1,0.009446990284604299,0.036944873714372245,-0.061936416606345315,-0.010333122497668054,-0.07918958230330425,0.04533212241933106,0.06628203562464989
NDP,0.06437596523052885,0.0172558354816984,0.037301345741821125,-0.012083731852267026,0.04583878514336066,-0.023661350164190114,0.00524640387621355
TNFSF18,-0.012582398283131197,,,-0.02032934753994843,,-0.01566512846551813,-0.03256831954219495
RTN4,-0.026828792200920507,-0.11099022393973815,-0.02031704592259197,0.0032633072998011223,-0.05107032490521848,-0.0008463841122314158,-0.05188353721094267
HEBP1,-0.011877893260201403,0.027870089551888605,-0.024728533226515616,-0.06664250801496843,0.046622168352710575,0.05116062452164378,0.039057981071658386
WNT7B,-0.030644752888200795,0.0019166649200569482,-0.037322509765364546,0.0942311441563739,0.0548888531663978,0.07297652168979236,0.002123928464372192
PTMA,0.04827994798915421,-0.11590768329399806,0.06372543229365835,-0.0804346594955975,0.07890404958168838,0.0217896048760221,-0.008588505773165904
FASLG,,,,,,0.01191730311317243,
CEACAM1,,0.03807921851828149,-0.01808101838533478,-0.029211150002295967,-0.01351765766452986,-0.02117143697308909,
PDAP1,0.02423233477083985,0.005435951888798371,0.018203369378205474,0.01661055938447666,0.028169086962301516,0.007560869913295606,-0.0008236753716033431
QDPR,0.037359613339288326,0.09072055758414588,-0.0490628810097846,-0.029198818858620947,0.04049104795619297,-0.054514436572052696,-0.049390594564564703
POMC,0.012168263834881132,0.11112394973130386,0.02583967546270269,-0.04322235272358232,0.1198080005689193,-0.039371678489276155,0.03295754829419624
CCL18,,-0.04298076011111223,-0.03399916476327361,,-0.001086960203354348,,
CCL17,,,-0.026101085155329187,0.014061267483897244,,0.046056736514040374,
VEGFD,,0.00019899005845790897,-0.01808101838533478,-0.02741147131782963,,,
TNFSF13,-0.01220230149828835,,0.000136996580727135,0.04453903622383401,-0.015179423569579693,0.0512642907562471,0.05101210752522769
WNT5A,0.04833665614609358,0.0006525638681781657,-0.0082700083041021,0.0220831866175586,-0.021235329796498267,0.019272028574404944,0.02240545566817172
CXCL8,-0.0173569824503437,-0.11902745292398097,0.01722322595873536,0.04938951679949103,-0.007503750412321641,-0.0338900981579535,0.020675782968203566
GRN,0.0065377641397699774,-0.0008121469481787504,-0.05959319506130155,0.008277246742147894,0.0024668584550648315,0.03763682350819638,-0.026185576826511778
MIA,-0.00441582404891897,0.005310535232862927,0.050074184326666105,-0.0409315214999957,-0.0009023555223458217,0.011793119010032804,0.035664190320503004
COL4A4,-0.011609950772866771,,-0.02895053756329575,-0.040035557066861696,-0.027242752328947763,-0.01863603962623474,-0.01457708302663219
TAC1,-0.012559093967965406,,,,-0.02332181041532054,-0.018130974453266203,-0.08436792701246688
RARRES2,0.011455056457271386,0.007545649388396844,-0.013328432132774024,0.03136381980067816,0.013431517467169207,0.011974970304956069,0.03888102237567905
FGF7,0.022719697797484544,0.056387150633720996,0.08006044975911994,-0.015598412305814394,-0.0274961729382484,0.0114369362056905,0.0070305218792813704
EFNA2,,,-0.017184797937871858,,,,
HBEGF,0.016218232897193187,0.04050660919787439,0.0290991217075031,0.042275685612865474,0.014072780772874027,0.0628876182514671,0.05028944986209802
CSF3,,,-0.05929376489654055,,0.0195729637338396,-0.014520838741208469,0.15804754605703228
PI3,,0.06766850662321144,0.003451868052603787,-0.02208277860572516,0.00961632548644628,0.05993838756518346,0.04857382718823853
PCSK1N,-0.05585259675121743,0.009439650434380135,0.05457771584773997,-0.012509096782651764,-0.043795185085183486,-0.049605312178441746,-0.06512645679393352
NTS,-0.014173112017911353,,-0.020936415241202374,,0.042660602020016314,-0.0023055657602539027,
SFRP1,0.09246775004858333,0.02602831653406573,0.06047787181299072,0.05458406240632822,0.02389848033660811,0.05881110239573534,-0.03237472850865997
CXCL13,,,-0.02348549960248261,,-0.008463993159083121,,0.10178470189368864
