,ZH1007nec
BMP1,-0.05218003391987751
NDP,-0.03046794768718241
RTN4,-0.07097011344560607
HEBP1,-0.0400068867945753
WNT7B,-0.015926867450300603
PTMA,0.041026122693325576
CEACAM1,0.009204124214204436
PDAP1,-0.13258936072490263
QDPR,-0.009755479610201956
POMC,-0.040070979586270795
CCL18,-0.03582813751862242
VEGFD,-0.04036440183288328
WNT5A,-0.008356797102311358
CXCL8,-0.03472640118506486
GRN,-0.08667666642566477
MIA,0.10721451735627009
RARRES2,0.04246436738774332
FGF7,-0.07124315467291488
HBEGF,-0.021861356253333058
PI3,-0.01865411520467594
PCSK1N,-0.0614184077213145
SFRP1,0.010151155444368879
MICA,-0.04699926956074092
TG,0.05982973153331348
ADA,0.06789874181178378
LAMC3,0.02540754770175129
HMGB1,-0.07495570220848989
ITGB3BP,0.05421288416175967
AANAT,0.1643600607729629
IL15,0.005498793190607772
UTS2,-0.10724414779703328
BSG,-0.06219984146468662
ADAMTS3,-0.08792616320563643
CD34,0.0109479630672979
PLAT,-0.05167983539729894
CKLF,-0.04116523822580714
CD24,0.08020220172211878
HSP90AA1,-0.05612365225301953
BMP4,0.08072935449641026
SCGB3A1,-0.013656848489669405
IGFBP4,-0.04818341580558224
LEFTY2,-0.008619499085302317
ANGPTL2,0.04248663968688633
LRIG2,0.018102702593015076
ICOSLG,0.12479907988692149
NPPC,0.11345978933868318
LYZ,-0.012479451845936922
SPTAN1,-0.001055500375216452
LIPC,0.08101102859982365
COL8A1,-0.015729094198257153
GSTM2,-0.0288313593958896
IL4,-0.03475255287679602
MFGE8,0.04369899528889016
TGFA,0.018840842373373846
SLIT2,-0.08698166466196905
PLTP,-0.09018287088900717
APOD,0.08803049781515865
B2M,-0.0017276923307212796
OMG,0.01730030620647026
CXCL3,0.026417896508448366
CXCL10,-0.04585628419473212
NCAN,0.017352998566788878
TGM2,-0.09729051654791669
VEGFC,-0.010921842504674288
WNT6,0.059938676268618124
COL9A1,-0.013289765902285772
GDF11,0.03798793133532073
SORBS1,0.012026853213031333
DLL1,-0.05116668481127631
TLN1,0.0019565963866875966
SHH,-0.03456297317693538
PON2,0.0764279190978456
HPX,0.07317671076968418
SFRP2,-0.03475257333160233
HP,0.08216979165966731
CXCL2,0.03869347748856473
SEMA6A,-0.11343848463861457
IRAK4,-0.029153864410562755
GSTP1,0.03801893385486906
VCAM1,-0.051210877064995136
NXPH3,-0.07584660755824
MTMR4,0.05045166641283459
IL10,0.10236208240671807
SEMA4D,0.0024467311835771324
TRH,-0.003945206599474242
SEMA6D,-0.07589350826153243
CEL,-0.04451419389129978
PDCD1LG2,0.010073385701722169
SPINT1,0.006597687310340762
CTHRC1,-0.030111927606294858
PODXL,-0.08614793974928818
JAM3,-0.06454392758043205
TGFB2,0.032708259671910045
COL18A1,-0.02654567871987482
NODAL,0.022877667182896643
INHBB,0.090686599079994
ARF4,0.053004850199552166
CXCL14,-0.04583071054978482
LIF,-0.014544317122038719
IL17B,0.0016476662630456492
MMP1,-0.022454641923766387
ADAM28,0.00528817124395152
TCN2,0.022061697326886513
THPO,0.10434860681056492
CUBN,0.000994004716974101
TIMP3,-0.028529068263783423
PIGF,0.024339686576098096
BDNF,-0.04621016889508534
CCL5,-0.058942398982353005
GAD1,0.03270257532242608
COL14A1,0.10827914157760464
HLA-A,-0.015297710274698725
ADM,0.056035452896943526
