,UKF259,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk
IGFL3,,-0.013609677440586176,,,,,,,
BMP1,-0.06734759272260536,0.09476065903443852,-0.06966282198361198,-0.00788761823087952,-0.08050588849509292,-0.009619325775007456,0.039232372888340514,0.028113587114877492,0.012085098435307999
NDP,0.023561413755533923,0.03469029662263281,0.013815234511284788,0.05012939783558091,-0.08236529591838228,-0.004051424821528723,0.0171567816958515,0.041403899584352574,0.042283114087478764
TNFSF18,,-0.020209962425557546,-0.01598750147476276,,,-0.02957540999553295,,,
IL36G,,,,-0.0180810445773501,,,,,
RTN4,-0.022603957764406327,-0.05851098505060945,0.0042916009555789185,0.017057220289096398,-0.028226221014448383,0.0476292737016783,-0.01538494209781665,-0.0519269173276963,0.005077375718060965
HEBP1,0.030876702170047236,0.03646198292004597,-0.0312744532206222,0.035747396877046714,0.004595696725240257,-0.010932750090685813,0.012931250501814064,0.0033274133042871523,0.018217436355654208
WNT7B,0.007896091108799432,-0.020665741477486545,-0.03907773678969888,-0.002389970262857757,-0.04220954880855992,,0.05059700623237432,-0.020447065433060196,0.05526019823049049
PTMA,0.035377970451582634,0.004182737922573195,-0.018678719399487037,0.002028081561823736,-0.0005242937789144734,0.005493514277144737,-0.11305462072173515,-0.01132359995314284,-0.029701113531301313
CEACAM1,0.010556890776254933,0.0040604084116978205,-0.025144531052777235,,-0.03620541044808733,0.10529272672613807,-0.030154044104489405,0.02778904935083111,-0.017888128215134958
PDAP1,0.013592225669579473,0.04388393992374806,0.06650504870350689,-0.031398596749925026,-0.019615316427946058,-0.053007521339685656,0.05611048272454735,-0.007134065352072663,-0.025247424186375142
QDPR,0.022104679742899005,-0.014744946885342926,-0.006424686932655967,-0.037180191076997667,-0.12736919007194664,3.764106533832436e-05,-0.09276546953299905,-0.012303961022911088,-0.020301689543318298
POMC,0.029741928493155587,-0.023305598983411457,0.05637390511105399,0.0178076460585015,-0.052288931641176505,-0.018990310014037177,0.0031875804572927915,-0.001963292094780029,0.09364787140106424
CCL18,,,,,-0.06223821381157077,,-0.02137971305012635,-0.034337500722185596,-0.043681624556175934
CCL17,-0.02841700660257443,,-0.019939527009957377,-0.016517547542090824,,,,-0.013311998947282532,0.05843004914639568
VEGFD,0.041836080623678475,0.04332824221638513,-0.021243879520711547,-0.01770236730442121,-0.052268224854946255,0.07718773563738991,,,0.076263623385284
TNFSF13,-0.019601415163068257,,,,,,,-0.025543726486917263,0.03124682829088728
WNT5A,0.03459896840882448,0.01099803337745643,0.029250716222418392,-0.001209387448598593,0.05175282470252034,-0.008287805963933111,0.055930467522708735,0.0012634666437673031,0.0771678910655756
CXCL8,0.0712617789246015,-0.0009956129155401778,-0.023725212476250698,0.0270448246435727,0.2143310524270986,-0.018714012657315843,0.09240923212719852,-0.00011095360844336011,-0.08656454577513556
GRN,-0.058804656996145545,0.05309511742397598,0.029068583983617013,0.04287394878276184,0.011187794254479385,0.001368621388911018,0.012600058187741903,-0.0634579119661052,0.028808958312056977
MIA,0.07862728352234356,0.05366796400008341,0.10962767983423988,-0.024244203279709088,0.036216451370462706,-0.013531222072792606,0.05286061164910758,0.03877113147515166,0.01923656238728254
COL4A4,0.0004905563746589644,-0.013411326937115046,0.007049228681603059,0.07990550375535847,,-0.036241372183826254,0.07810690924854707,0.10735387551947728,0.0698781131447656
TAC1,0.06086574934711865,-0.041714858795394626,0.011214773575561434,-0.007503656807771213,,,,,
RARRES2,0.07057536651845721,0.007915196575971945,-0.004545304085356203,-0.001004265305801287,0.03489407584529139,0.013072344911981618,0.08403937553427915,0.018604423788474413,0.001616177541755558
FGF7,0.09406823309756643,-0.016486271350165595,0.02104349928435149,0.04649870717434122,0.025828384093422075,0.03677895196128443,-0.0051535650681104215,-0.0525033569920978,0.02048890020715962
EFNA2,,,,,,,,,-0.017001468739900678
HBEGF,0.039101371246580814,0.011181895191675664,0.03447072162340453,0.04363939058466832,-0.031055912035674926,-0.0253009143009074,0.07001123719639349,0.02772679260349332,0.0019597012710894385
CSF3,-0.03387059410515056,0.12142328513730505,,,,,,0.02856022521567743,0.015200074159461927
PI3,0.016584476116057026,0.032133789177843396,,,0.047206390702742955,,,-0.016377495533139785,-0.013881058972831997
PCSK1N,-0.028505948069506334,-0.03577949631331749,0.040319496513168004,0.026642267810150392,-0.019293789207343485,0.09291550528753471,-0.00014018224841060134,-0.027481379576241746,0.03524455262618199
NTS,,-0.017439896568560508,-0.01234228304888685,,,,,-0.031055507815989595,-0.020713063402650788
SFRP1,-0.024794936680082327,-0.020961004830901773,-0.010360926311075151,-0.02578576270828961,-0.08454250978269383,-0.02379909546497178,-0.06331037102823012,-0.032799558254380336,0.019625607291494946
CXCL13,,,,,,,,0.058693020728353536,0.048638483869583304
MICA,0.012837288907217588,-0.023209197223417216,-0.01484065430063549,0.024140064419254897,0.0009713062737391945,0.06902191737830465,0.08244295662266928,0.010615473249651675,0.0008600021554799926
TG,0.08247159890624133,-0.01712476394205816,-0.02008831888117447,-0.011213870766565055,0.04319657119689523,0.017806550948719385,-0.0143487370471956,-0.017688318410457003,0.08854473327642313
ADA,0.07965638330799064,0.050710014038805436,0.023763443997962225,-0.04764806862255906,-0.18925206862987842,0.06549284296637566,0.052194218789554284,0.09362581973323099,-0.027395786666145592
LAMC3,-0.008069316872056446,0.03009992106121514,0.0028885873292902567,-0.03263079822242195,-0.05048349382111521,-0.05677773470823313,0.027378523541409773,0.0032304611552510507,0.047490018529799394
CCL7,-0.019345749075917854,,,,,,,0.13749955184917523,
NGF,0.0741993149356658,,,,,0.022338632988538193,0.05401189080849412,-0.0034665817890590757,-0.016772940397012225
TNFSF15,0.03452537738212557,,,,,-0.05208109887430799,-0.032086633197045945,-0.019450587174517166,
HMGB1,0.049916983456796876,0.0173298266780291,0.04808760171370774,0.012397768589081376,-0.058839347516968885,0.017838694303218335,-0.03891880067451348,-0.11188642190587471,-0.01700851719502335
ITGB3BP,0.026066159163542865,0.04747997195154213,0.09255338658486842,0.07724966733455228,-0.044382496532276744,0.11309216196680857,0.09205056458606649,-0.0015721727561214336,0.03607880568394608
AANAT,0.08748896289143644,0.04642950297310185,0.2124665691102562,0.03818457251147033,0.010126340205935563,,-0.022267867339518473,-0.01750319863103479,-0.004088327155859404
RELN,0.008574571194405302,-0.003782512331422216,-0.0017143620535074718,-0.024529390512784046,,-0.06914102593755407,,,
IL15,0.036392402940424784,0.10275589917788476,-0.026996429895511806,-0.0205493245579708,-0.013151547576869774,-0.014411198693857626,-0.017600153749591844,-0.004880375456512205,0.045648929357207255
UTS2,,-0.011666336945127368,,,0.0897910522953397,,,-0.014905254651221476,
BSG,0.007538730658615698,-0.0769828734104073,-0.018049162127315752,0.010459554819070753,0.050472431500987736,0.04075532790592667,0.11694555924294155,0.08405042534006185,0.04477063528305735
ADAMTS3,0.029417481696085032,0.06645621256288325,-0.05460494460382074,0.0054390951230614895,-0.0543252833928445,,-0.02666350417620837,0.10099151505033112,0.05171157697667756
CD34,0.025622269822374606,0.052945671482785645,-0.010687175396868495,-0.02483289984655507,-0.04828359196619281,-0.06473373206841102,0.0404891333564611,-0.03486089971516219,0.060511672844920934
CCL23,,-0.014562997055770834,,,,,,,
PLAT,-0.034975584487534205,0.05907264872178238,0.019128924368267883,0.032409469575306736,-0.08069990506858278,-0.05130643159784888,-0.011595784308997178,-0.05443560144274478,0.057358373509924385
NTF3,,,,,,,,-0.03185268319684643,0.10244653655006626
LTA,-0.013406561620095262,,-0.01739900021536501,-0.020549327094589013,,,,,
CKLF,0.02946710409679318,0.031354606346516475,-0.01033379317101212,0.011434788757943896,-0.07960918425665897,-0.12603033238972508,0.005808118571320338,-0.0030917437933103125,-0.012293561554224543
CD24,0.03522513119082846,0.016865282625085406,-0.05523524541298122,0.009996591636252888,0.0015680789763441367,0.03884751192621449,0.1421229968105985,0.029794230797824527,0.009088106692608521
HSP90AA1,-0.003410962973101168,-0.03916625031690396,0.004281567871990849,-0.0014059827962312798,0.06978251655254976,-0.003930817450031946,-0.07675191716010403,-0.02710976233992021,-0.06604731195555558
BMP4,-0.03089849394142739,0.05052688170066458,0.045201969880128166,-0.017510149110032604,-0.06405983216669234,-0.023574665060919053,-0.05408084893866962,0.050384263026334676,0.010481077301937609
SCGB3A1,,,,-0.01433904869311885,0.02470692468427492,-0.00628716631300466,,0.05722861482781035,0.031329201104210835
IGFBP4,0.011638081418890937,0.04972428029869734,-0.008362183849657728,0.0313160747841587,0.007425746285040722,-0.0783590597775775,0.011406697680980273,-0.042766282619272816,0.047288018150021704
RSPO4,0.01063533304149844,,-0.02023609647464166,0.032369781179182315,,-0.045408463997759,,,
LEFTY2,-0.0014137639247316523,0.012786985436463076,-0.029809736919313084,-0.025367914810899277,-0.03128149929984672,,0.01940466009227018,0.08842321659338521,-0.019548634445373407
PF4,-0.01687878493475538,,,,,,,,-0.015583023166634041
ANGPTL2,0.02315539916319554,-0.00654561511397536,-0.009716873061923766,0.030422860534316334,-0.1021154138167395,0.07376591575613514,-0.023910350318271358,0.0163800188303165,0.028363395090613478
LRIG2,0.009948369306995454,-0.005716043024399188,-0.0057409696309949874,0.03677020136783529,0.022771127225576428,0.010537258455119825,0.07958861840356853,-0.02779460377772882,0.03234059072347206
ICOSLG,0.013807223940807849,0.018831590926175736,-0.01627731974953387,-0.029485880473914296,0.018605277896509103,0.06585649231089095,0.024289567446073572,0.03231289868642319,0.013873170222384512
WIF1,,-0.059449495736386096,-0.015615716343723357,0.059146093751127705,,,,,
NPPC,0.018859950892590103,-0.008736708104165826,-0.011675983482808386,-0.002134754937824211,-0.06155297808267319,-0.013728003155417801,0.02648263761025816,-0.014682515090706429,0.05722431732770395
