,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
DCN,0.020743095862474692,0.013121465896910395,-0.009183260079729479,-0.09034085587232742,0.011608131250539173,0.007890937568496884,-0.02770796994572244,-0.01848895061748063,0.08201466705923652,-0.013784833370655373,-0.00367204667324675,0.04566519307229078,-0.042761229445884806,0.03345285526689153,0.03924426990285994,-0.008557196505538437,-0.02074245472495261
RARRES2,0.05388152646157037,-0.03172495851677856,-0.03085942506535683,0.040171516273561025,0.05204335039655802,-0.007790220026512411,0.05572940534880175,-0.02972935162800283,-0.009990339243090883,-0.015508632302267946,0.04317613632968016,0.10037528641222092,0.1559180009513364,-0.020428297628489755,0.06294169947622737,0.07753923639192219,0.0543424968300428
SEMA4A,0.043422328240717296,-0.007594107081837904,-0.04346754949492305,-0.02771208945005966,-0.051350139971664724,0.01745448132172408,0.007145610699018395,0.0071522796846454585,-0.031839127965778605,0.002191171927778796,0.034745688956484236,0.08748250804413442,-0.026716111419738908,0.021111336326074245,0.0159054838952946,0.020204190970053236,0.022162746301341744
GDF11,0.06371463299572973,-0.008283818504964697,-0.018614472705905747,-0.011459883390994229,-0.020712035099466734,-0.043697885258715354,0.05032322815353405,0.0019060848021771625,0.0161658336290243,0.06105969232366916,-0.024345694333496797,-0.08654472094475624,0.0777368840203073,0.06550201431484905,-0.05253277100368689,0.04359631533058544,-0.04582575939352913
GPC3,-0.009103062849361292,-0.01241076653247333,-0.02191462008912873,-0.05307434515894792,0.0782466133570951,-0.011577136089566847,0.10496471105243145,-0.029115283291219336,0.05142126034659359,0.002364169394334332,,-0.01316677642173142,0.0018090426363368693,0.14962701681447613,-0.011683705645806366,0.05061675812249324,0.023089839237959195
OSTN,,,,-0.05124919214472603,0.02637969904769847,,-0.023800027277848853,-0.031686716133677496,0.028001521580179038,,,,,,0.03281914609406547,,0.034816683186378775
GRN,-0.08727754191386047,0.03890620213728268,0.04006556534240204,-0.04534453032462987,0.05074479674108887,-0.03892322292492631,0.02634409962746647,0.019478749747620462,0.02327372319081151,-0.04021359897411961,0.05417469592989488,-0.025366035875339907,0.03228200866817429,-0.014893397123353146,-0.03442860346325178,-0.008767637731911308,-0.06591365948800246
CALM1,0.05633887528035108,0.048472167186572185,-0.03908046535115097,-0.08387710232827823,-0.06256139012641398,0.03367784194440374,-0.059242864809394474,-0.005179305673840233,0.024283228737320257,0.024506218073693208,0.041046556487248614,-0.17136481611695104,-0.07152309845316082,0.008004287353012412,0.026162626039669318,0.03577851975397112,-0.027211576342465522
ANGPTL4,-0.009121801765278454,0.02627080529593775,0.027056670727561693,0.08505917333212944,-0.017662984773822835,-0.05214085922394705,0.01123477210333677,-0.03693551523009405,-0.05193175484444378,0.03979010371451465,0.01637604174452896,0.1490081802402566,0.18384676800332336,-0.06786617174685868,-0.03697014850841765,-0.04385896518862144,0.026306431058080386
BMP8B,0.053689267329976795,0.045124916678898196,0.013494784829338436,-0.052416134082900696,-0.031481791296615706,-0.0483353257425374,-0.011435492311553563,-0.015210943758833816,-0.022035017923591787,0.10851243200363532,0.012750440781931365,-0.05061203862448299,0.037508049751778204,0.028948419698926132,0.0070480146965945815,0.017042798320396544,0.032876795100578005
TNFSF4,0.022423160186135906,-0.02651476179936566,-0.02245071846004208,0.014722735088359955,-0.037734923142902346,-0.002687359913486106,-0.0364478657884604,-0.005508822733120146,0.03619834205570283,0.03524312552064173,0.07035861033740673,0.05966979705312245,0.1281349496063273,-0.036801022433186205,0.032414733011902355,0.09040679417475533,0.043129266642179476
RBP4,,-0.043202754709617375,-0.039147530726334354,0.04417971892145737,0.01830730882376475,-0.023593863258319903,-0.004979421102724184,0.046535198467693814,-0.01744539178963367,-0.025511580795802416,0.03875123442110222,,-0.08671957865205057,0.06871765233628105,-0.02608794922600942,0.0894242749742814,-0.036265082490329316
DKK3,0.040094771102647864,0.027005517066905748,-0.03828164750131213,-0.029725281359002095,-0.01180119312554917,-0.004492581941693609,-0.01727720545619446,-0.0027793862818038663,-0.0710910151803076,-0.02310113243888553,0.03756821050770807,-0.0011575314854089687,0.08457795646913722,0.048629522105495405,-0.036134537295948135,0.04630664965871093,-0.031596475611538735
COL11A1,-0.027281043803407994,,-0.04619147497295801,-0.013883725056191433,0.019155235335522193,-0.020023682553713083,0.037249128123962354,-0.013628886934136348,0.06664048424058289,-0.011461265149033036,0.06534912612879636,,0.04372515912365813,0.007227266188498496,-0.03252766577960219,0.032751673514748655,0.0620914946042365
COL5A1,-0.019199989317266974,-0.042397792598052826,-0.033443978877873884,-0.014817015663359379,0.08160899149172601,-0.0028553150819378625,0.02257600331915459,-0.018316879894920767,0.012913921186709804,-0.04127873098908727,0.015552226306269911,-0.04696362858229552,0.25172575602026703,-0.09939786300622235,-0.07301959121359643,-0.03538952148370912,-0.01841550714891989
KISS1,,,-0.035390964376903034,0.03705522546669842,,,,,,,-0.018194410268948084,,,-0.015768411781776268,,,
MEGF10,0.010704664276088212,-0.03787691574272592,-0.015599057168439042,0.0032123321354029424,-0.01968390213667368,-0.004995327769994127,0.041154087496429854,-0.003360746386292197,0.030293850317321108,0.0417270075730251,-0.011747751422467017,-0.006728827411252416,-0.03303947011431149,0.029865715749516387,-0.02267329955685165,0.12485871386183084,0.03600184989767011
CEACAM1,0.003857730136114351,,-0.015300313663736805,0.020581808764912227,-0.02406768340871501,,0.126452418513205,-0.00420458693581685,,,,-0.07020210875268962,0.029015745335808845,-0.015399751345296819,0.008225484456068088,-0.017331678230491504,
EFEMP2,0.02984750502728644,-0.06148280132091304,-0.044595598442876874,-0.017429119175402207,0.04372708161338821,0.014043074167815566,0.03198425648449166,-0.03404186927309121,0.030822286292743944,0.006068925408403507,-0.012527568574911024,0.03151467146885611,0.09133585473192556,-0.04520711775526073,-0.06852191160924971,-0.007557060296010602,0.04050032455900775
IGF1,-0.03001899077520563,-0.013630706990383467,0.0328530535557966,-0.05152288737377953,0.08638856637923628,0.01242548614583246,-0.024684567639603243,-0.05178491190641573,-0.01310910188142916,0.0847774340554461,-0.032825500336168184,0.02802246197325171,-0.04521459658699094,-0.0045438476420469965,0.08282637585432301,0.04034337405048871,-0.0663513748821163
COL6A3,0.007305971271878519,0.012616797106716432,-0.02150470024250508,-0.03010139567635872,0.022645871085390196,-0.05802547312463776,-0.004377182143161315,-0.014936544044976572,-0.018690634553469893,-0.02211805640327652,-0.002760598379266903,-0.018012476045171144,-0.028723706240999163,-0.021955317307427325,0.04786879890105775,-0.0026099373273180924,0.017271112361882623
RLN2,,,-0.014722936051946805,0.02353895576622193,-0.03145004184381584,0.06718106728811504,-0.011385576032801461,0.029808272262197663,0.053664025557796535,-0.010006365722893335,-0.01550324594467069,,,,-0.01639334576661533,0.06285825632683056,-0.02097316468647619
WIF1,,0.04944802302851613,,,-0.01826085296702137,0.02171222849822044,-0.04472530991823481,-0.022467566415343927,0.023427680117713234,0.0021376168829939195,0.06606838606753666,,,,,,-0.02531277240402816
IL13,,,,,,,-0.022675431787686752,,,,-0.02156327236664769,,,,,,
PLAU,0.036248988708563384,0.03224654182545358,0.07155862159224366,0.015493338841283002,0.027889176158663386,-0.05039838659270566,0.02282918034194382,0.009793250228041684,0.0029216353093557104,-0.09329879488900102,-0.03425736408495578,0.0751683714669218,0.0792312691809574,-0.0001386048876725904,-0.018102960835752403,0.009757942372366388,0.007395573522872047
