,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,0.030738801412583092,,,,,,,,,0.021444576518069178,
BMP1,-0.056941383633161494,0.02191856638861796,-0.0749391089272009,-0.08708863474307006,-0.007982394039019935,0.19626290929277873,0.0040771011025969445,0.03403137264231498,0.08217731672639722,0.030620434696869765,0.0791413950646813,-0.069503242298184,-0.01396591349111033,-0.07642690925936305,-0.09088776128070257,-0.021186403062185527
NDP,0.014195460524926736,-0.020687759173774436,-0.019334081137031684,-0.053492315123111735,0.02816462910881637,0.014073770588541765,-0.005744597727048171,-0.006978678346081656,-0.03325896941594363,-0.0181737059178513,0.15477503850264587,0.05322836391062697,0.07217916362766714,0.09099038666602988,0.0858556484271627,0.013785160695398677
TNFSF18,-0.03272315697523416,0.055680348119330245,,,-0.015201938473850596,-0.0033439593142380757,-0.005282869831042495,,,,-0.002522545867120418,,0.013996942198627066,,-0.02388651564379088,0.008687711603649603
IL36G,,,,,,,,,,0.04201602101483824,,,,,,
RTN4,-0.06258656930681732,-0.009639448199394385,-0.031019559716667304,0.009663329951741562,0.01794381938774345,-0.21260699975738565,0.06467942109287989,-0.06657586179070962,-0.009098853185273703,-0.044073500347222704,0.026920602809656937,0.08793037906669877,-0.0179953210713727,-0.07462143569066831,0.0026179955846711307,-0.11871520879335626
HEBP1,-0.027721331317531014,-0.018572740288983168,-0.0034596702852232996,0.023754559626096912,0.04937685484029869,0.08416631121942089,-0.002751318230760936,0.1145304816595598,0.045121504140520005,0.04420842851911458,0.05249100091625586,0.007371163124198375,-0.061080654029399155,-0.019973449518223118,0.058492878887530145,-0.023820236053626317
WNT7B,0.03766549035672728,-0.02710373187400187,-0.010656112243092269,-0.004526955093186421,-0.031027619665781873,-0.05230620630858295,0.011473468012781932,-0.03986695330010119,0.07253415613592475,-0.031032446439453975,-0.028391548565290588,-0.02820529996741293,,0.03018260643076403,-0.006294923146527443,0.14031339198764722
PTMA,-0.01928469449293906,0.08286609160976931,-0.053488441480990266,0.04229610855807167,-0.01778952428052422,-0.11238920834210374,0.011823188247196262,-0.02180118592094376,0.08363657102210303,0.10728583349719452,-0.015896973069923468,0.10638040303224539,-0.09605849660781043,-0.09910277141180121,-0.0980359324878481,-0.00346670767013032
FASLG,,,,,,,,,,,,,,,-0.031856831901032785,
CEACAM1,-0.0299378662519754,-0.020800484033595176,,-0.029673438529001055,,0.12072157714677384,-0.0029734999669178332,,,,,0.010064980321495295,-0.08320576579955026,-0.035540156213042774,-0.02170711760846249,
PDAP1,-0.020435998404986465,-0.01173105688091308,0.0133647723211702,0.008540409883532402,0.0224195333525059,0.18847030173069704,0.05366594017152062,0.028709818546950525,0.019370135617860412,0.022378542356031584,-0.03687661481162287,-0.013877588323953187,0.004224947232466982,0.01734082816851409,0.07846844338639761,0.02710927894373371
QDPR,0.028298521363731635,0.010011550291796149,-0.04096233442220119,-0.024939746981877765,-0.0101995681303807,-0.2033207789093206,0.047398337201640994,-0.03004951949195512,-0.0015473754434943592,-0.03123298609269743,0.01428045925223714,0.0037063061706748036,0.041392112448530964,-0.07634665182935343,0.09011795603908919,-0.10201424514428636
POMC,-0.022423441933156707,-0.0026663630293477505,,0.06004049955258924,0.018691450114980017,-0.016047028162688763,0.03487266199570104,-0.03218913504910736,-0.005540420899654522,0.006235575723769248,-0.028048803548362648,-0.02469328554113261,-0.026963635261956883,-0.05781622599066199,0.015465552376681402,-0.008334486302212143
CCL18,-0.03735962843229699,,,,,,,,0.02867629091150621,,,-0.12182968701299621,,-0.02519855509126861,,
CCL17,,,,-0.01570577655604702,,,0.002361600859205401,-0.029661933476423805,,-0.033189244236335416,,,,,0.031761800646371914,
VEGFD,-0.027427448289802626,-0.02979252019019852,,0.058481966064212874,,0.03848141793212125,-0.008029979261888648,-0.027226629983403975,-0.020552159092761015,0.006835580143978197,,0.09919877058964612,-0.016887272093438977,,,
TNFSF13,-0.028192783430981746,,,-0.027354425361545247,0.02848693544720287,,,,,,,,,,0.0011868137077550964,0.02633415819076031
WNT5A,-0.011466087946509747,0.017123297335960897,0.026964560644038363,0.010226786489424041,-0.0019157564046751719,0.18367010193021924,-0.0001944668001886296,0.030510767633252434,0.01694454736389398,0.010804973041858965,0.11951853036553481,0.006195979520218533,-0.13562535416270413,0.010764812229904271,-0.0043453274684494775,0.03635279675704903
CXCL8,-0.028942679343599294,0.042725515263043384,0.08340533477116248,0.08616416023306535,0.0008640774882415396,0.05958068298361896,-0.021835325309282148,-0.03370589513030896,-0.04848249782558267,0.08158997680446844,,0.03692188723924274,-0.04393847005266872,0.041163936488598986,0.04416060394238957,0.11101751172841567
GRN,-0.013866116619624082,-0.006094845293001061,-0.08026391336766002,-0.03372022853866771,-0.013736508672503787,0.14068945760947224,-0.01673311521248713,-0.004000994300706186,0.047601776485792634,-0.002195132926659222,0.14960016754244126,-0.1492559774960365,-0.10649164240497383,-0.03790827988976706,-0.13017395757407427,-0.05887710886368981
MIA,0.011151911124969983,-0.026495383982107153,0.010391386840778599,0.06695897540357602,-0.026957096174357438,-0.012784443774015612,0.025808310996256873,0.02033432192233598,-0.027872419985162454,0.05982867610503718,0.10304109313166804,-0.043186663009004235,-0.03300331395850779,0.004766933695320849,0.07879937001372553,0.052937998233992575
COL4A4,-0.028522521478822182,-0.014425727930901988,-0.009046469689947451,0.0051625603833858,0.07431126129463614,0.007196228283129227,-0.004160238650941967,0.018209807279169595,,0.06514274508527877,,,-0.06519011893748615,-0.03185884700633838,-0.05873125387026263,0.011034965435646554
TAC1,-0.0180736348894431,-0.0177273467555491,-0.05039889382940514,0.04390419292699049,0.01073945861712462,-0.10193325458590725,0.03952129840459414,0.0012021824902148292,,-0.01866243713471556,,,,,0.01721048504609332,-0.020424712369601444
RARRES2,0.031047777522024665,0.0319478873137926,-0.023339409477555913,-0.006481997154053691,-0.011367667416124522,0.21933549690389653,0.03081495414924685,-0.005116223111847161,-0.020812029324385625,0.11655949897275342,0.01685949657737375,-0.008282152843590839,-0.024658377280129384,0.08289631215498797,0.13651608582386748,0.12669375162842605
FGF7,,0.05348403659836038,-0.012414864821136747,0.03675098671070079,0.10145465692675115,0.11292092881980624,0.029948031560417105,0.02544832613771917,0.06118912865852923,0.049950748335667955,0.019160890847914978,0.0992379960158358,0.0386640370413877,-0.03785639242121805,0.10472533288675193,0.06403435259785498
HBEGF,-0.013815197071271091,0.0010317624201377042,-0.011166249430661196,-0.005372477503536558,-0.03516001061928214,0.08774889732638304,0.04191821159587964,-0.058925158732786295,0.017571640205117017,0.028714782153269735,0.07787772863770535,0.029655613079648552,0.10245423789111716,0.020799797956974404,0.05740765856391411,0.047173578014661134
