,MGH258,UKF243,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01595431092197363,
BMP1,0.07675685954044142,-0.04473857537972748,0.08411269901890522,-0.02501361514682169,0.05390783564589345,0.022432240740296146
NDP,0.03597955004974024,0.027855581625535804,0.018179540393864446,0.0654155956127737,0.0019235838959884097,-0.030482052859791036
TNFSF18,0.08938659182854904,-0.019285643501784487,-0.04352269688758497,,0.019493091101069077,-0.023953090455780836
RTN4,0.02274672583285544,-0.07706888718088915,0.06944111220492993,-0.0017287249228176637,0.020923158475713074,0.0805474122278217
HEBP1,0.02031684197470059,0.014943391072494261,0.14629619906403266,0.04240846235675416,0.031465137050143116,0.03482693457422089
WNT7B,-0.015439741485186162,-0.045012906315615366,,-0.006032592311946538,0.0637044609311189,-0.05208145527792993
PTMA,0.04099655625797326,0.04950950753504483,-0.06791354764249338,-0.007162988311101543,-0.035658771544237036,0.0056413235617476945
FASLG,0.07567268417623112,,,,-0.01383716841973591,
CEACAM1,-0.021438222236497825,,-0.030603842339149787,-0.026464632835750398,0.0016870769659535028,
PDAP1,-0.011656161505446242,0.026512584960655075,0.008522606799682145,-0.02602270754915978,0.010011755043782367,0.01137372492275744
QDPR,-0.009182865867605966,-0.08589088125915328,-0.013095732733554933,0.0021800907066027277,-0.007932213362989129,0.05765828716235926
POMC,-0.050054534273627,-0.03641451344850912,0.05264874328012387,0.012364539980255366,0.08520882597970451,-0.057344192796003515
CCL18,,-0.025863633683013778,,0.05732777201902813,,
CCL17,,,,,-0.012541838987006736,
VEGFD,,-0.029140755614951,-0.04160525301274267,,,
TNFSF13,,,,,-0.020435879804561848,-0.026057545754583574
WNT5A,0.003954773592689583,-0.023178925241903833,0.08761721904460033,0.14804964312080354,0.025448466412743516,0.05455271656717545
CXCL8,,0.07346412489925404,0.12648341170485156,-0.033036729422151724,0.07514113162836028,-0.09805374790304808
GRN,-0.0008953880161716783,-0.018254241634020625,0.051484152909425665,0.061104768186686996,0.002031854626522044,0.012951193867358235
MIA,0.002566262941766165,0.040905215215576864,0.12395110626946691,-0.04638842443461424,-0.01368575087124674,0.03582325095811485
COL4A4,-0.017881107017266168,-0.02933525619920274,-0.032577732492458815,0.18285061223992105,-0.012649380352010664,-0.029123252958230976
TAC1,-0.015439737449831095,-0.03674012138461508,,,-0.01648752265628637,0.06695228561217965
RARRES2,0.030852912667041762,0.04084689864504976,-0.0290318629185638,-0.055673946002777225,0.04286342874454387,-0.04968635553575413
FGF7,0.02844130712810777,0.0021977595503572265,-0.028218057178876533,0.022042674845419233,0.06079259645576271,-0.020039351276169036
HBEGF,-0.019294835219091276,-0.04555342628131437,-0.07730143030334569,-0.07073589946615211,0.04583288216834689,-0.05616545464768197
CSF3,,-0.029335232974392778,,,-0.013204621646291412,-0.030634329949281065
PI3,,-0.034751957956955334,,,0.07234383780404118,-0.07509644667000874
PCSK1N,0.008731844166464399,-0.07751401536601835,-0.0829962907941456,-0.006996510790978779,0.02205675674460168,0.05296615726324537
NTS,,,,,-0.019554244059873452,
SFRP1,-0.0018556149009784984,-0.019839739738961512,-0.06215154506448276,-0.040100002058177,-0.019099852967462784,-0.023550913062639477
CXCL13,,,,,,-0.024848602923244093
MICA,-0.017636096111233464,-0.009151309477857078,0.0865735787370532,0.05480796497936552,0.044823438616614586,-0.0029642941111256466
TG,0.03436066289029359,-0.023384862929396802,0.04510187961781481,-0.03055195070598053,0.03848837576477476,-0.027383289011420103
ADA,0.0014892305308716657,-0.016599725790579303,-0.05171539870756076,0.05994557920357314,0.009718811642492876,-0.00737061582045814
LAMC3,0.004451862126613135,-0.022582531118809316,0.026717385608809482,0.045209699764684474,-0.004045070546768008,0.03233009583270972
CCL7,,,,,0.1035221357875138,0.00518951004020043
NGF,,-0.01690086161450298,-0.006344456113033611,-0.027884280323336227,-0.041428050471726825,0.029410575416614952
TNFSF15,,-0.02090847510223939,-0.0062855952963759825,0.07321411574439501,0.0541609827002562,-0.03390441846135729
HMGB1,-0.007411876133220191,-0.07948092466061359,0.03155545727223838,-0.057471048839222515,-0.08500646231495997,0.11105438028043964
ITGB3BP,-0.0051098967423157315,0.048245205055304316,0.0055119933482340394,-0.09416180553992365,0.05881027316747166,-0.0514523557958881
AANAT,,0.12802268735423053,,-0.019543346528693856,0.013360250651994676,-0.018705284136299585
RELN,0.016272073696901906,-0.029140740489692778,0.09516163497706816,,,0.04924302297848041
IL15,0.007467200129801278,-0.010182894128859041,0.10947539069834761,-0.033036815766576196,0.057506361231462244,0.01974761390673329
BSG,0.028482330582622856,0.051645628180473635,-0.040205028088046005,-0.038669441638062164,0.08988857014476899,-0.005769774625446742
ADAMTS3,0.006207601616588158,0.003179750314692555,,-0.023401167872961842,-0.00032843525778833736,-0.022396889794293856
CD34,0.05822260625102287,-0.023607739698226615,0.002252513607398469,0.05192074771474859,0.02632495318994529,0.007008155362565995
PLAT,-0.02951450143006262,0.028182721149770374,-0.019686741344918924,0.026648185025856603,0.003925854258834684,0.016419036021880974
LTA,,,,,0.042890917176659764,
CKLF,-0.05116762662481609,0.03033457852895331,0.0010312408047809,0.06916132991103832,-0.03775491917344045,0.0043302080293958
CD24,0.08483693332433447,-0.03986104921140061,-0.03342711541014282,-0.048980922112257526,0.04549659027691298,-0.05259324914111257
HSP90AA1,-0.04877482212669106,0.00234817715273003,-0.019368435657849594,-0.04355100081222328,-0.01399544866805275,-0.02175284057758768
BMP4,-0.018402250870347036,-0.03657759870252491,-0.022862404047085404,-0.06397338179483875,0.08514845421908807,-0.028449553803506323
SCGB3A1,,,-0.04464149748880065,,0.0009368770494381036,-0.02373282668309037
IGFBP4,0.033773895069356026,-0.07239708324255113,0.03225669617187447,0.056943548094721595,0.0002449260796950862,0.06153670016018617
RSPO4,,0.007178266317825096,0.007033497711825243,,0.007861011338173279,-0.023586622362681175
LEFTY2,-0.017704307545099156,-0.0014395614637173122,,-0.024974740568317586,0.0993839803808839,0.012255886525884671
PF4,,,,,0.06365063317859668,-0.018476735938377894
ANGPTL2,-0.023981851587293303,0.019712933202985596,-0.0063425407752579835,-0.025870338426908987,0.03352457461798158,0.07509400537256396
LRIG2,0.04736504556084751,-0.004213124511786597,-0.04064598835603282,0.09113085303120853,0.06356540478156866,-0.012167842963671812
ICOSLG,0.07622477842088678,0.04187982389183663,0.01794212670146637,0.04252462604864707,0.012827533732087101,-0.025488653503819545
