,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.06055431938434322,,,,,-0.016113801619570833,,,
BMP1,-0.03609063452479165,0.0038429882045421812,-0.0006165939075774794,0.0647839048971366,-0.0035742074275814315,0.041446335039699286,0.019079391528063924,0.08203700751728447,0.013103004821164183,-0.02430357176835737,-0.04067900353646703,-0.004035605938118277,0.01750788939135583,-0.023625913356150482,0.06756003209783253,0.06805250407889946
NDP,-0.020733096973923993,3.742554923015235e-05,-0.039751293094085885,0.003923857478049401,0.03821111078142629,-0.008438102392846517,0.037126089937102605,0.01372474726420985,0.017890253818353918,0.017814756984337366,-0.03522680627643149,0.01217878315934101,0.01252906876631874,-0.050861977461090634,-0.10569656266400629,-0.006333235744718401
TNFSF18,-0.024816084626875134,-0.030053317903221057,-0.02454885260547018,,,,-0.014925465329994194,-0.016286187247648097,-0.014105909426731312,,,,0.013566521126023091,,-0.03642884352056722,
IL36G,,,,,,,,,,0.029020392761818885,,,,,,
RTN4,0.10621373513215758,0.053655252336667576,0.033757063419013064,0.060994818856301876,0.056255679187265574,0.047165648069904816,0.012423477206928544,-0.10265125595114122,-0.0034261760633755196,0.03324527820756421,0.061194272315466224,-0.03855970711242974,0.06174028615783451,0.07686481350943633,0.07494681738410622,-0.07541076679956227
HEBP1,-0.04345535456503898,0.0507066503788931,0.02801259210566847,0.0316804422751706,0.011532536102889282,0.0035675919436785183,-0.02473021138439949,0.03338102436766967,0.01927690386852079,0.0002371104118340413,0.0022832152754517884,0.042147248573953584,-0.0101509156851537,-0.008103023178625103,-0.029262113010125556,0.08794701456614558
WNT7B,0.18832277778048606,-0.025748133454662495,-0.015248986254613945,0.15098530596166507,0.017112527119417447,0.009150317713119133,0.08773149800898307,-0.012547287127455765,-0.0404332762855698,0.02047800449667396,0.06547431674042342,0.01814085071743856,0.022465565370675223,0.004262045694873254,-0.007287654054198128,0.0886704875762611
PTMA,-0.05091186271610396,-0.03426311546909157,0.010421139343140628,0.01894605775353704,-0.009609956281414003,0.009706661517599389,-0.008184858160162076,-0.08793893040036312,0.015765763695915532,0.016045001440730296,0.01439662411847869,-0.006109994143201502,0.040547644430539424,-0.059795490107284535,-0.07036269471749039,-0.075729477203368
CEACAM1,,-0.0008265220962448521,-0.01170267978565186,,-0.0023117559752947646,-0.01976296950358264,,0.024421883731256262,0.1056276934004679,,-0.020585061712300134,-0.02043581130562923,0.05922073728706475,-0.024522567370242956,,
