,UKF255,UKF259,UKF275,UKF313,ZH8811Abulk,ZH916T1
IGFL3,,,,,,0.036930471927514336
BMP1,0.009838084896763655,0.03741405094381893,0.008647869024698971,-0.031173114402106256,-0.007253354528885936,0.05769544881675478
NDP,0.10649442453624518,-0.007567730695527656,-0.0281243784688598,-0.04879085749361924,0.024760540854983696,0.03446770254232331
TNFSF18,,,0.02113379710181809,,,-0.04554418190741884
RTN4,-0.027219106920772205,2.3686143584106552e-05,0.055038591165524633,0.05576807480388423,-0.03643888548865756,-0.03360679272608873
HEBP1,-0.005107818501371328,-0.022696442366270782,0.03210644774119266,0.048526218970114776,0.00030995979381181484,0.04578971355588982
WNT7B,-0.01633327279689788,0.02312932599756117,-0.04336613876335134,-0.03622480045429766,0.030578850579939306,-0.02763165938512464
PTMA,0.03604837038839894,0.07130078709418602,0.04023643579847666,-0.009611304618644937,-0.01859740169286403,0.009482772499731038
FASLG,,,,,,0.06454814654275032
CEACAM1,,0.012984649047133695,-0.02379446012737953,,-0.01876378603025162,-0.019247439712007576
PDAP1,-0.017907972802167476,-0.01851115367704585,-0.023863778717269368,-0.041758162003366434,0.0005131083547941172,-0.013970652065501432
QDPR,0.07443884950428856,0.01513734217275492,0.03579332920621022,0.02914632252967327,-0.00391182982112329,0.02744558581358564
POMC,,-0.02169198501128171,-0.017554603950668594,-0.024845187512127914,-0.045053134768858784,0.056569621697243416
CCL18,,,,-0.0316692377351903,0.03165684732078664,
CCL17,,-0.02664005568244311,0.03846424108863668,,-0.013311997995691004,-0.02122496680117984
VEGFD,,0.0708088873426106,0.03468121518706213,-0.016786413011463355,,
TNFSF13,,0.04718585445122505,,,0.026003220756607614,0.03860918920804223
WNT5A,-0.020467354283151405,-0.02885174518452298,0.01908904816336288,0.0077463947841089785,0.011419394476072929,0.05065103991411731
CXCL8,0.00712485761070786,0.02638009684118923,-0.015117225278079733,0.05065523423673519,-0.018089396609132922,0.009657357918742376
GRN,-0.05694868592080668,-0.02818451135758698,0.023583022038562107,0.03952631839060961,-0.030219702094463122,0.018344378248670863
MIA,0.06515198641903908,0.006261827210149682,-0.02167784080893981,0.01140343751889085,0.07550417775879446,-0.023726428081105234
COL4A4,-0.03301214215083188,-0.011107418215213579,0.036619990113967965,,0.0037611652155876453,-0.010675864812903533
TAC1,0.035190873841337345,0.018441930290078082,0.09225979539095736,,,0.002057880636474855
RARRES2,-0.03418951306452294,0.011551275529224964,0.03744763929917177,-0.05811306314898985,0.0027879917120565284,0.0022828529046265583
FGF7,0.07751440448462839,-0.010838839318045327,0.015767275043323672,0.05805599662152558,0.04402820347868312,0.029318528954863428
HBEGF,-0.02938452363926065,0.05360970905236094,-0.04442181420123544,0.009976591704975574,-0.007498008699691303,-0.005976000093071465
CSF3,-0.023107244629298616,0.0716521835144265,,-0.025218668729948192,0.04822654388771079,0.05271197692143052
PI3,-0.04511814626036091,0.013460237187829162,,,-0.01140140304027076,0.012695726437213338
PCSK1N,0.056246195985258304,0.017876863844959203,-0.009013000951232702,-0.039703714808837894,-0.010796755430350791,0.03500321546521194
NTS,,,0.05317574035103432,,-0.03105550559602562,-0.03309229064596978
SFRP1,,-0.010357650902347719,0.0004873965156362284,-0.038506032095688696,0.022194801433327475,0.045898302357865677
CXCL13,-0.016778593714576358,,,-0.01989957730762651,0.013094024855928758,
MICA,0.0707720459758809,0.05764350980216248,0.0022759019447395413,-0.07232806375130527,0.016007859073571072,0.056322068503830224
TG,,-0.0025695504318785046,-0.019009728264206258,-0.002214467216172152,-0.017688317146029774,0.025776157657224567
ADA,-0.023223948188701223,0.012394635671569822,0.06776324535975918,0.009542684760798826,0.010436893697737945,0.071035030195173
LAMC3,-0.04313304204637645,-0.048704878966484,-0.004288453536880252,-0.07123928500682043,0.01231167012573334,0.07009219951302263
CCL7,,-0.01813603522034351,,,-0.019951616571724593,-0.023417087095569583
NGF,,0.031066450786609214,,0.01758635341619615,0.06953028433301806,-0.00010656480048264633
TNFSF15,,0.00822524330508534,,-0.016059743936442425,0.02657656922263582,0.011769996725787745
HMGB1,-0.04647339499492259,-0.07283165991476573,-0.022655465282056652,-0.008511292303426229,-0.0026081931045746315,-0.035300407285404886
ITGB3BP,0.06499452969214733,0.046436005767786954,-0.010065680459842317,0.025605803184996858,0.024325014591374663,0.03659549770736426
AANAT,,-0.018375716148902585,-0.01709555972119846,,0.08284699859267684,-0.024776254690651516
RELN,-0.026022288068071175,-0.03189612808397674,-0.0147578147742492,,,
IL15,,-0.0018970172104616511,-0.012482465162689475,-0.03776263990699093,0.06409650015918168,0.11040931409207655
UTS2,,,,,-0.014905253585738064,
BSG,0.014226748356203103,-0.033841386371837305,-0.03248472340130552,-0.09808532551242954,0.043386250033030455,0.04468070520388793
ADAMTS3,,0.015779621341807493,0.0001352185946924196,-0.0315084887905512,0.056517247602368335,0.06584386769517911
CD34,0.04173991897191035,-0.002431781570053288,-0.0167034623152844,-0.04458410816120341,-0.003337568229332179,0.04925468490561373
PLAT,-0.009950261302910253,0.00403968996623544,-0.026264581947798526,0.015738058778502904,0.06670524308874055,0.060973201473777223
NTF3,,,,-0.034208207075209676,0.08715325681703312,
LTA,,0.06179823207673585,-0.016464805647470757,,,-0.03334510494242184
CKLF,-0.016177483818233876,-0.02572598584279463,-0.04023624667688819,0.02339410005744726,-0.0021255556759124995,0.0342855463285705
APELA,,,,-0.029605277236154692,,
CD24,0.011138978407841732,-0.0364683002112888,0.02677238482857853,0.06747769764142209,0.019875313577581013,0.04756092375349277
HSP90AA1,-0.03927162375030606,0.009635824952263838,-0.031330605802916696,0.055431073068568606,-0.07757858805637398,-0.04795236950049218
BMP4,0.0025453538966657974,-0.002414978875389417,0.009350878246107,-0.033068576420524846,0.022817270483246395,0.06903820336411824
SCGB3A1,0.06011381689970204,,,-0.03362242217049337,-0.030367203874454702,0.050842727432656803
IGFBP4,-0.02249664521828946,-0.006288011269862585,-0.012419013358493568,-0.013724098636068539,-0.01598836104208806,0.05455462801520733
RSPO4,,-0.0355797448412364,-0.004337831922685498,,,0.05689116775452614
LEFTY2,-0.011526661741688158,-0.0339583623898438,0.02308946401844645,-0.018158589630433382,-0.01693666312723729,0.019898246501145418
PF4,,-0.015823333428550815,,,,0.051354984024307423
ANGPTL2,-0.0001184671306406299,-0.022682811351030386,0.008262378496095147,0.01625328869920325,0.06255524085386908,0.047871084524449756
LRIG2,0.07730032647230117,0.03113840697694043,0.012923062061300073,-0.01275254994450571,0.06891745338759919,0.022479092263728833
ICOSLG,-0.021195574537436913,-0.0035356388115799654,-0.04259555289793639,0.025304339878781563,0.013943178450196228,0.06065038456391626
WIF1,0.03739733339509574,,0.11369513945581079,,,
NPPC,0.03762032732862032,0.022031700782492274,0.08096899690163574,,-0.029784165593845738,
LYZ,-0.018305321389295106,0.017900892530537657,-0.042998882569353976,0.027106612782527777,0.053215892254043565,0.03224418083541496
EREG,-0.031146864117458956,,,0.015372196629314432,0.008259755028756229,0.009908331268271856
SPTAN1,0.0222159853296549,-0.015050234762423875,0.10129427470834289,-0.013413586825581109,0.025912944600511734,0.04543465115407046
LIPC,,0.011927882784297527,0.10466057699539313,0.003170457768077349,,0.007846112864842415
COL8A1,0.041062145017285945,-0.02850147359423229,-0.006771467558874285,-0.017724274733655798,0.03238002245366913,-0.0032172268629119998
GSTM2,0.005466059910076633,-0.017587645020869704,-0.0030283776897221918,-0.02839516482065255,-0.04800270949230569,-0.027514592901763057
SPX,,0.010793278411930165,0.03709643353869626,,0.06567794360429319,0.09015329850105398
MFGE8,0.013301763894617352,-0.03860780663484808,0.003343107749977779,-0.05238408870213691,0.015772897117794303,0.0833381324275838
TGFA,0.06959185453330814,0.02529027506760603,-0.01782387194266707,-0.028616394492367206,0.046398213603510235,0.04439280002682097
SLIT2,-0.018358297422224532,-0.04244592667613914,0.026502603721601896,-0.03516847653969306,-0.003859847355528369,0.07010002968966385
PLTP,-0.03593525454624225,-0.08050459210693615,0.027977887779873267,-0.03941129008984059,0.010448688009661526,0.025513184192422152
APOD,0.02268941252885567,-0.04969044092505386,0.023539018741236623,-0.05493534654187254,0.10301581855717809,0.022128459083321887
B2M,-0.10008417673220336,-0.030533556568823263,-0.03686876311282681,-0.002456017052815927,0.09186937891318046,-0.022383766038856716
OMG,0.08670281788339981,-0.04481089231774359,0.05865381933725256,0.0428186483362886,0.017178263989485673,0.07169286910766233
CXCL3,0.009245399074358571,0.04524915820728458,0.018470814065848783,0.0882042406454461,0.03655154357840311,0.0284687609411926
CXCL10,,-0.007864269979040729,-0.039265242755143065,-0.018323430895791946,-0.020602603655171612,0.07400209976045098
RSPO3,-0.023107245350039343,0.028654760578574523,0.057594598378348634,,0.02428892334351207,-0.023763764414052074
CORT,0.036959119066985374,0.017079182880432177,0.02889765516689834,,-0.02275012283281517,
NCAN,-0.010719902794535545,-0.06019192962828283,-0.0002898862375252174,,0.07842361149007966,0.03583631748751108
PRG4,-0.02583688538499444,-0.018136038046575383,-0.024472391937724186,,0.05565297873372314,-0.029876894739919002
ZG16B,,-0.021049090185807928,-0.013082782736980662,0.008617769385091694,,-0.02963085677082002
TGM2,-0.04261505694533874,-0.028187145094098358,-0.01417108751349279,0.06701788480134879,-0.02380424111757557,0.005245871938384578
VEGFC,-0.034358513011286076,-0.004618011635041469,0.013336405743085446,-0.003786587924578418,-0.0256765843564346,0.026372366203076255
WNT6,-0.029616114848721665,0.03220645960039154,0.05040410090841321,-0.02678600250400923,0.0301085789666585,0.12122347372708528
NRG4,-0.01732012252986143,0.018251998452172808,-0.02513414392887537,,,-0.005925721763084144
PMCH,,-0.020673828555889458,-0.01914957039568931,,0.06497127749763623,-0.01791043328297241
COL9A1,0.13690009216545004,-0.02305299824615123,0.03095285091329699,,0.013427893252535118,0.04003311003865847
GDF11,0.07522611925581892,0.022919030483213358,0.016413597832514178,0.016173593070129985,-0.01472179133967292,0.11592196042051973
RAET1E,,,,,,0.022267316987850738
IL24,,,,-0.015105611577875676,-0.015119865419468484,
SORBS1,0.04599040140075502,0.03025738971809531,0.04878315463492887,0.10873152095809627,0.027453075432222473,0.012816307444849694
DLL1,0.03688479209038174,-0.027195444313040114,0.0076793449526829675,0.0026753440368232893,0.06566638372631031,0.07138228399379398
TLN1,0.03416890031807064,-0.008574127883271165,-0.007938596233847748,-0.04334175462338917,0.01915796188903011,0.03708910691423111
COL2A1,,,,,0.03591176018489332,0.09919537256734563
SHH,,-0.018846321215130506,0.013663734990846079,,-0.01346054502728477,-0.002677497643129358
PON2,0.0671180083556192,-0.023178266474380555,-0.01773888804751804,-0.057166780182134086,0.04992574771936169,0.05573605207268209
ICAM5,-0.024699361172075055,-0.008669697724640683,-0.008694766248720578,0.04009070822199828,-0.010489485265704262,0.0018272194070152194
HPX,-0.0002411962081213882,0.031051559408729695,-0.025674150278313775,0.00019504031119816376,-0.026706222227192,0.001977905184625833
SFRP2,,0.03255127872352786,-0.0213977253543965,-0.014907904340478955,-0.010105724765642378,0.05631196617836378
CFC1,,,0.03382686085263668,,,
CD70,,0.02997822492910514,0.014511770070832439,-0.02824203127589498,-0.03977964733318302,0.046722072199164875
HP,-0.014502124938290882,-0.04911474902858588,-0.02443493204202269,,0.023175213540143517,0.012405161996414697
CXCL2,-0.0036903641521909315,0.040913577935965416,-0.028617036366566078,-0.0034593741433664622,0.03302301370906194,-0.0038517381728408033
NPPB,0.03482521160549496,0.08140837922159787,0.043081000677479046,,0.01848033429253139,0.011037794526940503
CCK,-0.028083539606633748,-0.024468584005706156,0.06660941270829926,,-0.04621725146399268,0.12755935760612389
SEMA6A,0.10178175798597147,0.004784533816027672,-0.012759940628158056,-0.008643435234206078,0.04478401511833535,0.032326924284994354
IRAK4,0.08512868665313619,-0.00383660143838935,-0.010223464186646058,0.02229856175711158,0.054284580422339086,0.06557795289039083
GSTP1,-0.06503348589594667,0.006635310345783211,-0.01904170674701953,-0.12735933365306704,0.07921484813799201,0.011832209490839879
VCAM1,-0.03763057557444114,0.015170474079071452,0.005986296444207624,0.03816292296029098,0.0712295210162541,0.06482169315622043
NXPH3,0.030250742383884973,0.05619019400483304,0.0018819786097238299,0.02800439673521256,0.007603748835528779,0.05819016763455917
MTMR4,0.001545790486681002,0.051449226481233824,0.004130233166887071,0.009557189556210245,-0.02678729795460579,0.015312999011680069
LAMC2,,0.029269684725092004,-0.01814971471230209,-0.021941588520285226,0.07297026205277246,0.013394912913940023
IL10,-0.024113162555637932,0.0023058493065566065,-0.04043711899199187,-0.0001536399625874827,-0.03538097366178288,0.0022902411725752897
SEMA4D,0.03938244884731191,0.025240858348021134,0.010428154313154062,0.02020668297745938,0.018062302873208355,0.021288698613631276
TRH,-0.017846249426498286,0.05929142528874399,-0.04782741564995464,,0.052116385961649164,-0.026999995102382535
SEMA6D,-0.049176472105374604,-0.048665068029883345,0.02010481423419429,-0.02035528795366486,-0.012343092769278492,-0.0122887535826155
CEL,-0.019584113892852296,,,,0.055188634574022455,-0.0020441805155265954
PDCD1LG2,-0.02411315006041138,-0.03248858182006921,0.024004685594156777,-0.019812686364003677,0.008240193286774944,0.02652872478490442
SPINT1,-0.0235141720337873,-0.0153886353819107,0.0038752323996291103,-0.0015300349605711504,0.07129746454867066,0.05569074723745462
CTHRC1,-0.020968021978041772,-0.02200045796447128,0.008054079080213685,0.06766141940418789,-0.009633436419324837,0.052981382884412585
PODXL,-0.05164189881426021,-0.07595440410928916,0.010581066825003625,0.004783099555959456,0.0022603868265570533,0.01750726614803634
