,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.035280376668549655,,,,,,
BMP1,-0.04048654898271069,0.037770366395129484,-0.028317210086175545,-0.01019161790450594,-0.044595311110079396,-0.24054377291609835,-0.007111585920511038,0.038528433911778154,-0.14924942178197825,-0.2013473793316833,-0.049399946421637905,0.04491723881045871
NDP,-0.051362176007321084,-0.0033445602986281677,0.05450321825652969,0.1103278613235146,0.02021600585854625,-0.052341071128906444,0.05721108007015215,-0.04409900226029447,-0.06879666258944671,-0.04073154419113986,0.003094856747293024,-0.05517871489161092
TNFSF18,-0.028592009740189283,-0.03925474724207363,,,-0.003955380141980273,-0.052390300206864845,-0.025959772313291284,,,,-0.04313602800416415,
IL36G,,,,,,,,,,-0.02571334856703734,,
RTN4,0.27230087554488946,0.07736376749580068,0.07817316602093344,0.17687040165136317,0.15639624987788361,0.3466920557114932,0.08359416429406973,0.10643500422067605,0.32483971650416227,0.274928545876555,0.13988068520208718,-0.01815043461701055
HEBP1,-0.10219497425257627,0.03986283773338825,-0.0467927252821019,0.05630574163263384,-0.04330791243097497,-0.08374578777962427,0.046210822474778,-0.029637721011347744,-0.11588933609286166,0.06705420622186585,0.004751866397279656,-0.07264341881048662
WNT7B,0.3609047445556434,0.016335540232840055,0.0903071621764233,0.04883974197780697,0.04847390307668507,0.259360839800546,0.03082006547284129,0.0032339497905552045,,0.04625260731311069,0.03050315568360469,0.08321165205989373
PTMA,0.013330574913862173,-0.016747712606243095,0.0017334126850307235,-0.09701711232113736,-0.1432516831087465,0.012487247855830833,0.0494447930428532,-0.046066713165297535,-0.36793764176363414,-0.2610459135859923,-0.02223160432946824,-0.17293878540007268
CEACAM1,,0.12585302863875536,0.04878178289093715,-0.022230436823990344,,-0.06894265114385073,0.017463801604492027,,,,,
PDAP1,-0.04508218109806246,0.0324937635408053,0.03561840471836093,-0.044528258981523114,-0.01493165246962662,-0.22538125133330006,0.012564091504326965,-0.048678422414585865,-0.030627192790141488,-0.11690397896018206,0.05077365250954332,0.050951157559114696
QDPR,0.15494428627215906,-0.0009025509003164359,0.03416287973789731,0.09550122335992484,0.027789220685601974,0.09591227918324256,0.0551644410998413,0.03875045909840196,-0.316068382627101,0.0019686326559000254,0.040716314075111656,0.04778024958846448
POMC,0.09403793813837195,-0.005142760861528689,0.03600107076492176,0.022134986896151596,0.008022686049907506,0.018471893187624266,-0.03012166694190498,0.015183564983739864,-0.0774246132529057,0.07929648264253646,0.029451668250552385,0.003823288760123192
CCL18,-0.03834423601748072,-0.01990551150847096,,,,,,,-0.10075759907778895,,,
CCL17,,,0.03153023470149056,,,,-0.014905324265900648,-0.015448136148105184,,0.0058358075061887916,,
VEGFD,-0.015893696948891346,0.07132903374746784,-0.0019345441933105083,0.04656825889388826,,-0.05910409466087677,0.023500139257013643,0.017128598718302364,0.06344361102490995,-0.011741879028133118,,
TNFSF13,,-0.008607680713045915,-0.015464352077980612,,-0.042138481520255414,,,,,,0.030781397657648483,
WNT5A,-0.05533459436701354,0.0007565559144520677,-0.017682371451372816,-0.08712457458597458,-0.055282437681743145,-0.17017190844502286,-0.003070910548419922,0.0038659547975727244,0.050287175298956724,-0.07465378193091286,0.022234614155046115,0.22688145037317478
CXCL8,-0.1182885219542123,-0.009809686741554207,-0.014831502624245292,-0.08011179641841223,0.007723836697430395,-0.10048784296630783,-0.0250601735454702,-0.028844241788425762,-0.14079357715126647,-0.07569106729479722,0.0016258864159487399,0.09422856811783868
GRN,-0.08868845629182373,-0.03611899100436569,-0.02020078380532179,-0.04813909987926915,-0.10142668748526457,-0.27578346879553245,-0.03860081648894564,-0.0460318475984252,-0.254305791257531,0.026879747454287978,-0.00641264871036436,-0.004811926411904387
MIA,0.00309135561744664,0.0016774362494617696,0.055078492056960686,-0.0532285104505965,0.0007686593253977488,-0.10078165209776266,-0.014430647664258011,-0.03522628737508467,,-0.03447807713732395,0.03608789967795376,
COL4A4,-0.028620372799441265,0.02897866020822297,0.021867225012341642,-0.02455235735199738,-0.021415204536872273,-0.034766192515001015,0.0344491450290124,0.07036912681614077,,-0.03344501392878085,-0.03274509234617276,
TAC1,0.3410310259496548,0.02435259802443719,0.10198285298207925,0.09237553485364919,0.17744751982945092,0.3686595765770073,0.11092330755080614,-0.0005641853092569337,0.2924519039201018,0.2429500949196969,0.16999035901018836,0.1205477901508637
RARRES2,0.03995673862307957,-0.03336063677562203,-0.008480458151326946,-0.12776493441056666,-0.07195375333289003,-0.28256546400619154,0.05616345645574593,-0.024709831835631163,-0.06582637711638208,-0.16642039537663592,0.0016486703622968794,0.09975371214006516
FGF7,-0.057662102873265265,,-0.0014957474044053653,0.04956182651765037,-0.054285913410041325,-0.03778086038720875,0.02574417054569714,-0.0038227336388337073,0.09479688834898876,-0.05820112425791697,0.06241887826493825,0.007932568160649496
HBEGF,-0.027131743065405226,0.013198678394558426,-0.03557791003202543,-0.06558556614796869,-0.03788523377996304,-0.0843027283925198,-0.055559899378448546,-0.0017766437823069615,-0.16790891232584704,-0.08761349147847008,0.033311271530963776,0.004161720546288753
CSF3,-0.04349106976165722,,-0.02672188655640072,-0.01017119781849321,,-0.03678196251476033,,,,,-0.0397209855532674,
PI3,-0.05152165756377151,0.007743851528600282,-0.01835304584611378,-0.026048260245279776,,-0.041416975260977845,,,,,-0.06435674194982462,
PCSK1N,0.25181432403523685,0.021509975741669185,-0.011834130843564543,0.0585373805365243,0.06465815529975523,0.1892596871087818,-0.03129056537959898,0.0378793368688216,0.3943263523818255,0.24945263397884498,0.09416989337484441,0.1731942124318963
NTS,,,,-0.022315887374979453,0.002692385100670439,-0.045209456483111234,0.0157343835990545,0.012664805116495014,-0.05765142224654542,,,
SFRP1,0.10933421589843793,-0.0075928610682830565,-0.01956173201690446,0.12577762147589047,-0.05703937168035136,-0.047007125008880185,0.0374370090036597,0.11797164221545818,-0.13137495361657392,-0.009440114428337228,0.029559467342476463,0.055819154504645085
CXCL13,,,,0.06784567438974497,,,,,,,0.05885049032999342,
