,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.014337208159708084,,,,,,,,,,0.09330602477398593,,0.07210120523124283,
BMP1,0.04921830605438434,0.067198378529383,-0.024831944937214436,-0.03477634482652325,0.0358086321768268,0.08010822492601875,0.06841560955207478,0.07692568362472056,0.05141040209557837,0.008188263194032944,0.10168710187166034,-0.010980903349068673,0.044522614954299336,0.03418918937626002,-0.005107151013633373,-0.054550207300394164,0.04505172691961864,0.018150666095002307,0.0890500358477254,0.024081145092774123
NDP,0.044783984247871875,0.017308765827919067,0.0003772776647086171,0.06674106565122659,-0.03020903217254451,0.07545958414536308,0.049449982568491355,-0.02955896399265023,0.00769117248588015,-0.0009112541108752481,0.04067565342042385,-0.04961552566245106,-0.0017857527353736494,0.018417000891188248,0.04370464224979856,0.015019228420840998,0.08078536278761664,-0.00777803514428268,0.07015373234288153,0.015420815473757243
TNFSF18,-0.039827175464426774,0.037038352335835766,0.041668008249560025,,,-0.018038166961711333,-0.00332588647935386,-0.013259368277169848,,,,,-0.024124922868578577,0.038703498845731904,,,-0.008636075277823169,,0.04584594042974387,-0.028558123729786108
IL36G,,,,,,,,,,,,-0.017614511030596462,,,,,,,,
RTN4,0.03811306041821047,-0.06131424203305032,0.07007188520414794,0.017798686010307648,-0.05506275222982939,-0.027193527592511167,-0.13045062151973813,0.032368312178172993,-0.05218862810402563,0.03314055911078466,-0.06230304254942434,0.04898198345094329,-0.020032328535023364,0.02360949905110081,-0.016175176431521252,-0.04416887204331147,-0.03401061147220114,-0.041689544175800355,-0.04308392168390287,0.021092905913411654
HEBP1,-0.038770442473479536,0.021038356704547016,0.01662486694176565,-0.028547879406741836,-0.013584892050721645,0.02867589900823083,0.02870771574635241,-0.018208434578824782,0.005106646886068264,-0.010059444274119778,0.007911830814669627,-0.013772152278051253,0.0010550767259176036,-0.06835559897840468,0.014272412954012723,-0.03873660152644364,0.036808795360116234,-0.03046639643006629,0.04753449399020249,0.04719292107302987
WNT7B,0.06641316403774884,-0.04173586248959303,-0.006062209040492669,-0.03462046447507025,-0.03204708367841359,0.07814496480793441,-0.045809570513374115,-0.03800674488288986,0.04878493087439574,,0.005925816210848023,-0.019360377543527926,0.027915890082846093,,0.06395718058574917,0.05609582431805677,0.016527515760443062,-0.021514601703558556,0.049496821137665695,0.05203682490949365
PTMA,-0.13930791651497706,0.05905206492225812,-0.015180470273871835,-0.00020351598939303457,0.0401272033573885,-0.0028834300209818467,-0.05419897246177829,-0.02192360746385332,0.041857029610328035,0.014912184844612963,0.08011661474253537,-0.0765874126353317,0.10495975768817711,-0.09457247690807051,0.011227525389931405,0.06254350222668137,-0.0862153277237276,-0.009638943067581486,0.08069670484765021,-0.023379907521770445
FASLG,,,,,,,,,,,,,,,,,,,-0.028143535328625555,
CEACAM1,,-0.01794979836350296,-0.027564465277494263,0.02823056409639085,-0.03176074375337188,,0.015121600161472314,-0.02085382746714987,,,,,,0.07330982656898388,0.023776405624235747,-0.0187637893835166,-0.02637927463273243,-0.014279554052574231,0.03100168625797107,
PDAP1,0.06381451599849434,0.04162245920411899,0.012935999109162155,-0.05984424319192179,0.0023304478714726794,0.03309970861769963,0.06161162890614642,0.00988889186776765,0.00027000371506236516,-0.08547499725575206,0.06933299979609427,-0.05583169426472001,0.027325469386110864,0.0837255990829061,0.016210046315762203,0.0036674332319883364,-0.0026784834523421747,-0.056858538823014206,0.03239939836988736,0.035713857296718055
QDPR,0.020303079827222965,-0.06989454141699313,0.037047982098474465,0.006584905775882659,0.035241072960231073,-0.009995560313520153,-0.15124203480966164,0.005841505734853973,0.014226798822800034,0.03416657050393631,0.03953919958672601,-0.03169438628956062,0.05230711233503374,0.10347608943330948,-0.02109760786011955,-0.054683145524142926,-0.010148837778571704,0.03927850433794426,-0.02113567497421601,-0.04650746055881874
POMC,0.0023026495429567446,0.012298961551376063,-0.027599609312298982,0.011154775459725545,0.08631872166321627,-0.00033038748537924935,0.06212512100411956,0.020479695017210933,0.08221304441665375,0.009980757751790801,0.11775158759827375,0.03886831686592256,-0.017911913052916964,0.11484090152610443,0.000754988932605299,-0.04505314282027755,-0.042162188914131184,0.040741746050901244,0.07977659727856372,0.008963057990699257
CCL18,-0.008996775118286495,-0.02239965238841545,,,,,,,,0.03740942687557561,0.0679000000435988,,,,0.0159997441614457,-0.03433750440404625,,-0.01598618489439048,,
CCL17,,,,0.014768875980394816,,,,-0.01653701376134031,0.009848682442555904,,,-0.01609135590224848,,,,-0.013312000374670204,0.021899160742229373,,0.03922329637881172,
VEGFD,-0.04050519008711613,-0.022399659501354217,-0.014054717467357383,-0.025815048428879238,0.011755386194251604,,0.0715750878261241,0.09366524787606394,-0.021703799934313334,0.024486994488570255,0.029217779681698138,-0.01724560452342498,,-0.049543610562107675,,,-0.02251680422197727,,,
TNFSF13,,-0.016903501860578936,,-0.015982834531819652,,0.044951992370259077,,,,,,,,,,0.09490590138659455,-0.009019913716479158,-0.016034982149125993,0.022125136213666408,-0.0310671650962002
WNT5A,-0.05795996650558752,-0.0038939725413890372,-0.01618010403402613,0.07361516361797579,0.09205924735651022,0.033155624813318456,0.03843308839109258,-0.018111000055474415,0.06484287082947998,-0.02226472631654561,0.0036314218604656064,-0.02865298868587007,-0.03392987868494917,0.10675037893382511,-0.03963461523305951,-0.023568948727618822,-0.0352285019933123,0.0241119953923133,0.03875247091040633,0.04695761520881458
CXCL8,-0.050163873863950006,-0.06995787305566041,0.04439978162809133,-0.020763924048863555,-0.0654879006866294,0.004235871628123741,0.022511527225331417,0.028800791138837056,0.037090245404544475,-0.04262578908067966,-0.008496760387828997,0.027885433374993638,,0.046861810850641145,-0.03515127085368408,-0.015926343558875348,0.01476860831078727,-0.012790325872969672,-0.029612382414875536,0.0075472440685074894
GRN,0.08788433630683215,0.007632940583009293,0.012218003038724598,-0.020912638864618183,0.03436659043199322,-0.016649001296249764,0.08505485013918446,-0.00964493785256974,-0.005117877944722091,0.03575768900807767,0.03602120531295072,0.0534595213936159,0.012517474675907048,0.027724140593144535,0.014526038852274119,-0.012827247299606674,0.04641741824252313,0.010454518251622353,0.025396346321987902,0.02789980493141698
MIA,0.02607675320826834,-0.020670119890074633,0.0011568503100994213,-0.04156372182341779,-0.014726994435197836,0.04900589289825427,-0.021488542914022076,0.03775735192367832,0.045599063772225695,,-0.00569016278653055,-0.023618645718810883,0.04341225746681214,0.04492966001265865,0.054726084440469426,0.09453407782374194,-0.01648827345357876,0.06466947057676782,0.02105580221134626,0.05337987326277298
COL4A4,0.010317916583538762,0.052609893363362054,-0.009661160329204123,-0.019679926407249554,0.02292731261163079,-0.016644063059026337,-0.014128254459720468,-0.017265154000075594,0.009832363165382113,,,-0.022910962577708333,,-0.013756501119555991,0.03139141023456864,0.1579108382109191,-0.01047207539010791,0.0381972393976004,0.020796108253790958,0.07582771145105158
TAC1,0.0978891551405908,-0.08047853484393098,0.016174429163936604,-0.045443232941287236,-0.046972619807701725,-0.021132169810003373,-0.03902949187929665,-0.02003738827982313,-0.03741602068956914,0.06780561940057102,,0.0705057750520588,,,,,,0.005697247134211027,-0.03353411350380642,-0.012399954795793429
RARRES2,-0.07590368019328145,-0.021620749001609013,-0.057382361139653816,-0.01195338841431682,0.013227497008071278,-0.04333167203110768,0.09860484358030336,-0.006264964533022621,-0.015014196463416793,0.04930792151683819,-0.03329455889742814,-0.0007499557827974518,-0.05541994670598945,-0.07001277530874933,-0.01750095612054903,-0.01736722080881047,0.013653488236564542,0.02466476877212387,0.0015552650103924988,-0.07751865871388212
FGF7,0.07598157488349348,,0.001474732255346103,0.030022696252497767,0.006058750859972155,0.05122462869825188,0.016758464235117322,-0.009526863435081153,0.030093945782467865,0.07768214873914393,0.00661299396753499,0.00906337427337978,0.018847280850725505,0.024340980441575864,-0.0014998747594044638,-0.04299522366088971,0.02033012406734234,-0.004943734414039553,0.0412903918823364,0.04954323949209175
HBEGF,0.06788664371629412,0.040318119280364294,-0.016756283133091018,0.05845874441736454,-0.021533470041221678,-0.008189750279474056,-0.0007691301043897563,0.0888019617515909,0.04959057044649642,0.02997568597648878,0.10345057085228276,0.04513946694518244,0.015328285205786432,-0.016587802799016067,0.04938959831800252,-0.023173804590613224,0.017443410593318373,-0.03383068352381306,0.03836113523506217,0.012157149031718042
CSF3,0.018429246991579943,,,-0.027617807009007247,-0.0455203811975265,,-0.014947421283254048,,,,0.008024292706077994,,,,,0.007125882291014118,,-0.0016255794751331165,-0.026856993029982127,-0.03652384591815887
PI3,0.010161420368319685,-0.023565378721251272,,0.008534062130347011,-0.04302035616911006,,-0.016830993649550798,,,,,,,,,-0.004007353440040612,-0.029523601797641935,0.03006648565961876,-0.04238711855775727,-0.05615823858681215
