,UKF248,UKF334,ZH8811Abulk,ZH8811Bbulk
BMP1,-0.008620764109331453,0.0674628488822971,-0.02654108199810282,-0.020353215956009
NDP,-0.013510261347634847,0.05530398305210211,-0.04275694891986907,0.09317920191375997
TNFSF18,-0.02483050185654546,,,
IL36G,,-0.013752909901546135,,
RTN4,0.08452080833151467,-0.02849487358804351,0.006601760569576956,-0.014089055310170795
HEBP1,-0.02292710000203686,-0.028745804908010333,0.027685523435294748,0.04470078090360767
WNT7B,-0.027740530324551496,-0.015116032886383251,0.013057846299371253,0.019916009972790236
PTMA,0.04822484084302454,0.03073953117950287,-0.020808689592923806,-0.04727704684452227
CEACAM1,0.07097980067857886,,0.01794069807242245,-0.02731579822959032
PDAP1,0.03372791487166698,0.019056938227127212,-0.004397403518062406,0.0003406222603955405
QDPR,0.04487688465536457,-0.00485935788057983,0.030790914201238865,0.06430416788242552
POMC,0.02432367978196223,-0.005737408287759159,-0.002097775866343797,0.028637382819851568
CCL18,-0.019721816330907405,,0.020393693452888252,0.0033634531417981563
CCL17,,-0.012563673640042117,-0.02096587381342432,-0.03943206961476282
VEGFD,-0.019721822593507802,0.01126318358466231,,0.13008807869071487
TNFSF13,-0.014882720198635716,,0.06901119460717331,0.08631526333134922
WNT5A,-0.009004831075114848,0.05830158790386089,0.005909299268291102,0.02278461581738972
CXCL8,0.0015313968756231113,-0.005893357814743158,-0.11413014018272859,-0.17512277728916056
GRN,-0.04342417113441781,0.06400577316946868,-0.02384105687550839,-0.024068135698757112
MIA,0.06772579430862585,0.05416575628959876,0.10138566757978314,0.09814548826342642
COL4A4,0.005858652638095689,-0.017888228832557505,0.0020056714440399278,0.024454187803821064
TAC1,0.021129617924497846,-0.03170168518015133,,
RARRES2,-0.011160994762745142,-0.0023756222092390956,-0.07019174193513526,-0.0804565446519659
FGF7,,0.023612517453216384,-0.013185430203794233,-0.02545002599196174
EFNA2,,,,-0.02596183815995252
HBEGF,-0.011697147304088351,-0.05315800063804307,-0.0097638033781193,0.014679608969152894
CSF3,,,-0.0761691237039618,-0.08494492516182157
