,MGH258,UKF243,UKF266,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.045114054938455536,,,-0.04031601168326705,,
BMP1,-0.12944854995521426,-0.001435223286754306,-0.04565597740975098,-0.005809840380076988,0.036621563437779156,0.02616913599345738,-0.03877766309440649,-0.00013097405987432182,0.11044016928328411,-0.017697104258936867,-0.021068980231902085,0.019820404033658277,-0.015272784602957652,0.05237226660250739,-0.028915071889901226,-0.029814305786558408,0.09171144432056391
NDP,0.009474157707580857,-0.019530849437078078,-0.04373633286432671,0.0021688463256076887,0.02038360965084322,0.09500121819552955,-0.07967636340583108,0.07523936763568331,-0.012060185429307717,-0.017211617741973387,-0.03224123063042336,0.06544782411376666,0.01839854509384617,0.04104420764097543,0.02989778425850868,-0.04328482951068936,0.004741684243232127
TNFSF18,0.0036033425636116997,-0.0207241801089253,-0.010614855467672366,,,0.08403122623325525,,-0.04020245822658133,,,,-0.0019600872970541596,,0.0031583240135019588,0.02160584776713082,0.04456301973581016,
RTN4,0.06237535363336377,0.09885985932582528,0.00883584237118689,0.053312305382747144,-0.07102121331528762,0.015759099417880694,0.018089854261683358,0.06997715658722437,0.010363757371437481,-0.0619713144772255,0.053303083449950495,-0.02940300201676402,-0.021194650290731785,0.02090237596216399,-0.037361603769694274,-0.028007266532274113,0.06947457258450469
HEBP1,0.03110739668066062,-0.016664163460387516,-0.00941518473796692,-0.03231873303403655,-0.007660083379019796,0.014681098125884019,-0.08023136345619984,0.08489157541723276,0.03359326963063382,0.06347958543935944,-0.04187849315739429,0.01734382906381967,0.0005201166125976375,0.02535217842353855,0.08923301336797718,0.06952715491725393,0.042902811092958744
WNT7B,-0.00629147803202689,0.005573301223690942,0.012229722194224763,-0.011246855396774986,,0.005875293005856171,0.05687451935818846,,-0.03331961972065948,-0.008163715267964076,-0.027663521027960294,-0.03050865681358973,-0.03286502361972758,-0.043921713737535596,-0.011356421474358875,0.019055077323932582,-0.03587217626471078
PTMA,0.02205455245484989,-0.05091920278153608,-0.01788253337434012,0.05411236028685702,0.004073735876609226,0.06335359742223694,0.16432305265175137,-0.12488812021083458,0.015796159998809168,0.1374365089775878,0.09791257951433849,-0.10190436506048597,0.013396691659524214,0.004345617062994236,0.04989427004944935,0.1426778313614409,0.01962041644048241
FASLG,0.0034045177697218537,,,,,,,,,,,,,,-0.023407759421758524,,
CEACAM1,-0.010759795575822233,,,,,,-0.036400838255801295,-0.02826915106824441,0.15756124073299893,0.06296868832775261,-0.019403418800295596,-0.026547610933910365,0.06400989926786575,,0.031868259843057675,,
PDAP1,-0.033150056126683064,-0.015083841915464198,-0.029176536880488203,0.07202317694964683,-0.08638613344561923,-0.043628774144169886,0.021600607029152293,-0.06108907109258542,0.0458345059549288,0.03802128266393053,0.05597127076439943,-0.045412564902757684,-0.048980505593968195,0.09916530469006164,0.028693624398225107,0.02355073369294816,-0.011092992769279138
QDPR,0.16213116774225614,0.05411076066365151,0.0063292702466530735,0.08206340738738102,0.04365917850529429,0.02692699392639912,-0.10756701028038841,-0.029021918074431014,-0.0725143947536108,0.06740733858304866,-0.035324993070645266,-0.0784892362084855,0.034775417936340564,-0.0022457112902814127,0.009929833718223112,-0.10782158280441297,0.1262591548800376
POMC,0.0036485570755865745,0.02179050496593031,-0.02800412963829353,0.031772760134769144,0.06255238895165725,0.0714301507835737,0.04953031495916564,-0.042253787064295466,0.0010213770594915956,0.010251130434825124,-0.034049677796611534,-0.05367233697591443,-0.03162218263064471,,0.010222274361006678,-0.08113196471874058,-0.012734497949687429
CCL18,,-0.027792829555749524,,,0.02383650317433937,,-0.06128878189223379,,0.017690090688075946,0.000900667624884952,0.04762902925512706,,-0.012312666651506288,,,,
CCL17,,,,-0.013920454173200043,,,,,,-0.04294773571761344,3.797278517945147e-05,0.006406145543189894,,,-0.0388262901179975,,
VEGFD,,-0.031314395488983335,,-0.010210821482018302,-0.019823609239438898,,0.07167156641495376,-0.03843129139196932,,,-0.019300363568603304,-0.020206663818218985,,,,,
TNFSF13,,,-0.010294195419878225,,,,,,,-0.03211453898587443,-0.03576033077650623,0.00904850959139548,0.043971782308493836,,-0.020682984693818452,-0.06579015832391993,
WNT5A,-0.005399069964616073,0.0007074136000005647,-0.02024910046117508,-0.0003828173249619671,0.03003485415697195,0.10531941574325691,-0.03889626684770569,0.010617259477003494,0.15864700765435805,0.0036612797426531576,0.03918977279661354,0.0606033750545041,0.05686535430404005,-0.002860420293892991,0.0012263965043243976,0.10317905595116754,-0.06308904623069632
CXCL8,,0.0016517923051667944,-0.014642825311954325,-0.00950876094533376,0.07728850424874244,,0.14064466542673013,-0.0016330596578024302,0.0746344990654468,0.00785728300577928,0.07748141853878354,-0.02471559196933273,-0.004689116867568487,-0.010097196860162578,0.03945507765385409,0.15800529211929,-0.031148879409557153
GRN,0.16045472307150987,0.08890013371369855,-0.06999966388053064,0.02379039526392262,0.05185253370349059,-0.03219139257718524,-0.06698469240030937,-0.008744534851719046,0.058389273093516984,-0.05803955612242058,0.05676781577291942,0.09706655660143611,-0.0016272250475640735,0.07286948545182542,-0.055019446802030234,-0.042174873796375766,-0.004501406262575404
MIA,-0.013677434189209773,-0.04904876241511671,-0.0186138906701514,-0.011612659056814467,,0.07453552275677708,0.044587571060670794,-0.053304711035761176,0.03774392343687874,-0.050013087280305006,-0.10642021647552084,0.11723514441964665,0.006408710003451656,,0.009103314824662718,0.0413084544503869,
COL4A4,-0.006795456971150641,-0.031523404078141956,-0.009794472140179578,0.00980347424711396,,,,-0.03009245803465859,-0.021206547857976345,-0.030914365694375147,-0.05820583883382643,-0.011501108450966423,0.055568601644945,,0.03140706192382347,0.028543577030630044,
TAC1,-0.01223236360880759,-0.010169253377830421,-0.031313135357192885,0.0592907107618116,-0.0349546026086881,,,,,,,,0.09124164091946983,-0.057453862858999664,-0.017149325912469895,-0.01147447125847978,-0.04955789679238646
RARRES2,-0.2402375594147361,0.014432369749778164,-0.04854115657457009,-0.007215942199596619,0.08870385961193433,-0.034344459481570805,0.029787414229703168,-0.0925591473029235,0.012649168060674102,-0.02564434817892861,0.03749140284979844,-0.0056756882527409045,0.03623255164168622,-0.030014594517415866,-0.0018043832378839533,0.15003710491128255,-0.02867003132963938
FGF7,-0.04700508499338788,-0.014521661102340192,0.032412947271344826,-0.04049531258237246,0.06222486404286162,-0.013274943975311147,0.002326688821307635,0.0009639085877370094,0.03258823148645194,-0.0017485334075885053,-0.011651043431649818,-0.09660564296489056,0.013711850729761178,0.010878816402300182,0.029050103867462384,-0.06701101279953113,-0.0007143013724495902
EFNA2,,,,,,,,,,,-0.007392641171794583,,,,,,
HBEGF,-0.005139193552537694,0.09699877268486533,-0.004763530979829962,0.0190212923325658,-0.004013608005162978,-0.0320973956424957,0.0888843969393575,-0.07719181675930577,0.06717047106856633,-0.010901387730598044,0.011663361572990564,0.05528675941302614,0.014743880655422465,-0.060412839252008986,-0.0858663023816543,0.11669464331748991,0.02505736490687628
CSF3,,-0.013264313440226709,,,,,,,,-0.04362560671737705,0.10800644209133584,,-0.016391512366628874,-0.01369055489718989,-0.04087809383204807,0.08528656725638895,
PI3,,0.08033900008757079,,,,,-0.07389632050815498,,,0.04295323337310198,0.09991614924763531,-0.007762937893928989,0.04747150657999154,,0.05141638197743714,0.10466347967233325,
PCSK1N,-0.139539388489399,-0.01186720584180273,0.02285577326912864,-0.011648460387398946,-0.013353955552230432,0.022706887132699846,-0.037615421152590645,0.037439129246044645,0.08418962991941728,-0.019073747961025067,-0.0524262118474959,0.01572504062007472,-0.04028608487271825,-0.07996678841432997,-0.053532448526856596,-0.13393195087478368,-0.18090999876826244
NTS,,,-0.011956825098992183,0.013527046536466568,-0.017847616195944035,,,,,-0.07820483713861952,-0.030273954761937793,,-0.052349073175237994,,0.03126017142196198,,
