,UKF243,UKF248,UKF251,UKF255,UKF260,UKF269,UKF275
IGFL3,,,,,,-0.018276103230118853,
BMP1,0.05835696682615194,0.046457627424383696,0.011559276624823074,0.0634782224991227,0.08161914197492959,0.0978697344793856,-0.01632872410880484
NDP,0.07441963868022963,0.04913864695836488,0.00530787506971796,0.0023869967155478737,0.035446736714380506,0.03397528741222851,0.0013427928883162383
TNFSF18,-0.008174803839930281,-0.024830504610871256,-0.0033398064806059867,,,-0.012082378261318881,-0.010492886264367403
RTN4,-0.021583423241877252,-0.019677756719052676,-0.022126470529188827,0.02479217127965007,0.03976913124035233,-0.17019670903064876,0.011269638684301884
HEBP1,-0.019895451414517876,0.012284382224689482,-0.02094754129557497,0.04881790167151849,0.027071671643717342,0.08551642408155043,0.010579826582072648
WNT7B,-0.057486795768484936,-0.03674642317934705,-0.020649633499054704,-0.008841324016158046,0.011445413180647795,-0.04305285257836741,-0.02035369253158965
PTMA,-0.04352903710310225,0.03286064916380015,0.02626553483591241,0.07010460265381646,0.0016334807649182094,-0.07602237682378428,-0.017085745450444844
CEACAM1,,-0.01580393568753256,0.004349116348843748,,-0.017528507684482154,0.055649332683712985,0.050778829122198894
PDAP1,0.033822587239218826,-0.006889626698365049,0.0020107772791981807,0.00918920032322564,0.012953252764923026,0.11842408441216808,0.0025943976655265753
QDPR,-0.06506068205886635,-0.00029759899653874843,-0.04133006293066301,-0.004397497246519317,-0.010222561392858369,-0.11535480810408341,0.02536888255703764
POMC,-0.007323873159467212,-0.01699393616133994,-0.02815821567647411,,-0.03527150246480827,0.05953658157488317,-0.012175115463271666
CCL18,-0.02187025188158324,-0.019721818518551773,,,,,
CCL17,,,,,,,-0.013086672073871963
VEGFD,-0.01492929957729905,-0.019721824781152864,0.03312836289526574,,0.005744771473736705,0.0865975756898578,-0.013942742208757665
TNFSF13,,0.07536108286556951,,,,,
WNT5A,-0.043287322441636876,0.03406469709786754,0.0247814006319422,0.05691544437914912,-0.045791595036338145,0.06204233257416387,0.0028327450229888754
CXCL8,-0.01918053052943462,-0.06161896964600158,-0.021253204070151712,-0.03158963969527025,-0.04770550531209998,0.06563082588084086,-0.037948902403776706
GRN,-0.01455410500179627,-0.04824858563974003,-0.07436271067480706,0.00991926905482439,-0.019146225090092683,0.04605515538480828,0.0017992351047039546
MIA,-0.010177700932354095,-0.03003162852712923,-0.020186148947704114,0.08239465571995837,0.018447830952889217,-0.028856437199160045,-0.025722027070499462
COL4A4,-0.015158619403122943,-0.008703910853889682,0.09395412310193019,-0.011350395793241447,0.012507103826796352,-0.018009743186465366,-0.013662890529370619
TAC1,-0.04303491624103414,0.06587121002812885,0.04352732771492289,0.05641156381878671,0.02156313650207601,-0.07932707513268736,-0.026186823656405636
