,MGH258,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01260386984282107,,,,,,,,,0.02609697878366973,
BMP1,0.003375931951100616,0.09990514899324188,0.023575248103316328,0.09327458277584445,-0.005815491359273368,0.3209222696335431,-0.010225216825223484,0.04107092019200699,0.063308312174592,0.051493025358749486,0.15593491264566373,0.0008983791009366363,0.06465165293524157,0.04692334428420627,0.09758499310559955,0.0337431861179566
NDP,-0.0802779071930707,-0.019502197712910934,-0.06777069034290552,0.030047084874040883,0.0012515256614327782,-0.010853685314948278,0.011627938674891902,0.022549649330525213,0.11705860840561856,0.05101215268441911,-0.059808945571647884,0.023427817991510842,0.048227571963872944,-0.036933575442872554,0.02487475359148398,0.010651581964677845
TNFSF18,-0.03812854622201062,-0.0371849612236922,0.05553904045763092,,,0.10697620565529886,-0.037698792108620795,,0.07313598119987813,,,,,,0.023865653937219886,0.08668790342377694
RTN4,-0.07420993863406923,-0.010816167776423394,0.024013346383392132,0.008045833121261305,0.004566013980582674,-0.29310259460483773,0.025437092218294013,-0.02840279752089309,0.010739987428299303,-0.05121523583241917,0.0029383958589188713,0.021890957601359798,-0.059873296825708605,-0.03545013263745999,0.02027742315113576,-0.06915443809192956
HEBP1,0.02541335149475632,0.027082923850204187,0.018794774131968155,-0.005798946575153966,-0.0502294486089622,0.14556229977596696,0.0006989685504688832,0.014046559046220517,0.07895150363471934,-0.029781394287056298,-0.06244544354344656,0.009926982274349563,0.04913958006618207,0.013903636261609299,0.04723833346189689,-0.04223620876986766
WNT7B,-0.03359005500231492,-0.08679011285036828,-0.03262813709943375,0.09293966509078548,-0.0041816284115995415,-0.13723582081476565,0.004748454501751864,-0.030913281286240466,0.10206702870132482,0.0719181556782563,-0.009101088102796,-0.02059175580467299,0.030916491172547883,-0.026262290516935745,0.0973276862887683,0.045250118542819844
PTMA,-0.011373504291428953,-0.12291589550597246,-0.03949259471470269,0.0019481892196248326,-0.028415777309849486,-0.26980863173235525,0.01279590684966667,-0.004348183171410336,0.11063942401370483,-0.04344874362932624,-0.03471987030335106,-0.041553567232665636,-0.10481335508034925,0.01718654897020555,-0.026971150233647184,0.05693097774326976
FASLG,-0.033590064498137416,,,,,,,,,,,,,,0.003557711540585134,
CEACAM1,-0.046640098525401574,,-0.026441406097214286,,0.10311675834935581,0.09815731911343346,0.01674778029095787,,,0.08431053408565671,0.14691054837606424,-0.007949092853481,0.034532571215337066,0.014533801932315021,0.0581281515947693,
PDAP1,0.011626246216984973,0.0023156046860045563,-0.0006362600393563643,-0.014335385064648907,-0.03858191240920688,0.24550875664220354,0.024870444171818974,-0.058066336356175384,0.10007492670388786,0.008528164724730362,-0.019635813658291434,-0.04400774564434932,-0.04601304355344184,0.053201724204060725,0.02947277968849147,0.08910473868425936
QDPR,0.02198820180423177,-0.013991849524923314,-0.012807963260152657,0.014134600273075835,0.05764000571360341,-0.2743253349752587,0.052221168923612234,-0.05627167203098818,-0.07289849068661947,0.023021143824024475,-0.17598918114248585,0.016403787391030343,0.0061756505355869155,-0.03353021503785682,0.029123060435632914,-0.05707410961621944
POMC,0.01064292911219599,0.018289511569441568,0.02327132139069127,,0.03442723036913113,0.009271488030728546,-0.004072885741269427,0.022514074263443613,0.06982918173723587,0.07253996038568201,0.08678708011739743,0.05861343141535354,0.0026811449217694293,-0.019176321564782123,0.05576400284915914,-0.03249301339708854
CCL18,,0.008801249171821818,0.055314751147565164,,,,,,,0.09314851864366304,-0.019964874608424433,0.017227134328696693,0.01912091351010096,-0.0235480256248252,,
CCL17,,,,,0.03827333458061107,,-0.017589570171321754,0.015605201576683943,,,,-0.02942379508879334,0.1228462178240281,,-0.007647232652446035,
VEGFD,,-0.02364265064352701,-0.03299638699668637,,0.06907681008842118,0.04930706176800336,-0.0026070916518847634,0.013712665313922144,,-0.04576504668804076,,,0.035362666382484594,,,
TNFSF13,,,-0.024900132475547246,,0.05245173075441196,,,,,,,-0.02645570842713582,-0.004372858280646576,0.06754509099003927,0.005302231810576404,-0.00732796747897947
WNT5A,-0.006946876168466919,-0.012860938037555695,-0.016082801507957364,-0.002938655329036591,0.03946963729106996,0.2056972870390751,0.04344547583784166,0.04716483993425963,0.11465642411640846,0.038000856238896014,0.0471653706363676,0.0005397783503418013,0.0025674523381737304,0.008014649119028903,0.024365215831928373,-0.027647996327282837
CXCL8,,0.00651938528075876,0.061515248662291994,-0.0867300846789779,0.05078040589581398,0.11148665824735458,0.034961304969820514,-0.0032671223422123968,,-0.05502020698618322,-0.035151305082540475,-0.050253955029682836,0.0023286420851446783,-0.02559066542535471,-0.05653537006427017,0.02716322005128522
GRN,-0.0353907814721374,0.09703387786968368,0.005920578462484037,0.13216274537758788,0.001041143257164991,0.24452945335489581,-0.020530078020623524,-0.02679641662094182,0.052944263813122366,0.12865628962810016,0.15517508275093325,0.029967835685144502,0.03863540104399031,-0.028522972593633945,-0.045494089112062076,-0.02295255351428267
MIA,0.025181332512659187,-0.03254169272023725,-0.02819642306583786,-0.025242113214845333,-0.004957796393312885,0.14580242097168597,-0.02792936795626015,0.033009487493187675,0.13810602077717987,0.05517098195911792,0.10639363177533528,-0.01966586965670255,-0.0225089772324501,-0.024482389069917718,0.1168184290672073,0.0434639807770112
COL4A4,0.08337074775059582,-0.024538771413176848,-0.02174621938581723,-0.023296668791149645,-0.03576325257075547,-0.04815705663743406,-0.024475385019307145,0.015566975841060152,,,-0.025241839595434593,0.006012766965814334,-0.02436119321135889,-0.023458797225851844,-0.010935342399608581,0.022065055133865422
TAC1,0.06372189336178857,-0.07083922239432897,-0.05244523498179051,0.04294278355066534,0.04061020230854661,-0.20526072145133717,-0.018871088025899943,-0.007611309687034729,,,,,,-0.04320744429479246,0.02278801244011811,0.003193846148912383
RARRES2,-0.004144091532461259,-0.011194442635390711,-0.019529124407043737,0.019390672347448155,0.05788347243894362,0.3173216337182369,0.06954270903197456,-0.03697630389073743,-0.051872446052271544,0.014522543861801985,-0.021518491186144576,0.039854105702261396,0.11644408028159259,0.011032683200831115,-0.033147570522955354,0.13111378203159485
FGF7,0.024095837908695492,0.010201524870673414,,0.0033063929064379035,-0.010884266968559497,0.1040886377043773,0.009284119362145791,0.04327553741228734,0.16553972766621924,0.03488329168756314,-0.05581021929950189,0.06830515407129678,0.02781882592686398,0.027424597896503332,0.07412887412730096,0.019486979319850037
EFNA2,,,,,,,,,,,,,-0.02557990410012323,,,
HBEGF,0.044567024120199236,0.08835262129793489,0.008575947846246988,-0.017769142356030387,0.05745090621013352,0.20405536886340203,0.02281773998544336,0.027489715019460133,0.1611911100450253,0.014722307135980238,0.12028108943117014,0.011094604887403391,0.009064078324890073,0.014159552322698547,0.052989048294506416,0.07985824452275886
CSF3,,-0.03452236355811047,,-0.025967243069108026,0.042347750354952786,0.10418356543522837,,,,,,-0.008063207080754402,0.05414921966691036,-0.038332128478756715,0.013702531925931754,0.12013751450419491
PI3,,-0.04832379429529677,0.05637721997285716,-0.0615200305569578,0.04866610248195073,0.16212212359613964,,,,0.010570200922601452,,-0.01886653561424204,0.0891273243652904,-0.01069085509760236,-0.04922768687247762,0.0611242976044219
PCSK1N,0.0360826733910538,-0.07109377950922773,-0.018761521914578028,0.0626473059600744,-0.07675250102540637,-0.09824143273383881,-0.010631382820688493,-0.055633334488490005,0.013729580127852001,-0.011695205749340415,0.01820641353443676,0.03839223419034352,-0.011472779659945044,0.017630718425721042,0.028932423865297714,-0.09431434531851635
NTS,,,,,,-0.011293630774769166,0.03920416590723709,-0.0026542895697541486,,,,-0.019262048073684642,-0.0037118032148448577,-0.0056556724940498605,0.026818063920754965,
SFRP1,-0.008524723901721296,0.018190244057718227,0.02605385036158299,,0.051106586828961485,0.02598181113208719,-0.004837715252173782,-0.005962488701490786,0.04552711156896105,0.07662475282703286,-0.00395109482508484,0.11648937436415119,0.0033287087131313666,0.029262060697998735,-0.027990713456482515,0.033641787499887214
CXCL13,,,,-0.018855290984879192,,,,,,,,-0.02008891496382416,0.0197274105453449,-0.0070367144232237906,,0.11008010771351687
MICA,0.04143349439504399,0.060019865957841353,0.062034541017845335,-0.008373611401226068,-0.01503349202425045,0.24987277273474962,0.015104402564681003,0.062170975710364,0.1283678330873994,0.0650453197328364,0.07239048910910047,0.034256100692941924,0.07919013351189358,0.07051050888527587,0.08368132351285215,0.07103835287965898
TG,-0.03890137884982326,-0.045088732516004294,-0.037696299293151755,,0.008296042706942373,0.033147873855167924,-0.005522255821479708,0.014260147246130407,-0.030256692622526674,0.13535515696992279,0.010216637705182408,0.0546246112833773,0.03876609694393032,0.02608522211029839,0.08821526022521618,0.012214283163135407
ADA,-0.03200136578168285,-0.002909145042567854,0.011413977058153028,-0.04032088050798983,0.048141494250036276,0.20733060109879364,0.003052756183283255,0.01500529979538818,0.0917955787610665,0.1559381271068481,0.07079730203451924,-0.0010517829933747362,0.03358359318827295,0.042315976898244775,0.13729015959859894,0.057142111613352836
LAMC3,0.02344790176719769,0.0034403465425437833,0.07709233797188031,0.09449028854793805,-0.0467195724559802,0.21687401231362488,-0.006203181753403745,0.10021124438229514,0.22429648776126068,0.13897225856844153,0.17588929571521633,-0.0074263903147736305,-0.005712749911485876,0.13304313522105712,0.06740303954625824,-0.025738178238999203
CCL7,,,0.04531669159529007,,0.04004578347810063,,,,,,,-0.004589521925373468,,,-0.013781717616372851,0.0690106462305859
NGF,,-0.03258682468770775,-0.02658709558340448,,-0.011946578508342225,,,,,,-0.029669064153652305,-0.0035195192656538353,0.04210765216891298,0.007326362371853733,0.0315124076198462,0.009544947726756087
TNFSF15,,-0.0403139690854166,,,-0.01286243817406299,,,,0.11221549625554936,,-0.029963246320639708,0.12194184027774335,,0.06698674251220806,-0.04506373354140257,0.06588857069186266
HMGB1,0.008338938957292208,0.0339039954621198,-0.05168628642062524,0.025358029746089583,-0.024068960524069455,0.13428088395668547,-0.03879439054393492,0.012979614282868627,-0.0020812437741261564,0.018594763776177314,0.013848015752538488,0.012019285675725088,0.02658350543821696,0.0764214279725841,-0.021341681364793814,0.046215668882112156
ITGB3BP,0.000978487577085409,0.05907611163687264,0.022975580670288962,0.06673801390337562,0.020389860350182133,0.2038424663964838,0.011984027214336465,-0.033476416248885504,0.07789904970906714,0.017842952644493305,0.08696846075295006,-0.026507380494640378,0.0461412095465433,0.010833902206417733,0.017945714302029174,0.016367043641768046
AANAT,,-0.036504246354939325,0.046893990642245365,,0.02521120668016369,0.04351497436861589,-0.006856843617642146,-0.022037071390147926,,0.03526739141424835,-0.020794253795089583,-0.004937103870871023,0.01454426217747188,,0.03885484013402827,0.005206549067400572
RELN,-0.032250274425784965,-0.05618673315404999,0.003813132769783445,-0.0292430832978317,0.04999391771380512,-0.10839709583437834,0.010711892251774309,-0.04676229382822563,,,,,,0.010414268229659183,,0.06867422353870077
