,UKF248,UKF259,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02521586572768198,,,
BMP1,-0.032773461515665604,0.06676974310731724,-0.04626401079082912,0.016364033789459956,0.025181574036049377,-0.06302225972779071,-0.05488811930916283,0.05470764884199818,0.042939513096057993,0.10781925193629942,0.00014646990000127225,-0.03127671477810369
NDP,0.043532423897920024,0.055215029147826784,-0.008248209438607346,0.0590380060970734,-0.025687884572959757,-0.018491131693811235,0.06169833860555319,0.0010844934994197286,0.08269275958479183,-0.04875904946734736,0.04999194918805085,-0.0272025113205826
TNFSF18,0.0769607449272656,,-0.028774858386901383,-0.015882541990676288,,,,,-0.026004677238790633,0.0920761224482109,-0.04410657922997683,
IL36G,,,,,,,0.004075902888499675,,,,,
RTN4,-0.04228958998380433,-0.009291728883783903,0.1604678860713082,0.02790307500649786,0.12852358436649267,0.18376022142190165,0.07239237381231758,-0.000377559104728913,0.062118068993038615,-0.016183543759343375,0.1159140900362906,-0.016417961510499283
HEBP1,-0.0019025418823427837,-0.011012536345216296,-0.014439618118019987,0.04049146295406615,-0.04740018853392822,-0.07019862822233876,-0.033933343275156354,0.04086921226790198,0.010323971419356632,0.0006743455252393169,0.04618467868129435,-0.08584553088727398
WNT7B,0.02705901893311436,0.03893427134477881,0.04105795538316687,-0.026378291515089008,0.11442975891899661,,0.0007797726254342998,-0.03362341869465486,0.04770316250689282,0.028289350541930776,0.07619150620128909,-0.03189880540362232
PTMA,0.038063770332469354,-0.022051973041174344,-0.13267517084422814,-0.02083687612628185,-0.06219945249155194,-0.23575326317143758,-0.12498018570505569,-0.02784271620216145,0.04335218672936063,-0.03184060557522166,-0.05713483514222191,-0.029184270678716765
CEACAM1,-0.020954411559180323,-0.0393990449246125,,0.04300339021947731,,,,-0.030154020443372405,0.09165474578038149,,,
