,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.011247349437281357,,,,,,,,,,,0.054545010246519296,,
BMP1,-0.018808459532214744,0.03600608404721631,0.018788714428793592,-0.03556788501162453,0.03925094706751315,-0.03600111619787014,0.01992591449869016,0.09218272997083994,0.02228697147893864,0.0334151863586556,-0.076672058469186,0.011404795510720538,0.03575140812556574,0.050619432711886354,0.05848260326354709,0.08030233110347802,-0.0675418695830986,0.006120154387818629,0.03603924889268349,0.08461599213458167,-0.004455768534457272
NDP,0.005618283786463204,-0.0033256347896536524,0.029856342658156718,0.07662939681338293,-0.006742539091764894,-0.043927121626580905,-0.00722077710959925,-0.021032454767395934,-0.05888172336532977,6.287235028791245e-05,-0.04777789156544383,0.023242158904177232,0.02056300203224815,-0.05266925095289282,0.06887640761136894,0.05574680391027233,0.07046558465495802,-0.02322692332810727,-0.00865035777005311,0.027188886248339025,-0.06702427063741259
TNFSF18,0.04589236410472523,0.02265599586698563,-0.017351875581773972,-0.0332431771373238,,,,0.004478340333994487,-0.026774903218086024,,,,,0.09580418538583879,,,,,-0.004615043747553298,-0.011917352457813987,
IL36G,,,,,,,,,,,,,0.06410418324556852,,,,,,,,
RTN4,-0.03948138779053721,0.035147692096916795,0.059478885699050146,-0.025401084383877035,0.04727855895176368,0.01869493081322643,0.008625608999866077,-0.0963965379603725,0.017981532016914763,-0.05198940763851078,0.06442002709158404,0.06340808913327482,-0.042198266579144654,0.03140416585014914,-0.04669051184660345,-0.02496891346322402,-0.057580176712165324,-0.030655894515737043,0.005333959874156963,-0.03380519079994275,0.05570180951794982
HEBP1,-0.04846797566692701,0.04494799584403466,0.00673266515523425,0.0528283062812857,-0.0869469476604369,-0.01199428144016338,-0.03409210431310201,0.1005433251204163,-0.03204816596232069,0.039237336492140854,-0.02979003515633575,0.01145026328942388,0.062049894570085445,0.013198673958475696,0.07309033608611591,-0.022777122106785393,0.00300120519035326,0.04346725625733756,0.09428514077367955,0.07305375704297272,-0.012692058455370817
WNT7B,-0.023853503915538834,-0.07984695770099043,-0.020110089292517945,0.041343443821071246,0.007975415090027018,0.057794998903023316,0.00423652173275193,-0.01087982122991418,-0.01120864436187483,0.014977775387906435,,0.033525036699584204,-0.02595933785721607,,-0.045273400771369536,0.10039968113341435,0.06128041182579337,0.0037423197578583013,0.032637591912262405,-0.04339617402468397,0.1555106760405889
PTMA,-0.007505174745189181,-0.00800247014617851,-0.028971609831934003,0.030443836656373045,0.1157881944873901,0.002379540287535582,0.013026174671563202,-0.10162985170009896,-0.029216468739906663,0.04775551087099056,-0.09812485852252152,0.025036338502395238,0.050875364163586394,-0.018209268271364903,-0.14280053827892497,-0.1136568243046738,-0.04305593765610306,0.07118282173936098,-0.01771131488091821,-0.012236700500717719,-0.09345217554110376
FASLG,0.01548859176265557,,,,,,,,,,,,,,,,,,-0.03270049002459077,,
CEACAM1,0.0815251056650539,,0.03332965285433847,0.06774015637676777,,-0.020089927805838678,-0.025270606179158925,-0.012007733181393341,-0.034993805501776935,,,,,0.0729005735972054,-0.04060191097158993,-0.02008049691002214,-0.02511021299942296,-0.02497490376854991,-0.0454979290414542,,
PDAP1,0.0003025887449602606,0.04462864271332558,0.013688297178400508,0.024918696608362153,0.042779356784577324,0.006908729511179124,0.002871858877445916,0.09656684277050007,0.05315473504964393,0.03317143526598223,0.0028235794341093553,-0.0012579842516266565,0.0545781419707406,0.013420074528419429,0.07303981995242698,-0.02992445428908485,-0.03404671555655569,0.002965441233424599,-0.03476014917773285,-0.014189269664991977,-0.06560000869579706
QDPR,-0.033458793111203054,-0.019896000859216435,-0.017236649937145538,0.016395984723364166,0.1400101225531645,-0.008033417190121541,-0.01523078776950409,-0.1390568785041516,-0.010283379359401145,0.07779986210898206,-0.020800448816330946,0.023294296891684878,0.033315045387472396,0.04170090951625427,-0.10092862479367586,0.00230165145636994,0.08342442305019059,-0.028381068306854926,0.0670067265091677,-0.010754053175862649,0.006662862764041086
POMC,-0.03495306902645488,-0.062234777933308456,-0.016007556442232087,0.006474822880975349,,-0.027309886847002217,-0.020445992679386075,0.036591189326299796,0.049130335211996154,0.046623679369550336,-0.03294445653949102,0.013284623446101297,-0.014003097340724366,-0.012611756146875035,0.027116849192539323,-0.04821464772910483,-0.003772042863288549,-0.021723134732647673,-0.06684854458862889,-0.009435183754572694,0.01303004551952891
CCL18,,0.007063911602397032,-0.0410346010720466,,,,,,,,-0.013561126201405656,-0.04274311862397313,,,-0.02878742243831006,-0.01249250343695332,0.020650020728194735,-0.010928219955123438,,,
CCL17,,,,,,-0.013819894759895571,,,-0.02518538478156299,0.02534177497641968,,,0.23531547150584115,,,-0.014246140634290189,-0.03624816886962407,,-0.015873877636246637,,
VEGFD,,0.002135717419893464,0.0022865215647380932,-0.00855324239342938,,0.025767695653817747,0.035326854640024025,0.055676379021732544,-0.0022687922242366526,0.01972622991327737,-0.03832781981803372,0.0824811164407624,0.05065004135625314,-0.0736414330937453,,,0.07333655041746139,,,,
TNFSF13,,,-0.030966036594754557,,,0.034454667304477986,,,,,,,,,,-0.02733620407405094,0.026031102877866318,-0.028045143050713317,-0.010934407634238967,0.012703414337254585,
WNT5A,0.08608598004881354,-0.03337193381271174,0.0547107709803417,0.03579278225348848,0.021123051932041812,0.02889640543563453,-0.03085390796716735,0.127071077228565,0.030363719844425,-0.03534959610186405,-0.052851977963942746,-0.026665587918816812,-0.004563808997357315,0.04849138620250306,0.025629422176140015,0.028399422712119524,-0.0004621125925018103,0.03560271840076417,0.03462047960803821,0.009976273259949292,-0.0834145317719855
CXCL8,,0.04552149282245187,-0.046856405761582544,-0.005506102673706402,-0.10781930114136525,0.0025642201178432402,0.03994201471808502,0.07310512548475556,-0.005783063220229469,0.010660202572371894,-0.07938225276125407,-0.01921481563381708,0.008451932992239864,0.04014092390614476,0.007791664566589099,0.07122923449552751,-0.09911490937470138,-0.04308046623257375,-0.039078722127805776,4.7764881861280186e-05,0.024830122423296498
GRN,0.014288862897917172,0.021751166446273305,0.012135483194457118,0.0016650143930401133,0.05155794257523255,0.005466067260655863,-0.042910750249580715,0.06620567882098795,0.020839800230910508,0.04765868045974307,-0.10991797596654448,0.015100039471516861,0.04876500009681633,0.008456399991683822,0.0592109817846974,0.09514670685882512,-0.042017772453011644,0.007871176682932154,0.02048879272720178,-0.01420429899749507,-0.056580251129764426
MIA,-0.0008782319131776311,-0.02992367507664503,-0.023917680570214216,-0.020186146642138764,-0.013195971268197973,0.02691846369052046,0.019788602359024486,0.04523066352045551,0.033760582593081186,-0.019690609003074122,,0.0332500459315459,-0.031669031379476686,-0.0771570820766082,-0.012815562668928993,-0.012973272542778304,0.06611706473489684,-0.0006598752809175357,0.03703398798735893,0.037903573346536094,
COL4A4,-0.02762527187775545,0.05705616051527146,-0.04133507720727484,0.0074598652905455325,-0.012075708121514693,0.0631561963623755,0.0013543411737020675,0.0626167845464895,0.04478386977753288,0.057280039088209854,,,0.002231494255897973,0.015613088271009512,-0.03639629668634226,-0.00036058483850233533,-0.019015295993682787,0.09389423336515738,-0.018480000227626955,0.04582761259901274,
TAC1,-0.023853497681149614,-0.015648384795628727,0.09598376884603675,-0.05266408310502777,0.05937804618134601,0.0558582735966474,-0.044516909469164846,-0.08621489759288657,-0.031027673829434034,-0.03658472287238674,0.06973217050549944,,-0.047428802512480196,,,,,-0.009388107770545337,0.07471393406084775,-0.016828567783291035,0.12227218930930037
RARRES2,0.1060711453906811,0.053037189176825095,-0.03100135978672047,0.004406983292478502,0.009382968186100316,0.06433719850932015,0.005412188966313698,0.12706100585998725,-0.04930387609702221,-0.004517749448393829,-0.035475078602113776,0.023656932049607997,0.05798947463166902,-0.038108499126098656,0.05701709504666545,0.09369825115164901,-0.0667124164237609,-0.0037936807077812583,0.040375898777296734,-0.023412832088979308,-0.09933593116887218
FGF7,0.026987585240745925,-0.016114867094873853,,-0.025619058553391496,-0.03147109125706928,0.03719205611958982,0.05284196859226203,0.08131521764830468,-0.012451654493139406,0.012099176790644916,0.04454359027011098,0.06980547811542678,0.027583037881863733,-0.005559611161839299,0.12569406923801452,0.004296211914089919,0.011058794933718245,-0.03301873642557289,0.05315486441868296,0.045221285979443936,0.035638616370929556
EFNA2,,,,,,,,,,,,,,,,,0.01141099491109757,,,,
HBEGF,-0.033976582581583224,-0.0122995173984398,0.08355724321349743,0.06552838714799682,-0.07561529593492777,-0.020858442662971034,0.009397050491151682,0.05625839893196815,0.0445417982533425,0.069405104646955,-0.0600842544413803,0.008101606377950545,0.02528967972765105,0.06608657177998607,0.10779814052003349,0.05947158509662245,-0.040317929005959985,-0.003120387327005905,0.08033050062211575,0.0889644314046181,-0.007111566415401224
