,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01503158232018689,,,,,,0.0308430306864517,0.044898749946712294,
BMP1,-0.04121478680473622,-0.027137701606083385,-0.053311232086341656,0.09643638207026288,0.06294293595466323,-0.038309772088010334,-0.0034312327187064895,0.01032392127383858,-0.0355284865979004,0.059456376726480346,-0.011208281882999343,0.020933582739053644,0.0409777780234142
NDP,-0.05517646312105707,-0.07331700236314323,-0.04974982959791684,0.002650431856464867,-0.021567929301813962,0.0033025501312135934,0.007822817735501584,0.018069850998410228,0.07621623910145948,0.07211220397118992,0.07033545053323895,0.058023349185495,-0.005061645488074255
TNFSF18,-0.027232128600384403,0.062318657834206814,,0.0646682407456234,-0.004640380149799181,-0.014568917567872515,,,-0.03829714037027221,,0.07936106699112305,0.06927850825901431,-0.026674480643402637
IL36G,,,,,,,,-0.01631018900900801,,,,,
RTN4,0.014075493133110996,-0.04932314457622047,-0.05876694299341997,-0.05393956582323477,-0.08288090008854714,-0.02828535692612074,-0.012656939337766028,-0.05250295486115548,-0.052093978154513644,-0.04404794930383977,0.020040735933558793,-0.0016835806421967633,-0.03514524596386334
HEBP1,-0.034411551513906354,0.004747529589388263,0.01303399752421166,0.02496158381801483,0.01428129499460249,-0.032084406918205716,0.030229865600598715,0.010367984901221967,0.015358063577479954,0.11668633248091406,-0.0455777958475682,0.03934806247345874,-0.041374623798055066
WNT7B,0.07436239772728964,-0.01593458857050281,-0.007931993095921843,0.0034558300915288236,-0.06221525497642834,0.014531731014190353,-0.012332312690747553,0.020308829590824907,0.027661699249315094,-0.08396865994415594,-0.04295248565750722,0.04975947319229399,0.010120526365012117
PTMA,0.025089154182446904,-0.039670680382227784,-0.029164229636111857,0.09415608251826209,0.005996425136512019,0.052883604731798727,0.04540128947961325,0.05917086078869453,-0.01562796012190858,-0.011201871296722904,0.022002422774423755,-0.023484629495066998,-0.02185235174422746
FASLG,,,,,,,,,,,,-0.021005321400106358,
CEACAM1,-0.017332503538678195,-0.012228838326893974,0.0028350376635865432,,-0.01579286707024342,-0.02291343652221044,,,,0.019034339040069674,0.07698777551651202,-0.02922581960809434,
