,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.02056084979279829,,,,,,,,0.034959628754043216,,,0.11885493344422307,
BMP1,0.05452798327552401,-0.01573008113445152,0.0625222771429786,0.09808989475536364,-0.009685208196015163,0.006379495988226617,-0.016090978716230626,-0.01464806312838852,0.027831272148679295,0.02649211416269939,0.01856145661425596,-0.02394977296742548,0.10123091530419286,-0.03606675567499355,0.02451335003246741,0.04992497411623622
NDP,-0.03743735198467833,0.050112194143266,0.002621797193059593,-0.022068538079308028,-0.04932769588530108,0.03237248446093457,0.0765998536030249,0.00977095158626528,0.04006304122160862,0.09875385860414745,-0.009643375551897268,-0.0619304418369108,-0.09833220323787473,-0.08893274715771475,0.06499128593972212,-0.0327568147907277
TNFSF18,-0.03596362853847002,,-0.022505104491914688,0.007308067838500545,0.011492874129649841,,,,-0.02488529262448077,-0.04088569145830525,,-0.01968267888626243,,-0.0321481330395333,0.006114046509455331,-0.03337150780895173
RTN4,0.0027055105588265804,0.06553033289181456,0.0412177780562199,-0.13185024775011156,0.02967271143856949,-0.038115253365630174,0.08141348483606788,-0.009434224470567642,-0.02643057456331229,-0.012728729304300898,-0.029201723269184424,0.01157991881584306,0.004237788685570393,-0.04099921562911358,-0.010468749812114615,0.024995718737202906
HEBP1,0.011650106555650486,-0.04680502903990469,-0.03787058795855719,0.0992688758575395,-0.021957061942696334,0.04451226930163757,0.024599629813852428,-0.03645173836286537,0.06743201284454459,0.0043888168383601316,-0.000981938815221225,0.03377505061432999,0.04589846198864873,-0.05978440387154452,0.04098141348695187,-0.016763310734298775
WNT7B,0.034710363004407704,-0.04278341810327036,0.005517159517307608,0.007455522951339294,0.0011564345804119995,0.03387262854385486,,-0.003293866101846205,0.025260222039215668,,0.0219654133746916,-0.04115807383846479,0.009292115928181285,-0.0321480997043343,-0.018379399584256932,0.006081780743068296
PTMA,-0.043945231149564744,-0.06766586339039862,-0.013947738576725804,-0.08847272699210221,0.008627993769949532,0.10150816070932896,-0.04904327364718795,-0.08068341398651821,0.0733848325625971,-0.12497238340306174,0.023235981205560148,-0.014218180606145464,-0.06344578122813006,0.020864185898731565,0.0016342600667596753,0.0468242609860088
FASLG,,,,,,,,,,,,,,,0.15867420530700285,
CEACAM1,-0.01714421588168498,-0.018590617449181928,,0.05739856941320134,-0.003580451460315312,,,,,-0.0287495799846453,0.04991607079545005,-0.02828195466007042,-0.011317295800260597,,0.015955392845137046,
PDAP1,0.06675197931158412,-0.07021537559526014,0.026458849399184674,0.09971093402190158,-0.022584107881184902,0.007240285381016731,-0.01724506450984316,0.02187340091944857,0.04942432712384802,-0.03409482971842594,0.01946504896403867,-0.032505703839368114,-0.038420052268494986,0.02585642746563532,-0.0043830826493982495,-0.06660093345270525
QDPR,-0.021969686024182204,0.05548363697218955,0.0025960439359251257,-0.06365113689773891,0.040210150669388274,-0.10151035474750048,-0.03483802522086232,-0.020880877179996676,-0.09498372383944106,0.08556071380018268,-0.008824502653977382,-0.00800765984170923,-0.09983788248131742,0.03812461527906301,-0.011104492161643423,-0.025011064700747716
