,MGH258,UKF259,UKF296,UKF313,ZH1007nec
BMP1,-0.0017178611109065726,-0.01021718358062303,0.05041369255761772,-0.11611004602107106,0.024111553367706096
NDP,-0.03318838524608247,-0.03104397285113426,-0.03409572171744526,0.0007487368813866115,0.05243228966235912
TNFSF18,-0.02115380653898456,,,,
RTN4,-0.0461880172609207,-0.03399644415260879,-0.029390993538513245,0.050320181572308255,-0.05763583041690487
HEBP1,-0.01812155230680317,0.013345711216828648,-0.0389541546879618,-0.01968835205072392,-0.006177614437158682
WNT7B,-0.018635841005200295,0.02255493239552929,-0.018985629476775547,-0.05798786574251578,0.0031582420625524575
PTMA,0.0007619629780529237,0.039283935994360086,-0.03575577768904315,-0.08839201548808893,-0.057515712256184376
FASLG,-0.018635846273504803,,,,
CEACAM1,0.011154911811859144,-0.028108280154652287,,,-0.028799470661574875
PDAP1,0.053754273381784914,-0.050689061803027395,0.016238408918287723,0.0867234278230115,0.05918087206485493
QDPR,-0.0808073589750636,0.022812451071302614,0.05634038355037417,0.022391217921973346,-0.01121294938869834
POMC,0.028689349596167635,-0.0030710304067335984,-0.03297448803781985,-0.02422257567383051,-0.08884426096234271
CCL18,,,,-0.021451332608549516,-0.0541231679181426
CCL17,,-0.01629190683269126,0.025664694435736837,,
VEGFD,,0.013091371185242222,-0.017236717862193576,0.007502043022875985,0.24409774271303217
TNFSF13,,-0.011237792709548756,,,
WNT5A,0.0016258538008159945,-0.0021251705801155723,0.06617779219611225,0.011675868316848378,-0.027219732407970744
CXCL8,,0.04503021830614765,-0.016051581150683888,0.017498311733997157,-0.11215232703582273
GRN,-0.09637368211113688,0.020785679236517432,-0.00453018856177318,-0.005098000266802491,-0.07748085516003705
MIA,-0.005295653521002085,3.113970433480251e-05,-0.01960313654926351,0.046757467813025776,0.023342364798363015
COL4A4,0.10746251611166274,0.011394787890550788,-0.01589897310679577,,
TAC1,0.15693579759836318,-0.026419979466628944,-0.04304756632794999,,
RARRES2,0.15309665380865087,-0.030704003913028584,0.023014502123172104,0.148243999911553,-0.007207821916706576
