,UKF243,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06406271957063332,
BMP1,0.03458270710451672,-0.012182833998789973,-0.04773809182356937,-0.005374891958165221,0.018878587752970737,-0.04321522549317973,0.0467040863066744
NDP,-0.0015949501620337093,-0.0016203476380821987,0.05736790017062825,0.037991468849876385,-0.03903532652692325,0.12347699098976032,0.022538439721332966
TNFSF18,0.00800377845481368,,-0.04210925025502267,,,-0.04289763644342379,0.0018176435732765806
RTN4,-0.01516103883499516,-0.029243724445380308,0.17199037214921625,-0.0020040855189158934,0.014196455880204044,0.024524470681374446,-0.02790232830005221
HEBP1,-0.020190239522855487,-0.038720657595931005,0.10855864913958285,-0.034053387766666374,0.07170534798226878,-0.01538673537331392,-0.027031485786390207
WNT7B,0.035953803407348266,-0.011566945121476728,,-0.054846342240655536,-0.0367361358793434,0.00869528881824587,0.03001920781478813
PTMA,-0.10040568998481547,0.0682675926274015,0.004689830919595014,-0.08545931319866001,-0.0317829511414368,-0.011712290578866648,0.025628333002673673
FASLG,,,,,,-0.029862180046373966,
CEACAM1,,,-0.046159040606921,0.008411688049856448,-0.02058506882799913,-0.04154883757862142,
PDAP1,-0.008367595701180673,0.02702596135158165,-0.09050442142188617,0.04531884076828822,-0.019208972317362513,-0.03125371488160124,-0.018040670807716798
QDPR,0.03711531288416535,0.022905836846178283,0.003969971634136835,-0.12845373811783833,0.02975272265452736,0.045701833960186664,-0.10594110181885326
POMC,0.02158801891203755,-0.03111049284499043,-0.046193225240586035,0.021067096836354878,0.0018872587775515001,-0.025767298048233737,0.01014904460820783
CCL18,0.05539814464550215,,,-0.03487444716713995,0.09378723815441754,,
CCL17,,-0.014316635522281896,,,-0.014604109988127547,-0.02706671210335501,
VEGFD,0.04399771148045315,-0.010501425292759487,0.041742617543342984,,,,
TNFSF13,,,,,0.03306619756262739,-0.006305849600160721,0.04177998817188989
WNT5A,0.02796540705129834,-0.0026831721575329252,0.17995717072791131,0.07508362195316316,-0.004637837265114975,-0.011724351747301454,0.07975547185606444
CXCL8,-0.01356854825368745,-0.009779383849769724,-0.036732022325367125,0.07754079516447762,-0.05399973529527237,0.015325053406661288,0.05989445500988145
GRN,-0.0023786097002870942,0.006374938772961872,0.03221537140627797,-0.02658224748264194,0.03398409736880415,-0.03039081749178388,-0.036458879601986155
MIA,-0.017610574099536196,-0.011943159690939878,0.050767235804348214,0.017047364061287477,0.13548333348412359,0.021289707381144343,0.04636427268504159
COL4A4,0.041817025640569265,0.03560746028022213,0.07468812406638045,-0.010986571961569004,-0.03858818922449318,0.015601132923559712,0.06513073716808135
TAC1,-0.00765965788545492,-0.010448620553077263,,,,-0.02378968288697654,-0.033031286445422976
RARRES2,0.035182074407461524,-0.00359900538982053,0.08292381985019931,-0.012084547636730707,0.001549204453013153,-0.017336482149892335,0.13580775240124118
FGF7,-0.00034002464159855366,-0.013760668811316188,0.08294625107691612,-0.010891820280550121,0.02598998370520706,0.03993009000415033,0.003501346450361874
HBEGF,-0.0007337912655684196,-0.00554615051827234,-0.03739208466692357,0.05056245222477667,0.011734206064741431,-0.01064685758357702,0.06907424944864982
CSF3,-0.0310971011492163,,,,-0.06997958407381871,-0.028497072311657747,-0.02901321089960709
PI3,0.025737556686961833,,,,-0.06766681788957507,0.0468093530773723,0.08638782396309035
PCSK1N,0.01612686635037964,-0.04598281438473892,0.07514533305669863,0.04805353749484096,0.02173922988759631,0.08365496054852735,-0.10261924126661402
NTS,,0.018070824122608454,,,-0.03406986837047869,-0.0314559574366366,
SFRP1,-0.04801434594738151,-0.014316635666462173,0.005538599574083747,0.059290859562615816,-0.003113890377982056,-0.04121965064471835,0.04953221024043526
CXCL13,,,,,-0.03280382529541671,,0.04857358007077449
MICA,-0.00646797887700487,-0.007640338269923538,-0.0518040900372157,0.03177063604478632,0.033673531366103994,-0.040414643241345694,0.04149984780158526
TG,0.1827782171214107,-0.010360886955751498,-0.073398879240082,0.0070890052638579205,-0.019405210937465445,0.04605529264366668,-0.03254555110631334
ADA,0.08759446824151627,-0.016826913639223996,0.017039049730851567,-0.02405360724019054,-0.016421275829138784,-0.020742819512619352,0.023338337070322072
LAMC3,0.010615646196821203,0.004592698267708781,-0.011229715482678045,0.04583131419579891,0.0686225533408743,-0.058597114798353174,-0.033362809002709805
CCL7,,,,,-0.0218881946157692,0.028508932997016068,-0.006222491284119169
NGF,-0.017915923953761796,,-0.02251734966287786,0.019071446437246717,-0.02527911249874541,-0.03628345417666844,0.018984920577820467
