,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0255194288052317,,,,,,,,,,-0.016113797128002337,,,-0.007539003393454577,,
BMP1,0.02869551207442281,-0.05026899921601028,0.05874224496158487,-0.01224682706019262,0.07514132888745788,0.053014223917506625,-0.10165031679856959,-0.09493532245083089,-0.2670860742986029,-0.03393803229953865,-0.036196232790695226,-0.043817606899185686,0.15847319280186659,-0.19633366842845545,0.029771498789920078,0.023265546475737177,-0.00972496207352589,-0.0715092259775566,0.01139642051974596,-0.03540698398238564,-0.06983681775273531,0.04327857109776196,-0.06435059594398028,-0.07173950862638401
NDP,0.00385800327001302,-0.044510995161630026,0.02412774117801349,-0.008577684652253094,0.01959973788552911,0.05884844867549093,0.18112862334657873,0.10117328208538884,-0.06977828941165434,0.034171411923076746,0.03779613208380169,-0.048378275538278975,-0.03844804573316441,-0.044578274761619935,-0.04753479641326276,-0.0778181046849393,0.08629772772450105,0.09749820615437253,-0.02766111513914237,-0.011826124270688226,-0.0656196564941476,0.011642063153562457,0.01264173384531289,-0.0565410390344336
TNFSF18,0.026848911879998997,-0.028800781942157384,0.06805126478814744,-0.04006482542794482,,,,-0.024151317479391872,-0.057673847422266236,-0.04521538849950371,,,,,-0.0012009913354385049,,,,-0.016617874552886616,,-0.020523117738358913,-0.001921484449981875,-0.07760939623996187,
IL36G,,,,,,,,,,,,,,-0.028020203916026578,,,,,,,,,,
RTN4,0.053801983016945575,0.17818415114783692,0.07462690188716396,0.022846303906119806,-0.025117226349897853,0.06376697978691453,0.2666385150279339,0.2441934813061075,0.33852162354535564,0.12421459928083878,0.0848018111234257,0.3498395878704351,0.03735613716025134,0.3288420432177259,0.0869394969303232,-0.011281096522053178,-0.015307079474446445,-0.07329104480860547,0.05515502590678598,-0.022074195722015563,0.031589387722427247,-0.02879772599416667,0.3278019792016966,-0.008165545420895681
HEBP1,-0.013000993806884553,-0.07832943907703864,0.043442435748505655,0.013655893312282348,-0.034701281444925625,0.008330741677755724,-0.039331762734632174,-0.08851187422334372,-0.10590533903360314,0.01882878972848532,-0.012614692658614868,-0.07417351559903342,0.11499504296811058,-0.06666630665296311,0.06414358641893111,-0.02914871215874285,0.11737988306717803,0.05844963139340703,-0.04053047114330495,-0.009399847729317741,-0.013085902609208576,0.016780744217856525,-0.015405869203482369,-0.07425650219895846
WNT7B,-0.02312016690896161,0.20176159984097936,-0.009543729009922734,-0.03346599827761213,0.035087231424197805,0.019264472525152936,0.12396411198101819,-0.0029771129582228,0.2292975251208289,-0.02671790823961133,-0.0007097761695450784,,0.15011657738668302,0.09146870477140936,,-0.0012465115038358065,0.025470419672112138,0.050279360601262334,-0.03474932004115678,0.02372539577952014,0.0011195259077756174,-0.03547676999490167,0.06614224400699424,0.006491623853484576
PTMA,0.016603902278777394,-0.022069121041418262,-0.0034420472961504142,-0.08489094929725143,-0.020954744285084245,0.01468716012417374,-0.16805043756474966,-0.2413674624981952,0.03265083310095312,0.08817285487140615,-0.053909823646302264,-0.4136676638376133,0.06282692124961782,-0.3458218342119141,-0.009756331946909592,0.01310669960498467,-0.014449779891920067,-0.022679208718958968,0.09597529840206522,-0.01897669096668298,-0.014988560841012518,0.040593710912791604,-0.1659279589024519,-0.1905209828785863
FASLG,0.07920092556564515,,,,,,,,,,,,,,,,,,,,,-0.021285004113705545,,
CEACAM1,-0.03210256316887198,,-0.032975113932669026,0.03905432768184735,,-0.03570826168415785,-0.016545642758976433,,-0.022987486660542324,-0.025226525927198425,,,,,0.01907749377161326,0.043402452666884236,-1.1191050851021351e-05,0.02548230468273058,-0.023878150802912564,0.06788633430363669,,-0.02961495702615407,,
PDAP1,0.035653061232105716,-0.04728954205359161,0.062061339244060224,-0.05926754886010522,-0.03055785197503291,-0.029135994168313962,-0.09752890050045399,-0.15274830754637342,-0.19330319966009502,0.05381673324691612,0.005392230506099646,0.011222531703593776,-0.027093860543866224,-0.18014986591476198,0.03290107831973852,0.004805869727803484,-0.0483390890126738,-0.017257644202290895,-0.05186346863878461,-0.022929302981501105,-0.003488610785476192,-0.0006008710851218335,-0.013409347657335986,0.10026996606462144
QDPR,0.02886448008648709,0.09429853537868785,0.08358292405580668,0.05092891694588126,0.0282450074259089,0.03059827813585706,0.23623639814554573,0.09975036303170576,0.1044238654822145,0.0735600915169582,0.07271219724956135,-0.22661736452665976,0.042765229037681235,0.09211537984577749,0.036128493820459816,0.02312811575611774,0.04677724809526112,0.15921871791606237,0.062341908139317476,0.10095401719538058,-0.05369629870003051,0.061185480031734345,0.2400069749467791,-0.08235814900402408
POMC,-0.012317785641907698,0.2389823475310347,-0.05126567915331712,-0.008307283246622988,,-0.021309762652223136,0.09189408168689701,0.01833993239746451,0.02559346491383821,-0.04095183860388417,0.023650315645428684,0.010100529438890078,-0.017540175524558645,0.08075745642340203,-0.028104849843750196,-0.02880210800271854,0.005077555506933186,0.11834982058013459,0.00655671155422857,0.004219407724410129,,0.025753950127607405,0.0036391693297950687,-0.018851995256207177
CCL18,,0.02686755200214929,0.025387581451619696,,,,,,,,,-0.15382119942598976,-0.004265846827981262,,,0.08898692652439831,0.022820471045527056,-0.05709300648429757,,0.014973003643000572,,,,
CCL17,,,,,,0.01027781149310996,,,,0.028442491026780765,0.02513398238995518,,,0.025499064926205156,,,0.033526704935324426,-0.07521633334256131,-0.021245110699472214,,,-0.019292465505523274,,
