,UKF243,UKF248,UKF251,UKF269,UKF334,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.007766300348510465,,,,-0.017104442392695058,
BMP1,-0.013482107974182403,0.08396151441336355,0.0032384209971205316,0.15547270182258147,0.10722717956618179,-0.016397738437744332,-0.04831627712561771,0.013354455123524043,-0.006752791708402528
NDP,-0.025564643451822248,0.10417790564001585,-5.444341819985569e-05,0.0020571026557848066,0.08913045859145063,0.015405779718084505,0.04031052160070874,-0.032590400632186316,0.024557239737665982
TNFSF18,0.07958139980554278,0.10351498029343674,-0.011735213155681719,0.028971646226186004,,,,-0.028852136356069324,0.032887309613242564
IL36G,,,,,-0.027032498155302388,,,,
RTN4,-0.06968450542943692,-0.026642911446062394,-0.035538144968405155,-0.18372317218299825,-0.02520658946593125,-0.08293887785081096,-0.06968218605007592,0.011043940440715386,-1.2903282399695711e-05
HEBP1,-0.07764980429331302,0.0019354192388606264,0.006341897186710386,0.018007985053692655,-0.0018893752428746325,-0.029245009994039853,-0.01869471701984959,-0.0006555782302143108,0.029643429594894972
WNT7B,0.11860141376062296,-0.0111487856440508,-0.020296131277039615,-0.0859012161231066,0.018096598977619203,-0.005363564251928226,-0.019250863487272143,-0.03650799048233115,0.01846359565399345
PTMA,-0.05610304493572895,0.023381746263558153,-0.05125499146819962,-0.04668264679246301,0.08183396135767321,0.017801016335185615,0.0016850787647859284,-0.06501713061031641,-0.06803479224985153
FASLG,,,,,,,,-0.014834677051919584,
CEACAM1,,0.05216416866065511,-0.01557606002503156,0.026821943275739515,,0.06725929165272627,0.1113764701152958,-0.020640274300280082,
PDAP1,-0.0435884102488094,0.0156315401096728,-0.01980597168759267,0.12583576905577656,0.030640598165733408,0.14619168535897212,0.0015190625463612057,0.00531676649557749,-0.020785882586081182
QDPR,0.025271591281898834,0.012524348289600756,-0.03762731436381814,-0.13739287182751192,-0.08852503642813842,0.010060585824052032,0.07298348691810616,-0.036562941154793784,0.012879009216626517
POMC,0.028095754799214813,0.06372320672016461,0.04389903944258752,0.017413744917775975,-0.009397140943427869,-0.06885796322161189,-0.012236087468666395,-0.03764063592345652,0.002664228273034242
CCL18,-0.0296062993137461,-0.03984089743634592,,,,-0.04194768537186913,0.008521524808447789,,
CCL17,,,,,0.03031923982369428,,-0.032120485336426384,-0.013445968522291801,
VEGFD,-0.03335764585668358,0.022106906929217945,0.007210972954607336,0.04738236014411093,-0.026466347641259172,-0.04725875654098438,0.16286189988015048,,
TNFSF13,,0.0040781619870948645,,,,,0.01217357953097797,-0.02190908341768283,0.028211600900644257
WNT5A,-0.044539410255784305,0.02176998798785509,0.02418732170079528,0.1249554368925796,0.015670378645527512,0.03434535630420229,-0.003723662023438695,0.05822148698553297,0.007490084433736677
CXCL8,-0.02539909924661101,-0.041917948954423245,0.04004326077884511,0.08157532786599789,-0.027910347544836397,-0.048922163132668915,-0.09692844510896742,0.03925781872336398,-0.03283945872672336
GRN,-0.050103466971409875,0.058351745637861115,0.008068331563262312,0.13940126358586774,-0.021532990595619774,-0.05649197020338863,-0.05198013144310704,-0.007192943835880041,0.009128186221326473
MIA,0.0025165380625708678,-0.03889816759901604,-0.019840581143449013,0.09403131848296947,0.02852815060009415,0.017773216425747255,0.11388187731360118,-0.05793269512251346,0.11922033272844024
COL4A4,0.01756497911412838,0.03575267840475167,0.0177964838398651,-0.024210735203202903,0.08102819573908457,,0.06088685542856338,0.05964208829823595,0.021768751562936537
TAC1,0.02650074047145666,-0.022559261409721296,0.009056697616459145,-0.10743456892008052,-0.062312321704083504,,,-0.017676092866179317,0.008864513634914667
RARRES2,-0.05726518139785477,-0.0370795257406862,-0.011411791523057829,0.13234942606506803,0.09674919363410862,-0.12354513481110484,-0.05965748582174049,0.01576465006567377,-0.039169056719234666
FGF7,0.04356020201245912,,-0.02518048734404123,0.03311085881938376,0.06623726086908807,0.03343529776842776,0.02008048266191165,0.04355724891927151,-0.004984118530756976
EFNA2,,,,,,,-0.021147934918719736,,
HBEGF,-0.006478625330694453,0.07183964945718196,-0.021571420109440183,0.07441974413678636,0.03602024931932062,0.0359891968173955,0.00278321923079993,0.031587207648563986,-0.028019792833679964
CSF3,-0.033580265577638026,,,-0.025614491846202438,,,-0.047352869127736834,-0.014156530568503294,0.11110758776077562
PI3,0.07125514053518865,-0.041914303865160804,,-0.0011113296671244966,,-0.05055862236549729,-0.07253076988122846,0.03716089209317921,0.009672899660185532
PCSK1N,0.012060405472767904,0.01664305678035151,0.013847170108232998,0.0021874924424226203,-0.06500809675835928,0.023540956492086637,-0.04911346842838228,0.0002004464319342285,-0.03751240922941517
NTS,,,,-0.0070778800911243155,,,-0.02576474559392293,-0.020963891370209677,
SFRP1,0.04338995196534001,0.05309630994784671,-0.0006485421123932223,0.1092975758636872,-0.05548112558592979,0.010209050259827717,-0.026354475536505356,-0.020476743645566325,-0.02841517332801495
CXCL13,,,-0.029108755917428827,,,,-0.0543350734491097,,-0.03206231033302632
MICA,0.005148914765586807,-0.0015399710915003778,0.02949273139773918,0.07730155859623569,0.01988651740715808,-0.005757155419281982,-0.0037529868047071675,0.05277866631746725,0.013277565107496024
TG,-0.02676883147140104,0.06733149034499267,-0.021180303302411194,0.09550567364247795,0.0753965784198832,-0.06628090853176011,0.12308322248563716,-0.027607934858907467,0.07437126147953319
ADA,0.005788826904324167,0.04131445816642743,-0.028478431106645427,0.10755176790116228,0.02480872674800461,0.06655292346467775,0.016192778265146292,0.04881318407241676,0.01928463065562474
LAMC3,-0.06144597832054632,0.09913259005155571,-0.02809028961409764,0.14253762203773918,0.0337828429062161,-0.06320145428621227,0.033042458800893924,-0.023219278908851355,0.061461993841696705
CCL7,,-0.025342176439495948,,,,,,-0.014834671776885494,-0.018377348022260067
NGF,-0.019346545568645374,0.00012043458495725312,,,,,0.17351980151257665,0.09327285832268992,-0.020896061687547606
TNFSF15,9.6239848396615e-05,,,,,,,-0.007246443453608663,0.005068285574601802
HMGB1,0.04981126968443199,0.039590516971108373,-0.008112889974098642,0.1694981504575218,0.006552690082550684,0.09899008858682747,0.00517663651606573,-0.07846760926884949,0.054620341795930234
ITGB3BP,-0.028447981756050303,0.0024237043258299625,0.07201016057229823,0.15058995403952405,0.1010224961226561,0.06077917460079022,-0.022466814189748274,0.020981806671261462,0.01990823148915761
AANAT,-0.03467562386306998,0.018896626142730022,,0.011724622286010684,-0.0026539118037351506,0.009368310507493175,0.04252035945771898,-0.015695701378070772,0.03779168701622656
RELN,-0.03335762854268481,-0.001994545659383036,-0.04180013450112781,-0.05636960195672899,-0.0366732519767233,,,,-0.023170210699143465
IL15,0.0006532694641135666,-0.025027418307306537,-0.02698338236752093,0.09802352466824234,0.16293859574832284,0.05213093637443461,-0.05159661403442628,0.028179632999453256,-0.02530345337363156
UTS2,,,,0.07107109465603335,,0.003262163854590752,,,
BSG,-0.03863204915182888,0.006030507051878906,-0.024827355849877865,0.019406262489788762,0.042340585836686075,0.006846462055746621,-0.04673103224654159,0.05176879235632759,0.0677320977474101
ADAMTS3,-0.022082881451816087,0.04729121001340156,0.035685961988331974,0.17875722056152446,0.09045101158202923,0.08609971815464995,-0.025066589165867105,0.06613467880679584,0.026584301146026095
CD34,0.023901424301672886,0.08322922242625762,-0.02821358209278403,0.12416385764844387,-0.005528573456152624,-0.03163611347485616,0.04221823579050359,-0.00718748943676022,-0.03999733836858524
CCL23,,,,0.003287895453065791,,,,,
PLAT,0.004647923464753259,0.0720867635689654,0.02418787957560215,0.20177528542178988,0.035897806052765414,-0.009655755882131852,0.022810395466832518,0.020296471198908938,0.1036028447822376
NTF3,,,,,,,0.06626877650224824,,
LTA,,,-0.015576061623414314,,0.024037447799805794,,,0.057329919010787656,
CKLF,0.04236899158727923,0.05422534615243532,0.013956761216079002,0.14698741274474664,0.07460697641279666,-0.017630959051865455,0.0773264392160713,0.05946994786755166,0.033545616178844884
CD24,-0.007273694813393503,0.04110833192938176,0.02368128343420823,-0.004496304476374016,0.0675675630958092,0.016022318695764166,-0.001901450780511792,0.05053729958651722,0.01683396981625505
HSP90AA1,-0.05010889004862293,-0.06518934745302536,-0.007384615564943752,-0.1526581078375319,-0.03636095506692485,-0.07700450213464621,-0.14018788387234396,-0.08922928166074841,0.0042351073738340446
BMP4,0.06422618919741589,-0.009237450762161642,0.06350683680972884,-0.008667441673472387,0.04020201772270148,0.056807282695268385,-0.010995168045006656,0.06137193936745764,0.014464935812104052
SCGB3A1,,0.083160599670263,,,-0.021437937708040034,-0.047258710601207864,0.0025294094888075286,0.00884160971641699,0.02996641744386706
IGFBP4,-0.02660709850783401,0.023794008708130584,0.03463345578567642,0.1247518298551733,0.005138566221628494,-0.06361756733550142,-0.05804341696137626,0.0034521841540862404,-0.024196584280359285
RSPO4,-0.02363378889298506,,0.039925477894617534,,0.08831659746399977,,,0.03421489932784862,-0.030433968792377145
LEFTY2,0.022173110181565144,0.061135455015777995,-0.015767359358712527,0.14420290990662035,0.08710453964567143,-0.0636899063401125,-0.02431632556723536,-0.013551486986593045,0.030169536904516854
PF4,,0.025642036306989083,-0.01416854505468922,,,,-0.019383546492748708,-0.021124043767654276,0.12551482806531633
ANGPTL2,0.03808802704387136,0.05401580052603715,0.03191659654962376,0.15812950979451143,0.0672693335092976,-0.01024553074996946,0.06115499203128451,-0.016758067342262106,0.06992310413285129
LRIG2,0.008019373211993789,-0.040492708593808435,-0.022928735388058768,0.10811575683639553,0.07125481024670684,0.036040613526785316,0.03679549529448843,0.0144961507546313,0.011054448510548152
ICOSLG,-0.02681879908811411,0.03363219006495747,0.004926434435273631,0.08656140103994589,0.0674992405745415,-0.024319629839424834,0.03260617518695838,0.003593911394076402,0.005590117937174026
WIF1,0.11865464194245395,-0.03325316226106777,,-0.10886393895415193,-0.002904231320987656,,,,-0.04374708310634463
NPPC,-0.012163671423441333,0.005273840366108376,,-0.02238350393992396,0.08089678581398937,-0.05903941598046017,0.007675108443957652,,0.0939465539274101
LYZ,-0.006801363969332194,0.05978802862736512,0.05458771969265729,0.04016738714502912,0.02691757455381004,-0.0516654314736685,0.005197848898723425,0.02130895002332446,-0.030642662858095564
EREG,,,,,,,0.026189490963842908,0.019747648147579618,0.044216027840567815
SPTAN1,-0.02587023389161709,0.04247013922830993,-0.029813888914524838,0.008814486821610318,0.004668979827087985,0.013082547308563505,-0.004972783612890864,-0.042988626619145216,0.029045326945497205
LIPC,-0.04956793601787519,0.05410457576591934,-0.02132441753915383,0.06276584198042051,0.053437417991032625,-0.04256532444142295,,0.06826518117370148,0.017456423149741766
COL8A1,0.029105407571244087,0.07280161660982899,0.024374895528732003,0.07101598759853835,0.0054439350928641534,0.07321321982209605,0.015637837063040633,0.03998899109672289,0.0037545334693900507
GSTM2,-0.010746810197906539,0.023131817465374276,-0.031046941672493705,0.0018893492026118394,0.031052092869000986,0.10308674693971066,0.049664612465076474,0.004039269808142916,-0.039412411247564214
IL4,,,,,,-0.014164176595037934,,,
SPX,-0.024870120586165344,0.10847097627065798,0.07196610951489718,-0.05182579259688577,-0.06110278993261441,,0.07669613526655758,-0.021023506336536654,-0.0015365416569962096
MFGE8,-0.02741080484139202,0.08315221287496205,0.027896842840530324,0.059647531235890554,0.05303269857293342,-0.032920103286893536,0.022745691680720923,0.019413923453926646,0.010109667236360727
TGFA,0.015703925817978488,0.03798357185913546,0.0026242576446058887,0.04285109615000041,0.01865417209416314,-0.04754934540734112,0.0019834866765064117,0.04788311778163007,-0.011459203837464274
SLIT2,-0.009717634694702226,0.0024027117643042597,-0.03694403993507572,-0.028636268244222156,-0.037143798187641915,0.0017017304384075562,-0.03281910307187626,0.04628858949108864,-0.02399498729235528
PLTP,0.012452536288501495,0.0377372747041929,-0.006503934464783838,0.11087781810759549,0.0472187173109699,0.0062691155266950795,-0.06640086371680344,-0.07337994166403089,0.06493999351897116
APOD,-0.033073035960160105,0.014444509649042824,-0.016860034690021678,0.0434480662592795,-0.0902763184343042,0.039651666713799265,0.06616364632135022,-0.027410022895843156,-0.04891774707284373
B2M,0.03934319693139468,0.07087523110302738,-0.014763590615693732,0.1736824441300188,0.06615813521240246,0.0046679072755415035,0.07274778882431909,-0.0007017984549557562,0.0066924267333866635
OMG,0.0638078796393213,-0.0018504311042402063,-0.053861381085020685,-0.014661411662528748,-0.012507319305718046,0.07437947726541767,0.12849912264297353,0.08597941129003574,0.02275985273295517
CXCL3,0.004100322991127459,0.015109356598385386,-0.029129180237327218,-0.030335714335111064,0.04175319256644561,-0.024441066621081704,-0.04862959775632131,0.013769373057702136,-0.03858132907067674
CXCL10,0.009849057543458536,0.08758042888203713,-0.04751735317959716,0.16059705026924642,0.025582320604590952,-0.04553612510953993,0.005162576733554812,-0.0017493236069784977,0.02264317549766227
RSPO3,,-0.014376128001641075,,-0.03793957736508068,-0.02312119425226663,,0.11292797668806395,-0.01505429107501551,0.014727149013159626
CORT,0.059056108640331444,-0.05114861840013904,0.02805000168215814,-0.05351225430392753,0.025360333881722902,,-0.020283896214512608,,
NCAN,0.015431803700416002,0.09705939786923443,0.002040799960858622,0.10259822202612201,0.029928580142008485,0.0038521986165308197,0.08709144976586577,-0.05626694710769002,0.08676316858636972
PRG4,0.01058438790664101,0.09037112094203821,,0.10246587086178839,0.07669039823345265,,-0.029930130118185724,0.004643395247938349,0.026737313858233823
ZG16B,,0.08331909310388308,-0.017049541179108514,-0.03548410876595618,,,,0.025187714232784188,-0.020338519416082085
