,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.016360146360959907,,0.04539427480972503,
BMP1,-0.020166354171081376,0.1296706000938919,0.017772082853012044,0.1350957983519432,-0.013428982570193287,0.02106459594607512,0.10568095034913816
NDP,0.031097928844421682,0.0027187922253225976,-0.04931799192068367,0.013422172269104712,-0.02014371114690778,0.16660396464377736,0.08512202828430553
TNFSF18,,,,-0.016871930168516444,,0.08208181047513163,0.04018541213418207
RTN4,-0.06045737494779816,-0.02037686514412046,-0.03274181827688704,-0.1078827135257838,0.06246008801730438,-0.03899590012382479,-0.1363306049296321
HEBP1,-0.014952630067295102,0.022666080414077323,0.04337763257689707,-0.04813841146491715,0.014242881212654337,0.11076516848641386,0.05963775797122983
WNT7B,-0.016755043327392284,0.06699440605250818,-0.00576800419048346,-0.00493074311506512,-0.029026952722930204,0.002588140241082164,-0.003950165788762942
PTMA,0.07280850092096537,-0.029220924758895164,-0.013925806922223666,-0.020099991097917495,0.03348828231327266,-0.1154732164776573,-0.01618875506515548
FASLG,,,,,,0.016352156318464397,
CEACAM1,-0.019351866954600425,-0.026464643965279103,-0.0187637893835166,-0.02424320219880735,0.03594898398212804,-0.004486280452569356,
PDAP1,0.03351728424265533,0.02536844661283119,-0.00132624494672198,0.015152127880858228,0.015830028433202286,0.02618896765910704,-0.05562840633042702
QDPR,-0.050308444945013076,-0.05837259790841836,-0.018018170575871264,-0.08900854128930509,-0.01768790057379859,0.09431146096492016,-0.06036857805524259
POMC,0.011680580451470302,0.080234384251875,0.009203489205297117,0.0053431798497177545,-0.00661067196616931,0.07802127806294394,0.04435252793124724
CCL18,-0.038150494639803204,-0.018763867691869118,-0.021146296589724483,,-0.0009451449974216085,,
CCL17,,,-0.013312000374670204,-0.021569907932758623,,0.08086184204946778,
VEGFD,-0.017544061841664092,,,0.08644195905079186,,,
TNFSF13,,,0.04195987746001271,0.0636655376682189,0.00016524999481495753,0.17886066709489246,0.01758716155745878
WNT5A,0.03525889422835913,0.012987598344996056,0.024098102739816406,0.014500654325703152,-0.0007962299832484724,-0.004449350716829567,0.08406705930441787
CXCL8,0.08430367832575048,-0.03303674331553278,0.003433288178645899,0.0833179040766886,-0.023950230319196828,-0.05305778351518261,0.04996323104051635
GRN,-0.054321806505958914,0.015123318273014988,-0.010666344383265896,0.060710494734961734,-0.044376238479830826,-0.03165959782446019,-0.0005269191932569912
MIA,-0.06072228337137007,0.06458561126951849,0.13681384662502996,0.02656395778817205,0.05635917321704359,0.11905637706578782,-0.024429308129212908
COL4A4,,0.005321703139362816,0.05247651498736029,-0.03322669956634817,-0.019435514732026513,-0.003535366648406822,0.047226117620787475
TAC1,,,,,-0.05185417750666578,-0.03265557853586939,-0.028956474811958396
RARRES2,-0.0037420816972003465,0.07242739285595659,0.014755137749485562,-0.04251809992428848,0.05016120244861745,0.02018745562513205,-0.011133033730386818
FGF7,-0.02208540105324478,0.08230532621911166,0.02305714268126986,0.04938909139322118,0.07035618491255075,0.07443462940562302,0.10474080612145689
HBEGF,0.04502461395609107,-0.005917481562020806,0.011319011118557945,0.07035006622880874,-0.03252630549948295,-0.08798398873076428,0.033103165324111755
CSF3,,,0.07983600616759969,,0.002765636342147073,0.0176044644182042,-0.0015990939352763212
PI3,-0.06106896848511742,,-0.013596047787633344,-0.018327154761384388,0.05220966886062855,-0.06757329155945727,-0.052758155533562806
PCSK1N,0.05114545659321479,0.04998301690712342,0.07510943601130668,0.07682080375110416,0.08527671963308701,0.15613437238818578,-0.08358346049848595
NTS,,,-0.031055511145936448,,0.0060819852899053626,0.019391318926320112,
SFRP1,0.061643285631071174,0.04247198236204409,0.08381565464637004,-0.0533528510097319,0.035484542406758364,-0.014836333218907915,0.023866105943664558
CXCL13,,,-0.015162741018596623,,0.016076011174616815,,0.1653601258435269
MICA,-0.010381603041658157,0.02259232674458719,0.02894532664686843,0.07647108472265222,0.032498629751348276,0.08622599144654464,0.0015515046290696143
TG,-0.023239133116015765,-0.0305519635544041,-0.01768832030709835,,0.05272783848346233,0.020376654782301568,0.005767449583199967
ADA,-0.06200018093708258,-0.001735167305666744,0.020982267590987543,0.021500004551835875,-0.00015884464658060926,0.02103091038116425,0.046749724059442034
LAMC3,-0.06967208674063384,0.062359854718516995,-0.04589699942077586,0.14490415466585257,0.025183520207332846,0.060430169236139454,0.105552666587354
CCL7,,,0.11112224929907723,,,-0.00054962456057082,0.004427551500124018
NGF,,-0.02788429204988842,0.05454735474839835,,-0.05055473614737497,-0.03626305858936267,-0.038594423469119364
TNFSF15,,-0.003560367436911152,-0.01945058926011892,,-0.012444418075578601,0.053433092162957836,0.06488421757346895
HMGB1,0.04120666741084304,-0.027541893175793045,-0.07810491472240784,-0.07099083160221957,0.05579995757681821,-0.02070488344926804,-0.05216265877760518
ITGB3BP,0.01601913057301809,0.018934393711094604,0.03536211828293149,0.015232914603280759,-0.009056565494224426,0.001254851199506173,0.027665921685096777
AANAT,-0.009412997395825422,-0.019543354747520753,-0.01750320050782655,0.05039097347310542,,0.015649219778179894,-0.034114825773780035
RELN,,,,0.011005913750722643,-0.02099015312568967,,-0.056210361469596924
IL15,0.016193970071583005,-0.03303682965999356,-0.03206658046593782,0.029198845487000847,0.018010469343966728,0.052309026324453466,-0.017145122953724858
UTS2,0.02367353769713693,,-0.014905256249447019,,,,
BSG,-0.026854150427396133,0.031009616066231458,0.0936224165801813,0.09931484839348832,-0.009922498088844703,0.11088500568262469,0.010670628587609613
ADAMTS3,-0.009959330569445427,-0.02340117771417034,0.00299743073386081,-0.0024683829885325864,0.018698559352277582,0.10967585021443761,-0.016786273566145676
CD34,0.022103277938583,0.07306773041700848,0.0021794900606877084,0.06477446559352498,-0.009471416758374972,0.012093007625947607,0.0228644687690154
PLAT,0.06897121486893716,0.08213972903429748,0.05444088226036495,0.12885907196987956,0.1075026597712629,0.03657762384917107,0.05724401942361039
NTF3,,,0.050022804867707826,,0.05461554613509198,,
LTA,,,,,,0.060043602066542245,
CKLF,0.1352817289064228,0.04065866088518762,0.04214403200782732,0.011710944045815817,0.04873748275938269,0.12413722979528544,0.09323448262794282
CD24,0.14978323971359478,-0.032427330022152895,0.012170196206558799,-0.038007177182051696,0.07446620529835878,0.02587719412107769,0.01088354118816037
HSP90AA1,0.020626306571922687,-0.07918543243629778,0.001175511964514365,-0.026291126319602044,0.03964287563546858,-0.1515843553932504,-0.0759337447051163
BMP4,0.0723502818213698,0.061465401189833214,-0.02477609606780629,0.1389863776667361,-0.033280857593205614,0.06145687599925533,-0.008630367319888697
SCGB3A1,-0.04298075494493142,,-0.0009428316239669447,,-0.033449945013516266,-0.006988888313312217,0.04469164701467504
IGFBP4,0.05681724884760919,0.07191361330823394,-0.014135984807661194,0.1780615282427026,-0.011862989148927743,0.03990476215009484,0.021892633198512704
RSPO4,,,,,0.11365099877566456,-0.007081762230838008,0.05453785111319169
LEFTY2,-0.054933637366750755,0.19803594771740174,0.009250358075797166,0.1449125036618933,-0.0019173501037651841,0.0198140930054475,0.012582305210851756
PF4,,,,,,0.00988329028462108,-0.018940526279052284
ANGPTL2,-0.10349829121001211,0.06666008470734533,0.024573300145428405,0.04444046961977194,0.0006586828473496796,0.007851796098818916,0.006678525904198851
LRIG2,0.05184085488730995,0.0318138613459677,0.013015375056495257,0.03918522010298798,0.036156487454040716,0.09898603013989572,-0.05893850748296109
ICOSLG,-0.03750414146232196,0.056410533600118086,0.043398573149372795,0.07436325146688565,0.051660993342473316,0.11344537664018081,0.003808552989054401
WIF1,,,,,-0.03478699574086818,,0.03775593802011575
NPPC,-0.05369504664994329,-0.023401132770807236,-0.029784170916556156,0.13590201134171828,0.019895542569433298,,0.017046406238019323
LYZ,-0.06574353176041058,-0.03521557322011234,-0.021763000795163016,0.0653883024328686,-0.04927066409630343,0.01804387956390036,0.03590929884742364
EREG,,,0.05618121551037121,,0.02302492145405562,-0.03369292829286243,0.0645864925626133
SPTAN1,-0.17227713133287914,0.017023429224274494,0.05130201326926423,0.03563859153075966,0.001156478606833307,0.08827209510989383,-0.016377778478342143
PTH2,,,,,0.0663263203250408,,
LIPC,-0.03871222375080078,-0.04808171189179891,,0.1335175492517326,,0.0803812001680275,0.046239614233657356
COL8A1,-0.048162949417608736,-0.004267448962151851,0.06308544782942606,0.02446194059370397,0.04595529020373185,0.03419128888138171,0.06645346789224803
GSTM2,0.05617422840328295,0.1181342167585645,0.014847548286535499,-0.019316765464402138,0.06845830500650857,0.07480372309608364,-0.035162505420543264
IL4,-0.03700519128454716,,,,,,
SPX,,0.050882845119453776,0.0465163899102648,-0.052017278087132995,-0.055736594499408876,0.09727855085388136,0.06561513190926706
MFGE8,-0.03177545164943519,0.14221314114656058,0.002861970658810235,0.09419857483737629,0.006734130960007912,0.04924630885164709,-0.02844011971305318
TGFA,0.07899217006496315,-0.00550493824106227,0.042688037741740514,-0.03468578495337753,0.05440953844359659,0.12055858141761872,0.02120002753587078
