,UKF243,UKF248,UKF255,UKF259,UKF275,UKF313,UKF334,ZH916bulk
BMP1,-0.022411347913330337,-0.04629626579893346,-0.0744220421267409,-0.06553555716238309,-0.05218482454389284,-0.006457126206510198,0.020755103636388997,-0.035671820453621536
NDP,-0.08487355219134779,-0.05287873783949237,-0.08463273773412035,-0.0638744091349032,0.039026751235816594,-0.02551721781643,0.00387765555985596,-0.02686070869130814
TNFSF18,-0.02409657509534145,-0.006375306774334207,,,-0.010647508663312509,,,0.014617699114527637
IL36G,,,,,,,-0.01375290747081636,
RTN4,-0.016377026005812784,0.01154090110389039,-0.13654074783952821,-0.037646526213373846,0.07719900720535511,-0.01699402578008845,-0.030408484880641275,-0.030224866199722186
HEBP1,0.03487549167092594,-0.027473975781900566,0.020261615730528797,0.045893586896792835,-0.039267091648633186,0.02182575619939182,0.035325447729616405,0.032388401254167344
WNT7B,0.000235245986752994,0.019341237153894082,-0.04325967383467099,0.07844946766401617,0.045448503599016074,0.020415092079445238,-0.015116030214731109,0.12534897121348385
PTMA,0.09281316653966828,-0.11861249991001012,-0.13459844814220032,0.11824916827723865,0.07497772977360115,0.04108099011502282,0.0019617938268110956,0.0445158122241951
CEACAM1,,0.11383717631735642,,0.008485960628016388,-0.016745994528413258,,,
PDAP1,-0.0346631690429703,-0.03745468095361078,0.0397217152231622,-0.04628665664339766,0.0119510053572515,-0.01912517318829042,0.03032677185296001,-0.007666691907553181
QDPR,-0.09035217710309995,-0.06933477179518457,-0.049755635528090446,-0.025927677498907273,-0.019173190350214937,0.04415013653478843,-0.047146329227278815,-0.1192070746826307
POMC,-0.031868522417224224,-0.013268111693960988,,-0.036020264024122124,0.009722557666180692,0.027911290604504008,-0.02946575166172124,-0.07598385080239817
CCL18,-0.03231548852510302,0.15521905127002966,,,,0.00890500232602302,,
CCL17,,,,-0.022419330875147504,-0.013279516309412907,,-0.01256367141950146,
VEGFD,-0.03641011024318097,0.07112488222218058,,0.0323667137279967,-0.014148201430736689,-0.018378675490719875,0.011540721551775688,
TNFSF13,,-0.02132460451145567,,-0.015464352678235597,,,,-0.032142176550948524
WNT5A,0.03694130544759975,0.02952921476861776,-0.10907397228589315,-0.028140944273509754,-0.06106833103488167,-0.049335680621097076,0.0220492233934853,0.061782115961739256
CXCL8,0.06141045747906247,0.18075468573458423,0.2209514694180364,0.20263319189221202,0.002990852391429193,0.15380223671489623,0.10681547385481292,0.154743626231494
GRN,-0.012481877776068835,-0.07164218547747754,-0.15204897464988107,-0.05033274253544328,0.0206156301787117,-0.011056210316237882,-0.0315522145330642,-0.11954966612011239
MIA,-0.00791547171000415,0.04504106930258404,0.016945824916898115,0.05450273496571345,-0.026101064966381142,0.020237692326105408,-0.018440764469281997,0.1056684675128792
COL4A4,-0.03665313028729182,-0.00313894836875635,0.01846169870012848,-0.0006714083638911884,-0.01386422587761982,,0.0010471442306347262,-0.004936444481787051
TAC1,-0.04590518817141987,-0.05969081495745593,-0.07163808902590584,-0.022883531082719975,0.04482653213148241,,-0.03170167957710219,-0.009230796686158865
