,UKF248,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.03421038100879806,0.07494630511017583,
BMP1,0.09539575890177457,0.03922896924068946,0.012041291360572904,0.0040921868669275465,0.02493813195172869,0.0032217245923658188,0.13270719535476352,0.0896005963270818,0.02816786910436472,0.10710811151001352,0.018053060416197825,0.0177340788124091,0.19447058253430527,0.12325574328383536,0.09432804285532789
NDP,0.02832360899359035,0.04701939067832044,-0.04169810757294894,0.04812835106292179,-0.014987194236476684,-0.029675312525319953,0.01810858990512656,-0.0011479764263074433,0.009126048322758672,-0.02398044057692535,0.04264734094619256,0.057683583890948395,0.13208784973187784,0.09734849338115355,0.04644959578041049
TNFSF18,-0.015511303861405227,,-0.016604480607409048,,,,0.008818490986353797,,0.0060131941913183,,,,0.07991292949791066,0.013356958933095483,0.01438999538771777
IL36G,,,,,,-0.01941856579130624,,,,,,,,,
RTN4,0.018765619827983318,0.04567926482985811,0.0009434209196346196,-0.017103794167987102,0.06006359193247016,-0.021308681125876278,-0.03189766128633537,0.0680255658745663,0.19212970366987897,-0.038774259893366025,-0.07396808237029905,-0.06277601186095842,-0.2039828018085757,-0.07123678505557485,-0.16329123196585948
HEBP1,0.08085665531711508,0.05698140516535857,0.03246148723486377,0.04986502538293923,-0.0010978782970747182,0.03641208992435113,0.028841441827832468,0.05358437322396403,-0.07034623672761164,-0.058305891204762685,0.025747475962618154,0.0168013158981451,0.03180536947483654,0.07221020603399533,0.027467854163493868
WNT7B,-0.031872309317129706,0.026065919977386318,0.003589783485209716,-0.01957461027657248,-0.06907185232513845,-0.02134324162734335,0.15947087607306992,0.013871105467001793,,-0.04527339649975967,-0.00023419800943549307,-0.03849414952146158,0.03624464167670655,0.022207061312669293,-0.011484604210513507
PTMA,0.0607069369302245,-0.00532628892334324,-0.08099106011619182,0.010326174141124623,0.024676639235037864,0.09301563411792077,-0.034348762870904104,-0.06806434386447152,-0.03079229455327539,-0.06838158617808139,-0.0301585574176039,-0.024156967900092655,-0.2422275270989036,-0.08042733940705882,0.0228121207478853
FASLG,,,,,,,,,,,,,,-0.04033145959361759,
CEACAM1,-0.0001991139988371499,-0.011506057064020499,-0.02611489224300007,,,,,0.17638344614389825,0.16027252908499037,-0.04060190714074178,0.05017977075012194,0.003107236021119525,0.14369914704951559,0.1141953288412459,
PDAP1,0.05480515698740485,-0.023186079656672964,-0.012674007436508384,-0.04018063230806146,0.06046425622266355,0.07999525365024363,0.026778500352241618,0.05661193556089999,0.036630725860205826,0.009102409775579112,-0.047555960901866444,0.04030245537033015,0.11062618216046682,-0.0011312497802335696,-0.07526496192813556
QDPR,-0.01786424305443456,-0.003353359106682489,-0.03641619900120173,-0.041342707037698205,0.07109957127314488,-0.0022419931371910817,0.027807021897083187,0.12284792400649146,-0.0004056951736904314,-0.14412316590678717,0.009885810406569925,0.06906291511823046,-0.2030480337741125,0.0625814773948871,-0.08013283051492338
