,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.013977906212365594,,,,,,,,,,-0.020322173394281003,,0.007354848050221891,
BMP1,0.02780691921846055,-0.018400218058031447,-0.0020573644194400516,0.0011410718324168843,0.038561406436912284,0.05983885399511919,0.021770142856237573,-0.04015494995668819,-0.015082999550698235,-0.04023396661483492,-0.02609721378290082,0.009266233326464441,-0.13863812150256832,-0.008461817153254907,-0.08519996397844107,0.04223009080615483,0.03089352022322211,0.1246175034498334,0.0239503306423823
NDP,0.010377325464848736,-0.05160133181753463,0.007099393792577811,-0.013374091571319573,0.051805692918349425,-0.03666913147294187,-0.022515036711576786,-0.01629957454708504,0.0030158103409343175,0.059615749290022044,0.06383536077105131,0.009714518000592894,-0.0651910946344448,0.06294497556189042,-0.040645610137057295,0.024604475536476725,0.007375350733238982,0.023427505171353582,0.0355944484401537
TNFSF18,0.03780384741312754,-0.030647139090317157,0.04093178828864161,,-0.01978691345728812,0.12459098517595721,0.03646815688103113,,,,,0.05846059367334024,,,,-0.02095789871409648,,0.005377948341689837,0.04193973833054301
IL36G,,,,,,,,,,,0.007260734637721202,,,,,,,,
RTN4,0.03892564181688516,-0.0029121181412914846,0.010933701882501218,-0.05065024218109,0.005288894972014729,-0.08791996279260635,-0.0346351866376632,0.07530088224935481,0.0807109138404514,-0.014313731808713133,0.04158215370900049,0.07911142181916432,0.034031280511273646,-0.00845227255518419,0.05167608414243389,-0.09026452939278826,-0.07279519909698096,-0.03004835922560865,0.06087596745586101
HEBP1,-0.005180498807420596,-0.04108126677345697,0.06686329071301948,0.015222656809239711,0.01977376217610283,0.0698738336743094,-0.04920711159482587,-0.017999115265682136,-0.013502626956034009,-0.04676873179542625,-0.01745154681903754,0.022009430594577738,-0.09439585419409066,-0.024827876639968476,-0.01948650292162706,0.010627694386212218,-0.0492410671685002,0.04060186637432254,0.050035912148480716
WNT7B,0.018839160312949844,-0.012503545064505945,-0.018238662148146484,-0.026976179549281325,-0.01662958444998176,-0.05110583347563358,0.04146402857069773,0.034177785204854406,,-0.0016181612776885043,0.0031485821573998484,-0.036093541641054425,-0.017809460624919556,0.012623715053873425,-0.030869494024666898,0.0030715863649202206,0.031397308022701846,0.11866837737867836,0.01652662940268305
PTMA,0.019342453176341822,-0.019385333163940727,0.00680668794087722,0.005574571294608415,-0.0008089167782902197,-0.08887116728178437,-0.0037924925680600193,-0.0403510444559459,-0.05177495022554402,-0.028180805332496107,-0.05555577741098529,0.030443068187272743,0.09789224996458327,0.04145426955943534,0.06230880381015784,-0.07682362758107157,-0.00689046557138337,0.058983641149029105,-0.02823902051246694
FASLG,0.005219699536474739,,,,,,,,,,,,,,,,,0.09133214032580275,
CEACAM1,0.04480400473889682,0.12004647365258189,-0.013997076217041368,0.04685372966686107,,0.08468385104090369,0.040599111228448274,,,,,,0.017917815200151274,-0.02058507278116843,0.0829316726862723,0.00384970045630997,-0.017930082315454336,0.010545277673959654,
PDAP1,-0.06394833861466163,0.00731722861145307,-0.012915810107251166,-0.023982626486001295,-0.018125162126054913,0.05044142292570029,-0.03042609180467919,0.0137403713473226,-0.04482240512048983,0.037264153541942825,-0.02155045224910927,-0.032413312502454036,-0.05282400990929408,0.060258789168944234,0.031741047601795885,-0.01826840490424494,-0.04964665896294628,-0.01451623834493052,-0.054829994882127246
QDPR,0.0017716829636064287,0.07166070769067305,-0.0203286767367189,0.017000692812702854,-0.012604867274475505,-0.10888233808204864,-0.013517665379984488,-0.03555643089881967,0.08960763153395372,0.005363826515861922,0.050390149155031094,-0.03579340666477996,-0.028654825807952353,0.02204254410815512,-0.011317952151438512,-0.058101224347994605,0.026526570450400966,0.02354039650141571,0.028211059037405256
POMC,0.022423825630367843,-0.030735519754199147,-0.024870571307784393,-0.0073472241556962175,0.022355244713072157,-0.012745881771876792,0.06095314649063819,0.02325166210173742,0.030646620488219898,-0.03715042382143677,-0.009972837531413628,0.054023818869143876,-0.036036474058457627,0.014773138704840412,-0.018947012956023346,0.016007878926860113,0.07771894831399734,0.027415748523227413,0.01263161008437973
CCL18,,0.004025722106257381,,,,,,,-0.07276805393793713,0.003445389295496962,,,-0.0363442488189638,0.06409668607270722,-0.03174922080006575,,0.05060335783374415,,
CCL17,,,,-0.018054782359879236,,,-0.025086231575321943,-0.01489193967916392,,,0.08453531870832172,,,-0.014604112792709826,-0.029001170364475467,0.04654421989852339,,0.1438076443628194,
VEGFD,,-0.024341732745867373,-0.0033351119268618576,0.03750645126758846,,-0.023416742391896797,-0.026727257920846154,-0.010923417849230439,-0.023744008834821816,-0.025100328082174043,-0.014944243006759684,,-0.06941492904895417,,-0.020089995930657453,-0.028258990523652168,,,
TNFSF13,,-0.018369052651653416,,-0.012453784793883699,-0.019189178270574002,,,,,,,,,0.005502748142210664,-0.005066926704601383,0.06005502760198772,0.05380089392062853,0.0679456571775991,0.042257592058957086
WNT5A,-0.0038309999462924653,-0.016860837291595227,0.01852684558890554,-0.0008518424613244891,0.02427870365986966,0.10488006236475869,0.04013381161534268,-0.045414757604358,0.01659520202695014,-0.050292362189225344,-0.00997022180123805,0.0484856738085741,-0.08647392442306773,-0.04357735904206679,-0.03572722160510021,0.028304396643927608,-0.0185971979250332,0.010332162810487558,0.0818470706243131
CXCL8,,0.013906318179702863,-0.0009937493792481693,0.004352301326744512,-0.02729536149599235,0.03568018906499805,0.0187871628481867,-0.010172361667201842,-0.04359506014886696,-0.019283040626747284,-0.044931620515422696,,0.07048728680884438,-0.07024850774238749,0.03053590811837753,0.02015912694787248,0.0038173486526706063,-0.03545084627258521,-0.005574243073295524
