,MGH258,UKF248,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,,-0.024126902893142732,,,,,,,,
BMP1,0.010287896106695829,0.07422724794232531,0.0723216629569374,0.09589930282874454,0.0073676104532764755,0.017600440471445055,0.004750836547465138,0.009837034808101648,-0.0748316039098342,0.028919673901622346,-0.02373886416916481,-0.024724676735408724
NDP,0.030528738379547126,-0.007215480703109437,0.026556646171107725,0.013480582650480112,0.0007281371342369204,0.04334587484933484,-0.02793121540259216,0.0033973977632283047,0.031052215614963984,-0.0014397081361631967,0.054029255622772436,0.03470424671610912
TNFSF18,-0.027076451053886477,0.1451236803983452,-0.013633038718777236,-0.0245092835822488,-0.013987920104373244,,,0.1315170488046134,,-0.05346321593282746,,
RTN4,0.00763434691310105,-0.020186009784083914,-0.11497033147135886,-0.187612801103626,-0.0035843564766236333,0.026483942153823496,-0.0026464194676102367,-0.029489761059739182,0.04788986955259187,0.0013349253507026011,0.01564930426612219,-0.05212147320405655
HEBP1,0.02600273201172281,0.03761871549520363,0.0336631197562282,0.05772793838798838,-0.005698474273907319,-0.0252408235670802,-0.01921804312662718,-0.04877899480922539,0.00572626913211559,0.04512578687259423,0.05330375337334335,0.05018660202509589
WNT7B,-0.023853505320444238,0.007774809734463187,-0.018192852381350343,-0.05726088653792179,-0.005779417996736223,0.011595521776625227,0.0038186674825976008,-0.026980666852985336,-0.01374335195465367,,0.05880315855353823,0.04266843975969005
PTMA,-0.014710498720329299,0.0276737826190301,0.15116436581923148,-0.09744099510425859,-0.010371015461060073,0.01979577565496435,0.08850703290783905,-0.032938282885671355,-0.05776527663958781,-0.010036667642028627,-0.03379729873337676,0.01753967548177242
FASLG,-0.023853512063769088,,,,,,,,,,,
CEACAM1,0.06842142335328696,-0.021474235977591818,,0.055348323707576634,-0.02199966592549754,,,,0.018964590693936096,0.012237448921517022,-0.026733028164534652,-0.022409299616479847
PDAP1,-0.011413324997986779,-0.005664247464590901,0.12004359586595442,0.11906171139889159,0.034520487590721,-0.00900579063550258,0.0433826942053526,0.01726233016992513,-0.07990873092258266,0.011642310736151655,-0.038239558602330956,0.007155153799711132
QDPR,-0.09248391277199074,-0.030488035935092913,-0.06375593246949283,-0.1353828029876018,0.023481986187549646,0.023901545392349878,0.053612656408077115,-0.05893410979011019,-0.10335245242122608,-0.059933680733473445,-0.030338577838069668,0.026152434714704412
POMC,-0.023407371569442663,-0.005436143805803902,0.036910913224502184,0.0244344906208988,0.0010270599647302715,-0.004147117671718361,-0.011681575681213823,-0.06604765254489857,-0.023130161240789718,0.07411256522543724,0.03906488209574276,0.0803922727192642
CCL18,,-0.026797817527739062,,,,,0.08238826478434697,,-0.031828549099286375,,0.04387225459554678,-0.03976916616461566
CCL17,,,,,-0.01744565973454679,-0.014702568225931939,,,,,-0.018965789567803138,0.061439416270260436
VEGFD,,-0.02679782603730126,,0.02850199348103007,0.01195690274665367,0.015425784391508456,-0.017599376539985823,,-0.008272412473092112,-0.05110783073726957,,-0.0033874152198259387
TNFSF13,,-0.02022249946494083,-0.013221203544906414,,,,,,,,-0.023440968490589357,0.013691033998791877
WNT5A,0.044083965887795014,-0.04636838700101452,0.06676938201194232,0.08067544239678807,-0.03704670007104231,0.02196716788070955,-0.012735125725294562,0.022181939885690415,0.0002450231512735304,0.015368652052545468,-0.030731534837994057,0.020050114633034112
CXCL8,,-0.06176671998607262,0.058166392571519884,0.08557555164707333,0.04630411019633601,-0.010043006126337371,0.06363263108916876,,0.0007850987791131635,0.01101071521479933,0.000720055840112994,-0.06440674766316404
GRN,-0.030496930767244315,0.07274580446143405,0.06152764589288684,0.11115956636367745,0.004527818919745728,-0.025564632708450354,0.01868919594654871,0.0573261667718433,-0.027187989521411427,0.07467558558434896,-0.015370947005442668,-0.10638373933390155
MIA,0.17059181647065844,-0.02000348403995184,0.037705909351201335,0.0028739767361960107,0.0485233261185339,-0.012265110745883965,-0.008228693726373273,0.011286298314635627,0.056029114422035946,0.019762861676875864,0.1426662724834701,0.11534140995657156
COL4A4,-0.027625273504807556,0.06817400544828052,0.016821878596351193,-0.023775271977792563,-0.018213808508402433,0.034985929420548165,,,,-0.04001843799672822,0.00593125976431882,0.05444998489399647
TAC1,-0.02385349908605465,-0.06130268060704505,-0.03811560704561932,-0.10903446293399509,0.045498876111041135,0.046290053583291475,,,,,,
RARRES2,0.017438746659290245,0.03580331128266581,0.012650879590732375,0.1266115188281708,-0.025548118782033554,-0.039592768325582076,0.047573654337132835,0.02962640347789505,0.14878867006043708,-0.06265537516968496,-0.012427286340042793,-0.0433446849023028
FGF7,-0.06670402246121783,,0.04787328122069863,0.010097373380121557,0.015176537371738697,-0.042770522331018426,0.11340050739281432,-0.013403346483512227,0.05992972659496175,-0.044875248731557044,0.053959948442701515,0.08603701580479162
EFNA2,,,,,,,,,,,,-0.021298539586176366
HBEGF,-0.003417987395070949,0.06657215417164036,0.08268890982477331,0.1170603641809904,-0.02258536867172751,-0.01761298033614188,0.05088484384332811,-0.007385025174225674,-0.061516656418658396,0.03290306217058726,-0.02568639006566934,0.030397565727845972
CSF3,,,,-0.025153780135344573,,,0.08051072227966048,,,,0.0033537866667216073,0.003681868831747827
PI3,,-0.028192433882177254,,-0.02832348842636056,,,,,0.060351424687771195,,-0.0056400231343719616,-0.10761887264134276
PCSK1N,0.05028343757394417,-0.017749793187974375,-0.058155064355667384,-0.05170486894440831,-0.018711026604141645,-0.009895831885189794,0.026092271825953674,-0.0012942972233438575,0.020771887420185008,0.08631195053617034,-0.051078028002472624,-0.024315353887111694
NTS,,,0.07891528714035971,-0.030917021568880744,-0.020807159001247647,-0.008793768734788734,,,,,-0.023834264461040273,-0.01011077782667837
SFRP1,-0.034707443704514326,-0.0018300906970337067,0.06672325952902507,0.006908733866128556,0.03233042793663315,0.023804964362029907,-0.013788764913566781,0.022054776732500433,-0.07252054751865741,0.004335402396918551,0.0011452487625701097,0.02703299673659937
CXCL13,,,,,,,0.01480979258385516,,,,-0.0426010519009806,-0.007619439940335931
MICA,0.038596855636296744,-0.03872629785307684,0.06982453054336792,0.0758962217563809,-0.05692335056054787,0.08316784529733212,0.07668996433750232,-0.0020143428543325454,0.030715271474789224,-0.006563728200257897,-0.023060784143333915,0.012988706544565807
TG,-0.02762526727934581,-0.008843699226795673,-0.017725539599126653,0.05897838630896575,-0.017575841977847926,-0.01064018477742352,-0.03756469952486818,0.01451480528846208,-0.07009853110383708,-0.027097289952580376,0.04509702725582072,-0.019284047117265495
ADA,0.07016269692189583,0.015443605394346933,0.12172558673443627,0.13876971109146427,0.040458693180826406,-0.0010196159683740376,0.04652876291200725,-0.051834358993121485,0.007152358136543862,0.07590453698236958,-0.005846842332255247,0.030623524619457367
LAMC3,0.10184896263961037,0.07345958353366115,0.11816841783497654,0.08580273513246203,-0.04593123440848933,-0.021105309145784002,-0.034956024744998405,-0.03470778389642477,-0.08190299357213447,-0.002906649829130423,0.014221870049539566,-0.014316260917004409
CCL7,,-0.017045675767379673,,,,,,,,,0.06640609067844605,
NGF,,-0.029266578819908046,-0.016914919069042487,,,,0.03407319870445687,,,-0.0191141106765625,0.019113331561636863,-0.00190208393560884
TNFSF15,,,0.014709285317374721,,,,0.005850877111022274,-0.02895009300805169,,0.008160292367131717,0.03766178603055104,
HMGB1,0.05288265744409683,0.03262350335624637,0.1145929585223241,0.0882334232240304,0.0070423202357852155,-0.016507765111848864,0.06717222629451186,-0.025195127608294326,-0.10786002056644554,0.016038835813315597,-0.029441924794682637,-0.057414252014931264
ITGB3BP,0.08891836148607754,7.23168052448813e-05,0.11758086762232843,0.10000428025214426,0.01462906763066992,-0.01290631419924513,-0.014087883101518426,0.010618133017362186,-0.06039505546919228,0.07965067756352663,0.0043853745638332145,-0.03903500224218319
AANAT,,-0.01115531631510323,,0.01227559428403604,-0.015806057404218872,-0.01226511142810074,,,0.023691989808498633,,0.044146845324211,0.08575197599522894
