,UKF304,ZH8811Abulk
BMP1,-0.02136396826979817,-0.006894004380973574
NDP,-0.019132920309400572,0.022448249451825285
RTN4,0.13463665698198884,-0.08054776736626294
HEBP1,-0.051476962785169715,0.006004072779887109
WNT7B,,-0.003980950119067296
PTMA,-0.14867787610556166,-0.05868685631658369
CEACAM1,,-0.017644155412400615
PDAP1,0.04606245320726191,-0.031204338808919197
QDPR,-0.1454255253394168,0.07598220877422046
POMC,-0.006244953012075243,0.0783194956486646
CCL18,-0.03839328735869247,0.09068517404228538
CCL17,,-0.01251767426397091
VEGFD,0.0413458335105834,
TNFSF13,,0.012213797702674363
WNT5A,0.0675219183143985,0.005277307077920313
CXCL8,-0.01955047727926649,-0.06163855584803325
GRN,-0.06146181899254486,-0.01631978405519522
MIA,,0.14908956901462042
COL4A4,,0.021007748863950605
TAC1,0.016860270160297067,
RARRES2,-0.06414408987679408,-0.051926357077962615
FGF7,0.12006350075344259,0.056059044834353235
HBEGF,0.026362446293563716,0.003710931092828168
CSF3,,-0.05413718739859149
PI3,,-0.09946825506848371
PCSK1N,0.1295573489644278,-0.0005935315576787244
NTS,0.012788892425836687,-0.029202431015975784
SFRP1,-0.011147515071674566,0.022409263769091848
CXCL13,,0.07809472281266477
MICA,0.008872943052595783,0.019685998495404564
TG,,-0.016632859498888385
ADA,0.006505645257709078,0.04650677912082655
LAMC3,0.013567350170458589,0.049682324989193546
CCL7,,-0.018761108389990292
NGF,0.10694232677930418,0.25818194593648475
TNFSF15,,-0.01828997398946449
HMGB1,-0.04822724838580601,-0.07191431728012666
ITGB3BP,0.06551725637005855,0.004980622992628703
AANAT,-0.02575070100196275,-0.016458785784805165
RELN,0.02787422169642373,
IL15,-0.05276893817714957,0.0285034505951089
UTS2,,0.19960845437298483
BSG,0.09444595821207762,0.0723332540289228
ADAMTS3,-0.04134957505898667,0.13738946237291236
CD34,0.048346412961547236,0.020909063694801694
PLAT,0.08629039861065083,0.06556358209752527
NTF3,,0.10385731601368431
CKLF,0.00935347176772985,0.021653360290621055
CD24,0.024944648877858404,0.040799959069521434
HSP90AA1,0.14273009083637506,-0.17711293270886372
BMP4,0.13237185671844057,0.10013216569679313
SCGB3A1,0.08352717123023909,-0.028555200093258994
IGFBP4,0.02839882591806058,-0.04552423014125662
LEFTY2,0.07289960821462714,-0.015926056495350182
ANGPTL2,-0.06403654789364992,0.08892578262754959
LRIG2,0.06645527085147758,0.06715329736070542
ICOSLG,-0.036848597652338076,0.040555747375976295
WIF1,0.032800675927705844,
NPPC,0.03139824666361231,-0.02800695156719618
LYZ,-0.06676240269677877,0.02200504833731881
EREG,-0.028176385313299523,0.01863055008324021
SPTAN1,0.1308464595489467,0.06400613798961137
LIPC,-0.01726314301840355,
COL8A1,-0.051620992437144,0.10804069596314848
GSTM2,0.026541223067174,0.004188451290551105
SPX,0.03601408372109439,-0.018915813698070886
MFGE8,0.020699402522577924,0.06588598790929398
TGFA,-0.06632602692250507,-0.024135235045063555
SLIT2,-0.006326760164459902,-0.039993193070800764
PLTP,-0.11376395111957913,0.05679527370798805
APOD,-0.07752596807200161,0.16527582205227842
B2M,-0.09752371693615106,0.027561593857527558
OMG,-0.022993035990722735,0.13223953475626404
CXCL3,-0.02577825674022764,-0.05921657273902348
CXCL10,-0.04342046603835567,-0.019373251230101897
RSPO3,0.09247823960457366,-0.04261355526962917
CORT,-0.005084440060117741,-0.021392628452820393
NCAN,0.09037475138479358,0.16381974726059687
PRG4,,0.14740857300022153
TGM2,0.011156613296919886,0.023865641924930122
VEGFC,-0.03183919272035363,-0.024144468718313952
WNT6,,0.002481077281625949
NRG4,0.11726180414825611,
PMCH,,0.027302482274882717
COL9A1,0.010048039738845676,0.07851243369785563
GDF11,0.031948233902849434,0.02856007533983783
IL24,,-0.014217666671618206
SORBS1,0.027816736062625507,0.034211865372489075
DLL1,-0.10984233715182629,0.13838007822868748
TLN1,-0.09346848694584398,-0.05438371804928906
COL2A1,,-0.03108168317279479
SHH,,-0.05054603480153994
PON2,-0.0901524065330883,0.08549357437957153
ICAM5,0.12383728798442588,0.014241414534156782
HPX,,0.06151215331882848
SFRP2,-0.0338523440166955,-0.012749724334630065
CFC1,0.10171191920748357,
CD70,,-0.05454897439001393
HP,-0.027330470043583938,-0.0680520657766223
