,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1
IL15,0.010284219050239147,-0.02282022763541199,-0.050188256568956015,-0.017551075111641022,0.05691087565800958,0.016545060146237425
UTS2,,,,,0.16573539379128266,
BSG,-0.05083809553285542,-0.008524719146186053,0.14421820328861432,-0.05782871621189277,0.07312262247642819,-0.07529329569234051
ADAMTS3,0.03947102959726613,0.006260321497472827,-0.011717592296318469,-0.02916422236044978,-0.014811255070520996,0.04235849951778654
CD34,0.027010146480049024,-0.027563110917251284,0.0016879922372882166,0.04915426558194916,0.07947127505350379,-0.03297521974070772
PLAT,-0.020230842964629722,-0.02260823975529429,-0.020834190524472183,0.019470854091293236,0.09517109900937225,0.012136125049177474
NTF3,,-0.023780909688226545,,,-0.019260090514550764,0.04052421093484323
LTA,,,,-0.017551077278153925,,
CKLF,-0.016557271617012308,-0.02513048540991989,-0.061787411388018146,-0.0205094683387867,0.07219271843204372,0.03045780528021142
CD24,0.03360181510994076,-0.07477042670863795,0.06020312946781574,0.03857202286527546,0.008224549979526647,0.052460269243895005
HSP90AA1,0.02669554273600817,0.022019747183749785,0.1661948784884543,0.08448196284818482,-0.05938909817673125,-0.029163532079247333
BMP4,0.0011299608149751969,-0.01335158977560449,0.046478121357859975,-0.014955330593920202,-0.007768008389288872,0.06584983170165912
SCGB3A1,0.021663406463276972,-0.012426558552644233,-0.04311163835138874,-0.012246909621405991,0.13756470972650617,0.09658898243686287
IGFBP4,-0.0012025469883245514,-0.0059009896778561815,-0.012664837041841206,-0.02357147938087973,-0.011740603927002342,-0.0177657900320987
RSPO4,,-0.012426556734978937,,0.004270785285771019,,-0.018460467690813387
LEFTY2,0.02492125750489195,-0.013625871440032529,0.09539948483425188,-0.021666608895867762,-0.016438705136983103,-0.02510501645304191
ANGPTL2,0.013425550185544479,-0.02137764291642179,-0.12457904274028071,-0.05872885211207825,0.06280985674669363,-0.04472103412084249
LRIG2,0.04082545220496369,-0.04080025815921796,-0.040840811971682656,-0.04910839883843463,0.03183724048289602,0.05593796056819962
ICOSLG,0.0033550081952812547,-0.023583284124149763,-0.04422661555509097,-0.0019723478114491645,0.051566082972298366,0.019185873722979557
WIF1,-0.007245441044775071,0.03611271865312132,0.06252672177686606,0.10404479013338443,,-0.01716079283469864
NPPC,0.1051589463580919,-0.017269872819266615,0.07512015158043459,-0.03051441927860036,-0.028908475788298513,0.005649283637214739
LYZ,-0.023371698487790003,-0.06115959970698863,-0.13130381981385492,-0.03186234675486418,0.051050786938111166,-0.018192270332247535
EREG,,,-0.026798410279591255,,0.02161569283815755,-0.006036473368548603
SPTAN1,0.07689762596330336,-0.014807249995892278,0.13928813515397215,0.04860881686794471,-0.03993687655258934,0.03375608027274571
PTH2,,,,,,-0.029358293584442377
LIPC,-0.02266304504947537,,-0.026204691839202387,-0.02757110112150793,,
COL8A1,0.00283663082672976,-0.004143319167583996,-0.061207930786725734,-0.025394870451554,0.051864967709290076,-0.010455911981257716
GSTM2,-0.012358365620763596,0.013513960098123789,-0.01802296290180652,0.0001576081662726879,0.0034474537183777176,-0.009304139452805817
SPX,0.02208161731767972,0.020156444991720257,0.061236800796625114,0.08859867558400411,0.002063004314119921,0.06281285279048927
MFGE8,0.04160980509178586,-0.058779191606297736,0.0619552136885668,-0.018227663862398817,0.02638740452493498,0.00172417912563277
TGFA,-0.05082903834047204,-0.03431503231876311,-0.09800279269365267,-0.02506041386702992,0.03088444161956443,-0.04065825804075493
SLIT2,-0.005865407532298932,-0.037114326676951186,0.11185684669029086,0.13069380631731414,0.11107147366194521,0.021918063815375248
PLTP,-0.042161508648438005,-0.06839693884491287,-0.20499618261017893,-0.00879710951614372,0.02303559440593875,-0.009029949691406658
APOD,0.03282748113638464,-0.058994958668248054,-0.11984845527441992,0.060572465980899416,0.1163132022166524,-0.018705501898255438
B2M,-0.0013143381956471705,-0.0620140465269151,-0.2015709721278161,-0.08503258813530676,0.06690064710603896,-0.0017738273037813648
OMG,0.00792507906543811,-0.014465282771301574,-0.020924153774755472,0.04331025844712152,0.026255275569711852,0.03615406212877841
CXCL3,,-0.013293789022023087,0.03409053976274389,-0.012639953901482563,0.07084017313063667,-0.03683862389542398
CXCL10,0.037533822018836344,-0.0057097808476185416,-0.0675773638078964,-0.02008641640837827,0.023157278190217425,-0.010514728796315886
RSPO3,0.1257942651017828,0.07589663608639849,0.0689905418448103,-0.013208508215801197,-0.012500700171199901,0.04239912048223929
CORT,-0.022201295981924545,-0.030900392002788084,0.07836693474889901,-0.003128877272797886,-0.002643057782064163,-0.006825411473018001
NCAN,-0.02830937415923241,0.05869808393585921,0.10986169150512527,-0.072868323921507,0.07400885441896321,0.00994951236601943
PRG4,,,,-0.015442929551225016,0.12257630971792516,-0.009436479200774133
TGM2,0.007869126155080659,-0.023801444802422446,0.053645725151559596,-0.0034951409809868615,0.04094605229501726,0.022488806432738942
VEGFC,-0.0043051958052169655,-0.03232995540769967,-0.030282086932147206,-0.015760125160086427,0.009113865988998451,-0.03150678881190381
WNT6,-0.014989777447166964,,,0.13344350475032773,-0.02890847968857039,0.0212925007234182
NRG4,-0.01835025862902055,0.050244646029156105,-7.057451608727809e-05,-0.018386024247712858,,-0.00901329008380835
PMCH,,,,,-0.01968320512629295,-0.014035573300032798
COL9A1,0.029191180661934123,-0.002896112310477176,0.07539340968216346,-0.02095043753135723,0.037197234710204176,0.012505064802357932
GDF11,-0.04389871805758167,0.011448105657724288,0.04355353919336879,-0.02618727873196677,0.026739826782497384,0.012413793220587693
IL24,,,,,-0.0146753234373419,
SORBS1,0.0026723202378992335,0.013580695999702084,-0.06556877156712314,-0.02014455929798104,0.026758980830063603,-0.03132330642108032
DLL1,0.022807762384843156,-0.007950025774077314,-0.08517377664859775,-0.03411879507914645,0.038526743793636936,0.042496253585422465
TLN1,0.0033302746768635464,-0.02390906967298472,-0.10458517352580177,-0.09782517575911961,-0.03470035355021171,-0.04469368017783904
COL2A1,0.006998219930460486,,,-0.012832148230667369,0.02195716058524487,-0.02956819633409473
SHH,0.023314788256448064,-0.014267905400910092,,-0.012246908550949849,0.03379179063277015,0.036490592478666616
PON2,-0.003122388352803245,-0.050329473023128096,-0.08673307836591981,-0.017294840350165996,0.09568509905693556,-0.034295230725683606
ICAM5,0.023097407334803175,-0.01876392127367585,0.13911925245085588,0.031526123144478016,-0.03060437089900636,0.03809587011271063
HPX,0.08210920741039314,-0.012426557285786517,,0.025239541854492113,-0.037166069358926614,0.011454635314710476
SFRP2,-0.03543578988469929,-0.05318673246062532,-0.041422367680147405,-0.009368452276899345,0.03681739310400381,0.088883684400708
CFC1,-0.025329057213924932,,0.07114269070930884,,,
CD70,,,,,0.12824470024518508,-0.035499838695397114
HP,,-0.026725542339024865,-0.04543531886820965,0.04185685611364733,0.04313389312832029,0.05687412591809084
CXCL2,-0.023167351523813554,0.015545062762360633,0.07285000934819422,-0.01049563953370908,0.0545454638261742,0.046887969375084645
NPPB,,,,-0.015760126306365523,-0.027694442039655806,0.10132508972568414
CCK,0.030387420060916513,0.05360536329664382,0.2321726057233908,0.10300707662577768,-0.009152999727480788,0.018012844624766634
SEMA6A,-0.04596411612405853,-0.05614169606813484,-0.12411969660676508,-0.0443263293710185,0.02735994618782561,-0.0664467126391232
IRAK4,0.02731528029035278,-0.01485791896407083,-0.045758920782501,-0.0085301768153377,-0.039106202286563224,-0.00805535362780886
GSTP1,-0.01371703632932768,-0.03605712418268095,-0.16281809912323286,-0.06409361671615352,0.02074593251366763,0.022679505957742815
VCAM1,0.023452172661824314,-0.03399028147156219,-0.03334380835215598,0.003222184056429761,0.11228735242220213,0.020320359679715596
NXPH3,0.01988762988180781,0.037043902923117475,0.02919568434408701,-0.03650610632436195,0.03855877900206103,-0.04198188299826637
