,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,-0.023507826833016346,,,
BMP1,0.005503650929449378,0.011782203028826838,-0.031580956563815786,0.017576602856021674,-0.008326698831102798,0.026555061646049524
NDP,-0.017103520359670096,0.0911768011626359,-0.04527982743822579,-0.0794655539688255,0.045256486783939065,-0.06350174782533323
TNFSF18,,,-0.0026894633158585607,,0.042938813361215106,
RTN4,0.06016219543386776,0.02636369056174221,0.08701035005240423,0.020280885951188498,-0.043550742458452675,-0.038467000822110665
HEBP1,-0.03542890108028265,-0.0001519051356847607,-0.021791475866146194,0.04849919859515112,-0.03233660728639457,-0.10416986768565097
WNT7B,0.03925046631145765,-0.014628935625622386,0.04872498175346315,-0.027014749945030937,0.06279922367599229,-0.046226288588727855
PTMA,0.032094495557423296,-0.040301016624863836,-0.01592726232368756,-0.009582466271335991,0.02661125679003772,-0.05130208265749547
CEACAM1,-0.03331227335853433,0.03222741301547587,-0.02027162691478441,0.0025120230970388725,,
PDAP1,0.01906047342747605,-0.015907012375723655,0.03756295322848701,0.05082929762418027,-0.007289341166082497,0.001495377522348297
QDPR,-0.0036010798884412052,0.08538712613588491,-0.021855750719796098,-0.023547370548102863,-0.02153714138044865,-0.005125478409612024
POMC,0.029501193419988584,0.07724702189824575,0.05321900281995285,-0.029331259463700573,0.06418162392942028,-0.0692120325683041
CCL18,0.0233541984214082,-0.036237806423438504,,-0.019155048697833407,,
CCL17,-0.02363344558852728,0.012693420576511535,0.03442436401509202,,,
VEGFD,,0.03332608206327004,-0.03268879970745709,,,
TNFSF13,-0.01628727814740777,0.07912525291882151,-0.033236747647883064,-0.02013428085261855,0.00858065150849262,
WNT5A,0.03526839599938366,0.06544340759003447,-0.007373680696587395,0.03803658700113393,0.02118363991988561,0.007146767673945953
CXCL8,-0.04026937472840925,-0.02141067719925569,0.028488553418137677,0.013482917673055643,-0.03491529430189011,0.011384021135324423
GRN,0.03859071478758237,-0.02933702921330075,-4.2390775145224096e-05,0.005276062490755738,-0.05012681286794675,0.024483185951782692
MIA,0.09846368730465987,0.014585012601240387,0.007623327329175908,0.010680534657088386,0.03707561674113408,
COL4A4,0.047064463034417414,-0.045000545569757064,0.08191285485671787,-0.03613531331246396,-0.041086871566997495,
TAC1,,,,-0.030934500163407076,0.009555148325237276,-0.01770519794706795
RARRES2,0.033414192832076625,-0.036733963153879536,0.041376434765778645,2.440532796332178e-05,0.019164032402566363,0.042362099615160194
FGF7,-0.012797710252615434,-0.025959706286665506,0.03423517929457771,0.009199410169572588,0.0060025653678473295,-0.05674065047731413
EFNA2,,-0.026711948992985603,,,,
HBEGF,0.018155953392035927,0.033141627809470386,0.032429428582098414,-0.0021377479663384027,-0.00890752150005581,-0.0538899796095986
CSF3,-0.012713711549878721,-0.002582840092783033,,-0.02570522239297038,0.04284609583128725,
PI3,-0.057099739069555254,-0.04843251788240369,-0.02633421309118635,0.0306359647362462,0.018364715591715392,
PCSK1N,0.017647569602621795,-0.03400905626330708,-0.019052719009982257,0.02960543961474901,-0.052489224394133095,-0.08790301618636447
NTS,-0.05513436840701521,0.08641258706875952,,0.0038467671846916874,,
SFRP1,0.07088282127604056,0.04939560295171635,0.030328844785158772,0.017171666038001944,-0.020578328069235406,-0.03972506938897264
CXCL13,-0.0013086362345399675,0.05638575302063229,,0.04987768980113341,0.05157333426022628,
MICA,-0.006374613820391565,-0.003945648481639163,0.05049131600973164,0.07511720960919657,0.04287242132388405,-0.031892387722039284
TG,-0.0040894601514415915,-0.009038202338185435,,-0.003372455595967466,-0.037993520925347246,
ADA,-0.034076963375725494,0.05930019629298156,0.044602966455594945,0.02367912256082914,0.054998624757209444,-0.004991911006746608
LAMC3,0.014972470226798186,0.020889685839318547,0.008567113886892795,-0.0015293703296725605,0.04747553461547191,0.07113863066813277
CCL7,-0.03542108741329752,,,,-0.044947676935915136,
NGF,0.01447647148341781,0.037799457957746786,,-0.010775060279994399,0.027085438959873653,
TNFSF15,0.0027376117154035103,,,0.03100314639858255,0.013889725008129947,
HMGB1,0.012702201395681964,-0.05246749173448866,0.05448517660218977,0.0272917607774749,0.01593769692430975,-0.04500838355505456
ITGB3BP,0.02909894219476243,0.01749128767693814,-0.0403130463022526,0.048389454171344784,0.05012752161234197,0.11094981828585884
AANAT,0.084050097362144,0.0806321760327105,-0.011812999834833162,,-0.016717003657799434,
RELN,,,0.019925119175948636,0.0005276545341387474,0.058787252858271195,-0.049431210902037226
IL15,-0.02670457774811251,0.029369243461816876,-0.03710672788489847,0.011329594112838062,0.04728837785050661,
UTS2,0.006593041441095855,,,,,
BSG,0.06154249215441229,-0.015203549300467524,-0.06393307049535583,-0.034262619123790944,-0.003367955000199279,-0.021138641902863166
ADAMTS3,0.06895096918178603,0.06252573628840882,-0.059402559795902775,-0.04947499211426556,0.10345021150438767,
CD34,-0.008740822789702335,0.012595693017749413,-0.0350686524406193,0.013784256835787666,0.003668082402606982,-0.009784775102667592
PLAT,0.05596091882305398,0.015286736310948651,-0.029477605277688335,0.045493870103820534,0.03334068679273099,-0.021661593582518537
NTF3,-0.02404253416641852,0.027953270628488788,,0.022771309319886315,,
CKLF,0.008915944634286218,0.005542832650588412,-0.0034763134220557176,0.023358238303551375,0.05684513163969145,-0.0007825318878636286
CD24,-0.01719527991564913,-0.02377578100034473,-0.05693741141901952,0.020655623488708617,-0.03615376911929728,-0.06580509812948816
HSP90AA1,-0.10128535053160471,-0.07767168776150872,-0.024260139977555852,-0.001843266033681309,-0.07479282015431332,-0.005104030293547502
BMP4,0.061850653518381066,0.0501901796805556,-0.02009895976014857,0.059657069926135835,0.05557389829736975,
SCGB3A1,0.07937190217151235,-0.03482994316087705,,-0.033149079370289464,0.0640225868052988,
IGFBP4,0.015578771894960217,-0.0002596889960759058,0.01717605139938898,0.00792279766647447,0.027672350109706825,-0.07157784414567707
RSPO4,,,,-0.005325707133831206,0.04603271468103884,
LEFTY2,0.02730064821105659,-0.03071394208206428,0.007472715556805529,0.019831257938186124,0.014944688134553628,
PF4,,-0.007804098003190972,,,-0.03254167325871084,
ANGPTL2,0.1274689437673429,-0.0084134742720961,0.017845950514696653,0.006214929442675321,0.0073841982425659715,-0.0304252391008638
LRIG2,-0.016054450214319657,-0.01929151110548248,0.0198617521325224,0.021477990470671948,-0.007689002352975143,-0.01669444302149681
