,MGH258,UKF243,UKF248,UKF251,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.004501998218132523,,,,,,,,,,,-0.022381940775717334,,,-0.03168458012226608,,
BMP1,-0.013596604996232409,0.1321166640552299,0.0617515070040548,0.03606527511286064,0.022321175562232197,0.12223126249800623,0.056708188205720954,0.006542598663745195,0.007966633258719021,-0.05819285489405093,0.015414998848983695,0.06619285695233681,-0.003313178117329768,-0.09535436461986037,0.10843428863683058,0.0551990551189428,-0.018455068250714923,0.04948785505052842,-0.040549802432649704,0.13010566641074103,0.09538157193565658,0.09075196137146907
NDP,-0.0013272412917937882,0.10003278928048569,0.045012342528562496,0.06082429420422829,0.03549103537022175,0.04575682530172287,-0.001137536487571654,-0.008831200684360906,0.0010389042242939495,-0.057136550004776646,-0.012915255220945,0.03441281801788547,0.08571955803524793,-0.04446036327167941,0.04155039005063599,0.057591027759952784,-0.027960893151693436,-0.04955944076446334,-0.045035083727555186,0.07572983592326374,0.08458401016024851,0.006616167190612945
TNFSF18,-0.028871933136394724,-0.004943599244655711,-0.018039485360209846,0.025566860370960263,,0.17359427258646848,0.07691258700750546,,,,,-0.057900575238955324,0.08478257827129573,,,,0.04447197660226095,,0.05809926272894187,0.0031052770594566645,0.01167085663024692,
IL36G,,,,,,,,,,,0.06254886539020546,,,,,,,,,,,
RTN4,-0.009493109109454294,-0.05102608128956418,-0.01725284501493034,-0.058648215984683456,0.017319490680164695,-0.16465087689795546,-0.00013383732007652682,0.01773207204485598,-0.0671854930964576,-0.07850215520458621,-0.012264282117887895,0.06804849041466521,0.059816645837803946,-0.04959873967652175,0.027462179916811033,-0.03592273414462467,-0.034276964224890454,-0.0485829039501295,-0.02528820181676797,0.032605253282320536,-0.1354366289452779,0.10108540297488236
HEBP1,0.00034685977660163037,-0.012933011910169814,0.020163851615272267,0.0265067409627586,-0.008342785325857562,0.02767970563449741,0.017003401306732738,-0.009931182581110936,0.12080003776241213,-0.06685378139178157,0.05056820502586681,0.014947266494327042,0.003951965597654066,-0.010142667680154815,-0.01691944932048159,0.021088523488687897,-0.007768534199892331,0.05982063049468296,0.0434129694037373,0.087538322526531,0.002318928198847335,0.06659753170596619
WNT7B,0.04802302517792779,-0.08085349673008171,-0.05415084577940296,-0.006238493455570136,0.024480526835616682,-0.06311925860736159,-0.035804127959725006,0.04532571126821465,,0.018183217231581925,-0.028994527544005475,-0.0016249254760270536,,0.046067878394900605,-0.02824116452587255,-0.011445153406099683,0.06869298816077965,-0.013268542545349104,-0.0535939821679804,-0.0005891528504402535,0.0034509279630235276,0.055723592883758194
PTMA,0.04221461644824279,-0.12988380533162486,0.03208314723729507,0.006244109827378928,-0.008572491546264643,-0.05399869312258683,-0.048333264814847884,0.018408695284679085,0.22318392898196313,-0.023089187921012094,0.04360452960995321,0.07832533023920075,-0.14151318091205115,0.015335611111824752,-0.070149800930447,0.03457166547886367,0.09275235077767131,0.002468604039235597,-0.025940469817246764,-0.01567013370531362,-0.006945391027507242,0.14118279171123108
FASLG,-0.025435275989556704,,,,,,,,,,,,,,,,,,,0.04863148927357883,,
CEACAM1,-0.03531710331307898,,0.12598136020978162,0.038163646740177186,0.008152256617815877,-0.003416490198561873,-0.019645278999412423,,,,,,-0.03445484743826481,-0.044360474627980685,-0.019413523248467682,-0.02026357331838616,0.04295275567236874,0.027817520551374823,,-0.0388924698741113,,
PDAP1,-0.022516620685395238,0.0650491356811529,-0.04934544627618614,0.004991692329952663,0.003971799499003253,0.09508518475874801,0.048935786714899086,0.04226964998640107,0.06206418511493313,-0.009194982073354174,-0.05320677583696659,-0.034162072950598116,0.12248832331292737,-0.02703417952626385,-0.06710982062240885,0.06367889261152171,-0.009622259143142117,0.015605881633057995,0.035930865394704053,-0.08499597692454679,-0.006575935936804114,0.04193770342099355
QDPR,-0.020308964528160344,0.04222794022859302,-0.03559975885834417,-0.01587832461712071,-0.0035956500380523813,-0.09700594205606916,-0.022368143376691775,0.005107411363541205,0.19738729721168516,0.030528581180758248,0.08767878011044937,-0.02550180836195395,0.03346820701187554,0.07560442014604805,0.07038660552632671,0.004788239951322653,0.046320677315763864,-0.021258562799459764,-0.015564942678226912,0.03233487246402682,-0.05723284410449202,0.061296645422679055
POMC,0.009261624969713745,0.07995988241130411,0.05070257954068045,-0.022796326900658945,0.04511307353736997,-0.05214296576713347,0.004904168439514877,-0.009101972750695547,0.08457521994908544,0.035472373125529075,-0.024761316363213506,0.0300597346956145,-0.0011994367448994558,-0.0683386912113521,0.004743112648492646,-0.012889150766623484,0.040924226674013416,-0.011220486196640922,,0.010930954802501645,-0.06096303747824373,0.04604683911609183
CCL18,,-0.01999029005383002,-0.02906277837914038,,,,,,0.058325295377497664,-0.0062188767731722544,,,,0.1116775466701576,-0.008798006269540196,0.04727201625871846,,0.023250276974499717,,,,
CCL17,,,,,,,-0.015578638965456745,-0.01475808570832025,,,-0.02409876878067946,,,,0.01476044298852736,-0.02925174022075199,0.030433704306304873,,,-0.02570912086568968,,
