,UKF251,UKF259,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1
DCN,0.037738933863422135,-0.025738907839763535,-0.003118438740592934,-0.06981954532908625,0.029589480876138545,0.032739893438421125,0.0013109146548480677,0.01128539338252789
RARRES2,-0.026306146328931853,-0.0039790619701374,0.014744078040424338,-0.022378141607956117,0.050018278003425155,0.0019771106521445955,-0.038776235660938456,-0.018615955673204797
SEMA4A,-0.016594968078377733,-0.006775047164106895,-0.046762951790063005,-0.01679770744839901,-0.04752403166205878,0.05840485543492161,0.012863883447572461,-2.955491605034236e-05
GDF11,-0.02210251000658992,-0.028497308630345063,0.06524423340827934,0.015893505630485992,0.03425367574520683,-0.041619763158074585,-0.013323114007769228,0.002034634263073169
GPC3,-0.016240735586541395,-0.014968884921682862,-0.022341789047200775,0.062304828135557246,-0.030603805186903192,-0.027022109874422325,0.010291927043757532,0.03454850576327788
OSTN,,-0.004596977021938723,,,,,,
GRN,-0.04717850854866278,0.00974749213303191,0.046212763592615565,0.02125768993821196,-0.007309835407139626,0.09478109628093292,0.043522265926505516,-0.021941739843702762
CALM1,0.04746806613683028,-0.0004584968067857401,0.031342570544455294,0.020891201907222472,-0.028500710177344735,0.0464484472257978,-0.042422844085331986,0.04820656550355534
ANGPTL4,-0.020919864403715217,-0.07459849020258863,0.04946618537458182,0.02182007332554068,-0.022220310249367506,0.016753163347556728,-0.027136393708493137,0.021560159005391915
BMP8B,-0.016436018051734017,0.06163925101894402,0.05738689914366538,-0.0054867002877131,0.0032662213986642164,-0.048428805301283386,0.05236851760114239,-0.06379286595083701
TNFSF4,-0.016638033456865795,-0.022995799083343333,0.063021089387854,-0.044127345611589354,-0.08082695884923162,-0.02136889166786997,-0.026919267848901793,-0.010838341562184692
RBP4,0.04449046249549644,-0.019083679692114622,0.10271275594411809,-0.022681071080292485,,0.011316545031221453,0.0383195487681063,0.020999672493897177
DKK3,0.04789301432322267,-0.019911665841086335,0.0769639797188924,0.018652095396444388,-0.04960742822152382,-0.06355034081149784,0.0384283806773877,0.0010051662259523266
COL11A1,-0.01449945247337179,0.010318773002357739,-0.024125501712206305,0.05761878958907091,,0.005690589945437884,-0.004042228771810662,-0.08330473429993772
COL5A1,-0.010741893138777155,-0.027798698426780562,-0.04288871874898559,0.07941243160622179,0.012318280851825078,0.0809872003252557,0.022234663078006436,-0.04042472807374713
KISS1,-0.02622793789079277,-0.01506092617007986,,,,,0.08045950053849649,0.0144988644523115
MEGF10,0.00979205726339153,0.02516126668034909,0.052499145062655524,-0.02457833725476894,0.0312471883468081,-0.018382591195104624,0.05618385449676633,-0.011396332383041307
CEACAM1,-0.011338930248084217,0.1394405235716221,,,0.09181144775775979,-0.03240280687651467,-0.016268862837094566,-0.016688751976690185
EFEMP2,0.02159759706072091,0.010202348271702435,0.06531587328955264,0.038326941543747425,-0.030198854646774874,-0.016501407119456874,0.011269833174950795,-0.002240605680492754
IGF1,-0.0201628876556413,0.0019480145759319322,-0.07077247251734961,-0.0410680414128713,0.07278298963263424,0.09250793992367083,0.03422551119844865,-0.010857605943738717
