,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.09416949277517578,0.14484933868789823,0.026770134234835243,-0.003701277765515479,-0.02195575729124558,0.12967030364642784,-0.023340830606047885,0.01190036096223704,0.08294999532111708,0.043482481601025656,0.11490885585184644,0.12576276279745294,0.022525128560791672,0.14100139520743565,0.0943035874840028,0.10233867769425455,0.10040753879491898,0.028787762093503935,0.10372577190452127,0.013976498884598934,-0.0385926094494191
RARRES2,0.0353746052439866,-0.05015433320864845,0.02255895540092925,0.004251314215063632,-0.03467247500643456,0.0642490236210314,0.17529768041480767,0.052524030205294996,0.07586455259561427,0.15475400572680414,-0.05020479752755993,0.020623520542474932,0.026350086379613977,-0.03694629098269106,-0.0226358986276804,0.033858785307661884,-0.035300315861386745,0.07541790162493771,0.06165063915576191,0.07280733832267267,0.11236258572189048
SEMA4A,0.05543336953551428,0.004315657288113015,0.007080853979550256,0.018213407588050793,0.05890598463924457,0.03563777776988009,0.013539371007972296,0.008279247136970987,-0.05482627829143564,0.014718388725575113,0.11919769427810806,0.0029594101463778382,-0.06465229629738405,0.10991263491934249,0.09161879449099669,0.09319525217623928,-0.06569169308904302,0.019912778626556896,0.09711914478208827,0.06431015707720099,0.023866947699103823
GDF11,0.05262885179721042,0.020470008411979868,-0.016700850213788955,-0.01968438923578292,-0.04209892136180589,0.052800802331274585,0.0005262481567032195,0.03119029152880465,0.09770347148415803,-0.00022721497802764083,-0.04354265725304331,0.09542146417043033,-0.008903381798961647,0.01872396329184615,0.03967109566753489,0.03436793433480811,0.004823464356143791,-0.039125698013344895,0.0772417763767962,-0.025268320715342744,0.09960470183893548
GPC3,0.0007947815007221131,0.08595922432457893,-0.018936671723163604,0.008955245824292652,-0.03478249676517099,0.052918766635256374,0.023696444223512567,0.025057275688127954,-0.036627556553672745,-0.045840408385341744,,0.07716619951913152,-0.026913055012349425,0.13935853961110375,0.09374527653370547,0.14218992378451994,0.05868353400483831,0.043382903342211586,0.09078114253523262,0.05838464832577824,
OSTN,,,,0.08953340610248216,,-0.025163366527054105,-0.03067007301918506,0.011852541900590919,,,,,,,,,0.07023211449167659,,,0.012938294776724773,
GRN,0.1263465931487413,0.15548354928319078,0.00680150046926247,0.00930147207741206,-0.012061080986451776,0.03997592651362754,-0.04099262079836183,-0.011174540270804084,0.05745368874038468,0.03112912414915353,0.02293432550766707,0.022301464932539736,0.06793866813862705,0.2232531072609865,0.07257810250277351,0.03425623744179081,0.0182518892633985,-0.025516671334359427,0.1964567611025036,0.06005970615116363,-0.09826914128311318
CALM1,-0.11937237602670507,-0.049186705079891355,0.0003697311402125885,-0.0202177184200766,0.06699371823105463,-0.07696868812888086,0.05919040269167651,0.022954758244121312,-0.061843930166317784,0.06231048429779202,0.13402859283553814,0.07420836203532012,0.012965688946425859,0.007757362470401666,0.0603524934770688,0.09765526121996893,0.06480222464713119,0.021384466108452377,0.0007737667876645547,-0.009653016085416506,0.08896515724721932
ANGPTL4,0.14590561610429337,0.010983272013071166,-0.01563521764580843,-0.0032738646995782313,-0.03138152548289731,0.12383956079975049,0.07827061840471634,0.00659124912594608,0.043966072577907446,-0.017777298368503634,-0.03670693509948048,-0.016360539360891893,-0.10498204857967153,0.100194064995214,-0.14361071171039733,-0.11863242215211885,-0.04438869278352879,0.06703183088347603,0.17643441757544961,0.02163244521108063,0.05449031514935937
BMP8B,0.12092926960330856,0.03326618413619516,-0.03331515280638125,-0.01983965987183343,0.005611499345406558,0.028420985360585006,-0.001562217302628009,-0.028466305304381316,0.08429058672797989,0.06002776695347172,0.029786279099071274,0.08320216018007469,0.013934083296453712,0.06647126189938529,0.04633687114069991,0.017292679308703093,0.05193940442936594,0.018762877547501923,0.2161444992455962,0.05549244265588098,0.08833390309508095
TNFSF4,0.059346116252547904,0.05137200871852826,-0.0027546480529943317,-0.021405040360029146,0.04983690829716142,-0.01711152959754045,0.04309666761282692,0.020953286909087526,-0.037180766221247025,0.008037989979118289,-0.029253738993591953,0.1015604105077373,0.08566912562925819,0.11924483700469682,0.11164536395032494,0.019248155774989638,-0.03708983853686575,0.07676378698694956,0.14272288597354116,0.07458918987995579,0.04574244156877484
RBP4,0.004746165563339293,-0.055181785714875684,-0.03382782521996836,0.11322358202981651,0.05462598769894135,-0.06387573562096083,0.15418596303582832,0.012401160944500101,0.04520942978756869,-0.02542093139443034,0.13313796144271645,0.05816779747770358,,-0.07202824125033888,0.2210825321310551,0.19895667612622042,0.1552129112594823,0.1756796478814437,0.028968699274109878,0.056163902610085074,-0.06444721495074107
DKK3,-0.04522281547566555,-0.04176856795950421,0.07541483548996239,0.010544201342635815,0.027885613363568474,-0.030125716130525185,0.15023695405212306,-0.07119916606164678,-0.10141520589716341,0.12232262729240281,0.12079580362392765,0.09911559191056002,0.047368938379251324,0.10810124675297324,0.15637758594122056,0.0705788395340261,0.058098290795568254,-0.04487636189635439,0.07238616720364321,-0.037112676785997806,-0.07502308027863198
