,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07763200669234002,,,,,,,,
BMP1,0.04938430377454595,8.766164982952724e-05,-0.020478759238673667,-0.02550064671981107,0.05559651917765501,0.013687593451803955,-0.14236851254236776,-0.16775753245576552,-0.49815987102917103,-0.09474888055981211,-0.03735707852894056,-0.19017991323608943,-0.31537203359293814,-0.10878560178289431,0.015779213628685878,-0.08036188245928917,-0.12324631797417429
NDP,0.04769458137552888,-0.07551521909648969,0.0435224260808749,-0.025994498472132633,0.05703307171188349,-0.006386100124902292,0.1650558123351678,0.008311067620523908,-0.11716284622217278,0.07914510123737298,-0.023087347692024744,-0.07972592134256784,-0.03674228194209485,0.11147426221810615,-0.023584508507504872,0.0652634967110867,0.020131273199245656
TNFSF18,-0.018998240692298884,-0.043569502429860546,0.06526468742350963,-0.036834477185470865,,,,-0.0042857239798992355,-0.09503550367201578,-0.00021692740618632286,,,,,-0.011639441171261797,-0.10036265829103377,
IL36G,,,,,,,,,,,,,-0.028086695473215705,,,,
RTN4,-0.0012749611568269223,0.3028145625005708,0.15908323494940083,0.018062109109890083,-0.020391129501269693,0.039127105106293435,0.2612377223765513,0.46942051457948775,0.6359631044223436,0.18255629076505808,0.21100988171778182,0.5455076774323052,0.4855728990560059,-0.027197659409823854,0.07383570501626126,0.4713989733207059,0.11615237754431881
HEBP1,0.045656455783283804,-0.14754476132168645,0.016281549197311167,0.08332498096653423,-0.06554425178390993,-0.03367034748761383,-0.027872296258357184,-0.10363289608919662,-0.17481583424243843,0.011635428935536237,0.03160515513662282,-0.17662389817845947,-0.022287591159597688,-0.009795977869963446,-0.020025854050515213,-0.04229135120219066,-0.114456280745872
WNT7B,0.03953248266290548,0.431148185643465,0.0907353674461915,0.002712891962731098,0.013242036042299123,0.02641673542360832,0.11031811646449326,0.12152098977095095,0.43997189581070417,0.063333544735346,0.08473170241449464,,0.15395575832770392,-0.011946745636770851,-0.005606428383552722,0.05469469956090485,0.11164485669549375
PTMA,-0.06083863371133644,-0.033589856477476115,-0.007546132259952429,0.01610069457861966,0.0720241509569443,-0.01396942259583268,-0.1576357611489361,-0.42880844614106645,0.09968476762818015,0.1556385892469529,-0.18065066040403457,-0.6104348446087908,-0.5061901293521704,-0.1337805250830239,0.03298476574176933,-0.17807182727308976,-0.1546858792832229
FASLG,-0.016736859739935998,,,,,,,,,,,,,,,,
CEACAM1,0.059964634414469926,,-0.022504298786581483,-0.02672252467440176,,0.034098252819764314,-0.04475794915736843,,-0.11457999863377276,-0.03759204282293923,,,,-0.01762728167945008,,,
PDAP1,0.0494504596996253,-0.12569741068412318,0.05265589532027967,-0.028310016541952594,-0.02500243176384962,-0.017794833861705682,-0.13056613190037997,-0.17591523438935922,-0.3738423104314061,0.013363174388131772,-0.04513311865438719,-0.01977807176354431,-0.23295679158477567,-0.07807689502687369,-0.07468359203725662,-0.07715197803136674,-0.03008803998120314
QDPR,-0.05472535907314892,0.17780241898582586,0.103781444760818,0.07802121875806949,0.05748427327854095,0.06997501160674945,0.26290308177257177,0.11674776302515691,0.14615426690371977,0.15987453883135808,0.05408644845398871,-0.40258590267542527,0.09430361339345217,0.12758886315860923,-0.08176082256409431,0.37830314195252285,-0.0910821846156214
POMC,-0.008350072123412012,0.27982212587884403,0.026394860936626522,0.040001193495744616,,0.059087411622593254,0.1419492716236473,0.0463560491131224,0.04371403199890548,-0.009157805694367438,-0.021272505372134473,-0.05850768259128912,0.13278797099579812,0.02357819449375334,,0.059965809951583855,0.00012821906780644332
CCL18,,-0.001242177955150827,-0.00808926085339678,,,,,,,,,-0.15836604109795777,,0.000962129158029518,,,
CCL17,,,,,,-0.04647397969780043,,,,-0.029915258904627543,0.01491805891800587,,-0.0006182174221467323,,,,
VEGFD,,-0.016402006863656077,0.01430931472030791,-0.029291952670300846,,0.054705854263073055,0.007891258686697664,,-0.13005443551140258,0.02034134298165478,0.00470017437680623,0.06723693287089168,0.011352961632161101,,,,
TNFSF13,,,0.00013972341667946333,,,0.01593254843434634,,0.03942761410517075,,,,,,-0.019794255900914694,,0.02728421400602799,
WNT5A,0.008556842866885205,-0.12121320234613406,-0.0013317057412473852,0.028325387288180705,-0.0020123127126964926,0.05470216359885523,-0.12622494996907394,-0.2873606288611224,-0.41541462870385887,-0.0323001937971022,-0.10801736179160151,0.06211579554169063,-0.11108966599797643,-0.0752251993449857,0.08997269867502856,-0.16744596784775517,0.025800848220818913
CXCL8,,-0.19088699754725744,0.0316562774259386,0.02018591659507365,-0.045085627871541335,-0.09034580881220493,-0.1798524595449606,-0.04928431405103002,-0.16859969635017136,-0.11316375080490589,-0.01741567348357761,-0.17302362968773533,-0.11967416905441047,0.018687217215338725,0.13572307426152067,-0.25291783002650364,0.010682658901494705
GRN,-0.08610779012554534,-0.20072585381612765,-0.06995497592366981,0.025805837979328228,0.03642424054280842,0.031628407766406415,-0.1300049866149014,-0.20267010198196492,-0.5023328515033895,-0.04447251858176155,-0.023046793392309816,-0.36171550001182967,0.06513621200273424,-0.007099107740513698,-0.04062319124775431,0.15713617640638813,-0.058025017509593955
MIA,-0.021907105809382935,-0.024751275404315383,-0.010999269930139704,0.022262505915734074,0.057128711446187606,0.0361422735969512,-0.09542309678751096,-0.061355058989663515,-0.18170743190374514,-0.049701854191236815,-0.05875910303608449,,-0.04707635988772507,-0.12428195001547723,,-0.09102658496628038,
