,MGH258,UKF243,UKF259,UKF260,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.013977907933928923,,,,,,,,-0.0017683612835506014,,0.14331164480498373,,
BMP1,0.02024251849749855,0.09732395358173128,0.016267236886749803,-0.013052668121620323,0.07972511977233783,0.024955382330978052,0.060073997564704114,9.321017003600663e-05,-0.015661351854997823,0.06204923850875844,0.02182716173351057,-0.04402114473011001,0.057983572010961784,0.010611815543940526,0.07841147117895214,0.04928657925399039,-0.08741944800061494
NDP,-0.012489375788362093,-0.00726434711308823,-0.019244825657075717,0.03113892421377076,-0.0003999889927491861,0.01862228321265886,-0.04260822807212194,0.01879284534657427,-0.07962740820382763,0.046579772821977554,0.0132998516256236,0.0791275826499805,0.05379955595974721,0.0022814607677954465,0.1602351073289925,0.0791483732080932,0.019040805542630476
TNFSF18,0.05361870066300711,0.05457002667320878,,,0.05705384735962686,,0.00711263505949854,,-0.04751429902759523,,,,-0.033921775565978224,,-0.0037784739557517395,0.035874744970352125,
IL36G,,,,,,0.03241671314923911,,,,,,,,,,,
RTN4,-0.003518739917273861,0.12319429806352726,-0.03385526898364072,0.0738246133129492,-0.10982113527286048,-0.01775900028152104,-0.08144196824934236,0.027289174345293554,0.03584241736439341,-0.017356279924478794,0.03066267090149783,-0.0728463246143913,-0.046509166823237975,0.02124439332207987,0.0022648228214232485,-0.08202635880449499,-0.01755901936485559
HEBP1,0.016081983511547646,0.007418984213752807,-0.0021655769391764473,0.055613682449442765,0.06469874291136911,0.018816379089712298,-0.04899419224948901,-0.132036310197676,0.007881899229939399,0.021144447158850627,0.041819115317498844,0.07614166570588818,0.03183088622388628,0.020484600468805108,0.12588557192862324,0.09060764406548878,0.02631438816758137
WNT7B,-0.028212734780258694,0.12337307183464505,0.059725739523417,0.005683671393002732,-0.04418394986758933,-0.015758315419009003,-0.03891971647192988,-0.0073589812105498064,,-0.04777255352085901,0.028888018524949814,0.048881071327590696,0.009549500745200317,-0.022261845105678853,0.020652096090108474,0.050695396961292084,0.1720071715117235
PTMA,-0.03330181059587962,-0.09123302356149492,-0.017370528311072782,-0.037782365516273474,-0.035178747391596044,-0.06073454536964522,0.028153052098243803,-0.13496219093203912,0.11472151349926854,-0.08957016908585994,-0.032520902158481434,-0.06435232453009695,-0.04226343579879611,0.011142665757320305,-0.05336528710761707,0.021397150534416955,-0.013878892827934405
FASLG,0.020582199340016503,,,,,,,,,,,,,,0.022927051654956725,,
CEACAM1,0.009509628701099887,,-0.022148259812516048,-0.02178702445270171,-0.012678417282510894,,,0.045335536104814715,-0.0682242840634119,0.1607434343211215,0.0187720623695056,-0.03342269170455753,-0.016962788623927246,-0.02766142163644012,0.05305609510777542,,
PDAP1,0.0980557028633188,0.04885281434675528,0.0574934599029229,-0.05188226856698366,0.08778599118042633,-0.0006777244793598802,-0.012262470580660729,-0.05132598221555907,0.09356766916619907,0.004391951489137622,-0.020186922757605832,-0.006043129032796841,0.007134026427537412,-0.01218697952915853,0.0008658263710496421,-0.0477484789217388,-0.040991346926988644
