,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.018698757749628227,0.15680625738279466,-0.03973251833538816,-0.004342737129362283,0.03285763342054435,-0.03689381855673402,0.1892847890498988,0.015410182435683312,-0.0186935093334042,-0.03940800175099093,-0.05088565306297872,0.038335814523883315,0.019707851400641522,0.0004172258217393186,0.06822870204857727,0.04251133003609766,0.039545929534876983,-0.07536032780996944,-0.028675415087514457
RARRES2,0.06629787321168962,0.00026648001553449403,0.003745573908630479,0.08632276825024945,0.02263795951853916,0.04966903310797297,0.18371020497016932,0.06841038557831695,-0.012810083113589704,-0.004889000413490601,-0.04948260045813886,0.030330972925829106,0.1078522032276464,-0.028791414058858218,-0.006297998230101091,-0.00769737007711607,0.020912047688749043,0.06501065416445215,0.034539078821831354
SEMA4A,-0.03486678873797069,0.05092697119754515,0.09667981520024879,-0.0421671857093452,0.00785111044351884,0.05590874980283463,-0.08019706809065524,-0.011245878875771883,-0.04504624008663177,-0.008358456069722624,-0.019757576365456227,-0.00774770911358247,-0.02613170698829312,-0.034061281166925306,-0.014986493996465922,0.06387294136877605,0.08505500011436364,0.03194390374029163,-0.050673910119127336
GDF11,0.02667293264514365,0.0502374742921763,-0.03448317426224348,-0.006465046278861585,0.0039061945194772173,-0.04107924587188482,0.16447410567135795,-0.0067846114548234995,0.030225342863565506,0.06361260240441366,0.04420153504296183,-0.08927141309629076,0.04055805997306826,-0.035659449423052623,0.03776069393255814,-0.018219248263433192,-0.003414193264953487,-0.01118371795499457,0.02138896345658192
GPC3,0.03642386661493978,0.14974528768868933,-0.010330990045773437,-0.004194285450354396,0.08720774591301601,-0.00038071416638723644,-0.018413945024928838,-0.021084829458827403,0.005056440786878334,0.020559639109506853,-0.039264397182908174,-0.021619381680423978,0.002570306290556056,0.08617637535870878,0.1360432845842026,-0.024696926636590316,0.05573424759223392,-0.034081752168887466,0.02682832138971652
OSTN,,,,0.11300611576876206,-0.02974691256360675,,-0.04333734392235814,-0.042746322604944306,0.0004162744947576587,,,,,,,-0.019813003336451133,,,-0.027834329327953485
GRN,-0.0841342981791795,-0.022707717552865145,-0.0713273541927706,0.01176297930139982,0.044494192557388776,-0.01098429049781766,0.20040795989854465,0.006122243042860045,0.024028647504146655,-0.057879226257076484,-0.01898933311873997,0.03405025379997774,-0.006516865545847191,-0.04077784510826915,0.035393442471448634,0.02167561255645669,0.019575547189617768,-0.0775694607406361,-0.020011740687608977
CALM1,-0.013711828854172018,0.16166972958670758,0.09510781585218604,0.024704610860114842,0.000667628293869568,0.09017086889578932,-0.2262109441877496,-0.054307274770463224,0.043609704801611505,0.017446630184672355,0.12596358525278,-0.029719322707173798,-0.01807573933089023,0.020795774810317507,0.06944811419827973,-0.10816670681741142,0.0665222038521416,0.12881635799560542,-0.08800949603478105
ANGPTL4,0.0034729412598833343,-0.20179244495523146,-0.03482175199394521,-0.022323014034794364,-0.06698701585933624,-0.01256123018738583,0.005264628997417477,-0.045476534374926346,-0.014444798509251245,0.02508576322276711,0.05833290025327504,0.11450612675143086,0.20552183478805605,-0.0497966405067245,-0.11026777461304446,-0.04203374756190914,0.02493742576488571,-0.19378717590420513,0.01636549529673504
BMP8B,0.020320797195695555,0.021064580399292866,0.023429416624320798,-0.0221062060925018,0.030566656734538754,0.038282911801487525,0.02294925753575347,-0.024152598422584666,0.05287452937495113,-0.02458663225843214,-0.012063370696253288,-0.0015515959493779157,0.022347947875948848,-0.030935350319014298,0.04161152192644611,0.011558407193346111,-0.022939500282886327,-0.09561259934227952,-0.028652688155270025
