,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.023790971073847426,,,,,,,,,,,,0.074591251248172,
BMP1,0.06022394710247429,-0.02764982639722391,0.031529385196940894,0.0012719673188949757,0.0005931809090198837,0.07456997772997664,0.07051995422602791,0.009466627587275428,-0.04635676840471682,-0.07523995616482886,0.16894213959456314,0.0342071931665028,0.04868728938975294,0.0848073188080599,-0.011578811666409294,-0.019523607329299628,-0.014708906350855738,-0.02881638244556237,0.041802866712572107,0.12964449430779937
NDP,0.0861805740708144,-0.0452802171390242,-0.07475795145131606,0.004546545568290048,-0.023083186935951516,-0.03858288762003902,0.028410176355091705,-0.07707029566170376,0.021775291251147126,-0.020901555512655583,0.05386280650086575,-0.001711223367472734,-0.008080691985433588,-0.07192722531608724,-0.08760951324466379,0.056188770452545514,0.08806905144194574,0.014750894251990386,0.06608445882891598,0.12368501571959017
TNFSF18,0.005098028826109925,-0.028891531617237672,,,,-0.0225051041295685,0.05384690662043961,0.06082609527889764,,,,,0.03478962715329796,,,,,,0.015049380266357264,0.014939486383034236
IL36G,,,,,,,,,,,,-0.03369772426245041,,,,,,,,
RTN4,0.0747648611681362,-0.02193946795444966,-0.010880060820163741,-0.0014451794022771237,0.01807462665015977,-0.1328548363624989,-0.060858283570736686,0.03894791269502723,0.03863808203009076,0.15734831155073628,-0.030720525042015764,-0.04005537356521063,-0.02621843665586357,-0.13355473770172574,-0.007054725624191686,0.08782550461132049,-0.08181771627451347,0.16508985836119347,0.008291366237383713,-0.11652014231445529
HEBP1,-0.035018460171556985,-0.004172964644187668,-0.01774438927945488,-0.004371854699503902,-0.021832390999243962,0.07699474508585803,0.009615577077371365,-0.00011528894913619143,0.02165610188589728,-0.07025389293101927,-0.008886771504442295,0.02121530777400853,0.0017993461249479605,-0.119497679869818,-0.03873789636900227,0.10298392943928777,0.10598369566906174,0.0038655106249316663,0.07438664752185316,0.08090890962163784
WNT7B,0.0042133498697100496,-0.015037540517627304,0.015983412356869835,0.06528371614818954,0.006280301665012565,-0.02028474482586804,-0.060738690022130275,0.008772868327055799,0.0438789060181513,,0.07344155078054229,-0.00013780971360931126,0.09135346169020203,-0.07511156395508475,-0.03318912669573305,0.00038782629697444994,0.026925377312258317,-0.03254625784216932,0.06894332729887445,0.041700720352376416
PTMA,-0.12639460381938167,-0.03563913158013251,0.04926186480518901,-0.0014669998874890266,0.023829175563555974,0.18843589657761667,-0.11568914913305726,-0.01595902682427049,-0.018974231506136363,-0.13763653389129965,0.20475809708472925,0.07796672504247708,0.03598887343521855,0.03703486566689681,0.06745120559049063,-0.0958931605088347,-0.0350632558216895,-0.028624485468492406,-0.06209212174731298,-0.008552707401921057
FASLG,,,,,,,,,,,,,,,,,,,0.008969443637312594,
CEACAM1,,-0.03064816974149148,,-0.037882273169771524,-0.023654893693143185,,-0.029803353548087014,0.021428811341160616,,,,,,0.06264151208025759,-0.029764540422533146,0.027612689278088246,0.028897363787522615,-0.04847099998787018,0.005824649872770929,
PDAP1,0.02433922565978617,-0.03309050165501956,0.04855432760140417,-0.03736976215164748,0.04540390646351242,0.09226976277554225,0.021517741923569866,-0.007262111295406036,-0.006166073503015691,0.004819123338866271,0.17569254195441567,0.012658409236201623,0.056218129402210625,0.014693911531172034,0.0838949106400435,-0.08619071469112978,0.009034172353499521,0.05957604411156598,0.0026382345953776497,0.009344551591325266
