,ZH1007nec,ZH916inf
BMP1,-0.0033579712124365917,0.009200188854663175
NDP,0.026589064792728673,-0.04444485107539184
RTN4,-0.09139687001445168,0.07914304557371994
HEBP1,-0.034466772623062684,-0.07309505033993144
WNT7B,-0.06496684249461777,0.09332183685081674
PTMA,-0.029157229248469082,-0.09613016627507395
CEACAM1,-0.0018855913590122408,
PDAP1,0.03997407405262889,-0.05534445731532711
QDPR,0.08247239314974922,-0.08847679802517885
POMC,-0.004451715894911967,0.08039325371283629
CCL18,-0.041947767171034864,
VEGFD,0.042995684156304385,
WNT5A,0.007442531025721224,-0.04814370694257911
CXCL8,-0.02196557792634552,0.09275959196574665
GRN,-0.034548393763640696,0.003752609965282376
MIA,-0.0709831537065004,
TAC1,,0.038489325263090235
RARRES2,-0.03491040004446012,-0.0510384969815471
FGF7,0.032276015837444216,0.1239210173684572
HBEGF,-0.006670103332561564,0.02665805635390242
PI3,-0.06714740911160533,
PCSK1N,-0.07161657976934477,0.08974740811875986
SFRP1,0.10006959513950284,-0.010729604268452653
MICA,-0.050867982407538204,0.011675304353000925
TG,0.16548895229145794,
ADA,0.024766019282721822,0.14491133548388693
LAMC3,0.04822430182552172,0.03338410608556918
HMGB1,-0.027072269337126014,-0.024542896099690233
ITGB3BP,-0.007074692660229399,0.10484535349689147
AANAT,0.16568435948056717,
RELN,,-0.08374764316859981
IL15,0.014398654325985912,
UTS2,0.1054185809263741,
BSG,-0.05020006587929766,-0.0676458079576618
ADAMTS3,-0.07373328411109702,
CD34,0.0066560103699805605,-0.005928707417063815
PLAT,0.013874828742577136,0.09309685091959706
CKLF,0.06711945975999718,-0.050868790234345165
CD24,-0.08093737587882475,0.04838283431276761
HSP90AA1,-0.11331976115457425,0.12702503277676852
BMP4,0.006817953027854129,
SCGB3A1,-0.04725880275702211,
IGFBP4,-0.008625077056872878,0.09925153939299393
LEFTY2,0.05432698711926933,
ANGPTL2,0.14881419909700028,-0.015716916618307014
LRIG2,0.02090747505817084,0.04745120384986825
ICOSLG,0.027496304113263585,0.05983973527708238
WIF1,,0.04045975139215798
NPPC,-0.05903953110898108,0.009509516382132889
LYZ,-0.07826520938690575,-0.051620314189802854
SPTAN1,0.0033378082429888598,0.15410927381652545
LIPC,0.06000492763493597,
COL8A1,0.08555540079042283,
GSTM2,0.13543700611603735,
IL4,-0.04068846715565942,
SPX,,-0.04986055531645818
MFGE8,0.004999186158200114,0.13928288989404025
TGFA,-0.07974664048084916,0.036785129226310095
SLIT2,0.011536893413055721,0.05608066973816035
PLTP,-0.0034146380767245826,-0.08105371342607882
APOD,-0.049509599607779446,-0.0804605007850549
B2M,0.033736725829988955,-0.09016209826957561
OMG,0.12677148812779512,-0.12863953769731884
CXCL3,0.01131025950418395,
CXCL10,0.07579015837496428,
RSPO3,,0.14202551215480985
CORT,,0.08900545409354803
NCAN,0.046261250340581574,-0.029826729263141193
TGM2,-0.040112186719796133,0.11331337032974705
VEGFC,0.11620846417613455,
WNT6,0.03709545832900665,
COL9A1,0.08505834769433765,-0.04448675617664706
GDF11,-0.012320499411256167,-0.0006581215833114159
SORBS1,0.03474228708877204,-0.01778946464178131
DLL1,0.05068788360205299,-0.04025584687716029
TLN1,0.01353671184631533,-0.035701913185478364
