,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.004762959827884719,,,,,,,,,,,-0.019505707669429693,,0.050321289065971546,,
BMP1,0.05115895369969236,0.016276443719198435,-0.02716363938423481,0.05068294903646364,-0.08522926163237683,-0.0029053617843132506,0.0040192415857350505,0.11291517181076911,0.015168303962097996,0.04003765318718856,-0.058254015356589514,0.05605141884669434,0.031016400915961587,0.034354543168762824,-0.06504708606432362,-0.018493366257091706,0.011235608973676233,-0.009052771427628111,0.034263126334205016,0.03174989644240647,-0.005204105221908788,0.014354293585065087,0.026531822781365157
NDP,-0.05932206975442186,0.03831713480320088,-0.04982587002870829,0.04070931122761532,-0.008260697669054734,-0.005424903029300313,-0.005619780201187938,-0.006884945545330022,0.005142343434595437,0.059257404460795665,-0.0076275592386928805,-0.036393122359871515,-0.020574237739316187,0.030540776063647735,0.0935448731378278,-0.057019965993908725,-0.007086881843888475,0.06748128017628115,0.03400374523435639,0.023598605572476054,0.11026275172737107,-0.053788433900905736,-0.007287313865713762
TNFSF18,-0.041258523268105786,0.004575528192528998,-0.007029093157380588,,,,-0.004821777547236715,0.06222056617293958,-0.026975640785452462,,,,,-0.02450777844716978,,-0.05453159112795219,,,0.10858118616916747,,-0.013455872156336195,-0.05008196837111624,
IL36G,,,,,,,,,,,,,0.025224643189938677,,,,,,,,,,
RTN4,0.11398614870127564,0.04247693004165506,0.03898779592502424,0.0497905575800084,-0.02418673435918185,0.06210677306381623,-0.07049430383239504,-0.08961895570208325,-0.03720794878578906,-0.07780237467476706,0.14874894680944264,-0.01238485558252806,-0.07840039959804065,-0.009766014618540812,-0.014198361147090055,0.102187781263679,-0.07595830925431789,-0.05249550680213145,-0.00920454259840016,0.012411611189221487,-0.02005110551327504,0.023554621757189507,0.006025503232050944
HEBP1,-0.030714595463447597,-0.050695687978233775,-0.006518167452218902,-0.026899608246175218,0.024061406959670958,0.04360772911057139,0.06444948851058008,0.06424190363270933,0.025131187833581765,0.03375555360593959,-0.052773266431174165,-0.01183809014409972,-0.051528612273476465,-0.004988874827900148,-0.09485254325236554,-0.04830596143235996,0.03594282946297711,0.0055571934038565,-0.04805307853622452,0.005291787655825616,0.07297688481951856,0.005295401513682925,0.02891414281627467
WNT7B,0.08953830991088309,-0.01268893822373036,-0.02452604844005138,-0.07136616967925499,0.037816052466559905,0.002832916460659967,0.02800884559370372,0.024221112510864937,-0.020969549686426423,-0.015391023728211349,,0.02479107902090503,-0.03490623390859809,-0.0002466462443147413,-0.06187848841480831,,-0.024670399665106955,-0.02878258402079927,0.005435548859250411,0.02783951935006659,0.04571906961386402,0.008762088840419029,-0.04563276770036825
PTMA,-0.014905881741110082,-0.013847367656222905,-0.0220000237977079,0.019309168821714306,0.027006847102715045,-0.004152827546306107,0.11285067124530368,-0.06491723003167069,-0.02270767797064938,-0.0007730000840080799,-0.17115997805283942,0.15813578173455353,0.13195943024685658,-0.003411096673235338,0.032581913782792085,0.02130326522243862,0.033087454221479976,-0.004549489009036011,-0.014804937237216962,-0.0022405816588270027,-0.09581235133642962,0.059348764512415206,0.061435246548017214
FASLG,,,,,,,,,,,,,,,,,,,,,0.005479313675799623,,
CEACAM1,,0.061542009163267956,-0.001126264491676429,,0.07599942724833313,0.017101395099881053,,0.07447922916119304,-0.015596376151512917,,,,,,0.04252344137102414,-0.01410633041215024,-0.0442795871159244,0.027782367919712996,0.006067267639034655,0.015774338762809457,0.1354018050219098,,
