,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.016649266569676732,,,,,,,,,,
BMP1,0.019877705330788115,0.009304227468652521,-0.004779324325584728,0.016539172718140944,-0.01791437814233635,0.008491320583247745,-0.014121555704863136,-0.02802459556921464,0.011664519579755644,-0.0251538128743615,0.05749334095791733,-0.013760573698754327,0.035615374547687595,-0.023730015533930778
NDP,-0.04001763941352581,-0.03290099017415722,0.013997534644613148,0.04996984920994804,-0.014119150108532152,0.011717071801879276,0.02343901060601178,0.022149536638860746,0.034077984516501486,0.12384445012823571,0.04855689406832127,-0.07235389306672184,-0.05323622284835594,-0.006392630204382737
TNFSF18,-0.032646308033518055,,-0.01429293685721521,-0.024723661031290818,-0.015882540336385146,,,,-0.059144579021625336,,,,,-0.03739983511344565
IL36G,,,,,,,,-0.015968597474712874,,,,,,
RTN4,0.05061868932433789,0.0040520033579011724,0.03825249642982633,0.026106348166368178,-0.05949411742614426,0.008526805673829536,0.12878771431786074,-0.023307424294746658,0.09903201137811667,-0.09699270611585192,0.028152420545907466,0.0538511870529283,0.03289899530106417,0.06547996584581202
HEBP1,0.04008796020879943,-0.0006547624770073363,-0.03650633061978244,-0.038804012108396554,0.01030329831794276,0.0031679107033566302,-0.014167293381108845,-0.026734055299458513,0.04312463375250128,0.06190307806678512,0.00468468862953083,-0.053801635677922094,-0.03594608865084315,0.02078095538080273
WNT7B,0.030511156355935622,-0.020761187623904238,-0.001069256319609446,-0.04426659055619991,0.007862769579290392,-0.007725627643094771,,-0.017551328868230253,,-0.004339041795639113,-0.03537742816375952,0.05551209476290108,-0.030844123026131834,-0.025482875642964992
PTMA,-0.003329362471710952,0.008152549398765262,0.02238992503311579,-0.005368663615522014,-0.05986302604936107,-0.0620325834991262,-0.07782681798746054,-0.0495152645000016,-0.020444160684736153,-0.18585097069370368,-0.012806560825449856,0.08098862779954075,-0.10688734912838688,0.00474929290834071
CEACAM1,-0.02077848036850644,-0.02683666403063534,,0.0667456070611522,0.019483955206895012,,,,0.00874396860573981,-0.0358740856252053,-0.019823717880956427,-0.020606750512037263,-0.020471693040129548,
PDAP1,-0.02785625789981546,0.018895940203123244,-0.022484307801470774,-0.010729457143629014,0.006416935210657164,0.011472043197539365,0.04450247330409776,-0.00818897806137315,-0.04652965129388895,0.024629962041235357,0.04542531069593602,0.05996842343935094,0.05055592664225011,-0.07534396025883848
QDPR,0.05613312460971703,-0.015675840625421524,0.01847681849605179,0.02584760643986232,-0.019468009364510586,-0.048183592067345044,-0.08705633374872015,0.051567431410017975,0.07036449603121343,-0.10259674088055057,0.016696566093147267,-0.005574507864633901,-0.05026063342348055,0.13359110559330944
POMC,0.011805529225024942,0.004890031218695934,0.006085556564688507,0.04870393532860688,-0.018428843844636562,-0.021993332979386684,-0.018497513492912888,0.11129303913620464,-0.018393502837463157,0.006713111665300178,0.05986367243398847,0.007071963855253681,-0.022466211896310186,-0.04299523132862315
CCL18,-0.025929580265392382,,,,,,-0.035341428850939834,,,-0.02543531653481804,-0.03627716055264844,-0.011469856451346985,-0.0038723194244190077,
CCL17,,-0.005381854824317158,,,-0.019808620035094544,-0.004746745433315319,,-0.014587767141478808,,,-0.014063968341622421,-0.029747138044257306,,
