,UKF251,UKF260,UKF296,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,-0.005487178174442848,0.0036431645483891648,-0.024229867029675903,0.026876320944367125,0.04205420897633394,-0.021266735838125977,0.016977331675325755,-0.021510855104643366
NDP,0.026083983142167443,0.040845661598823906,0.018873545783703493,0.07548594483663311,-0.005651108399183497,0.04335057681732037,-0.030227123251566203,0.02144846990974826
TNFSF18,-0.031209299778979013,,,,-0.05558310893159991,,,-0.03256829844875516
IL36G,,,,-0.018834871484907954,,,,
RTN4,-0.017521834863057435,0.020421615178013334,-0.008477245277451695,-0.03812955768410174,0.05166685069544403,-0.056068787117214317,-0.040965117951354435,-0.09897291080410371
HEBP1,-0.03235545853693118,-0.06676431699873775,-0.02261142177800168,0.0764299017227119,-0.07024599462675274,-0.00493501286350708,0.06595312619448884,0.005504285805793079
WNT7B,0.11335096912877439,0.013228305634218656,-0.011246854499443792,-0.020701694318862887,,-0.03132425339838525,-0.019153669326553126,0.024028454766882486
PTMA,-0.0626363565418501,0.02262023462795107,-0.006619314062000018,0.040145823992559025,0.06313791929699455,-0.008316296472473698,-0.022702783577547795,0.0838225098164773
CEACAM1,-0.014877780543047565,0.013696494251422803,,,0.1673246481604358,-0.015175142431838467,-0.012712568897262461,
PDAP1,0.0226544303867556,0.02557144220837546,0.09695355655179477,-0.02598448840249164,-0.018248941107234636,-0.012440412851066706,-0.059094648832601765,0.013984372518992524
QDPR,-0.015526212073577073,-0.015441301418330486,0.06617473770203121,-0.0038747894588017726,-0.01583727216559658,0.03041630120355098,-0.04415382054464979,-0.0980438615839412
POMC,0.05027085511019566,0.021047773526755763,-0.020841032084779516,0.009970829910384624,-0.0421971734848044,0.009475669895179705,-0.02079609272127984,-0.05242265982796587
CCL18,,,,,,0.04096026611851103,0.0033321745158328116,
CCL17,,,-0.013920453062555573,-0.017206189823283573,,-0.02190627078720994,,
VEGFD,-0.021309435708236072,-0.0022887259053844477,-0.01021082066734715,-0.018440406566724764,-0.01763550107719702,0.011245061581831379,,
TNFSF13,,,,,,-0.02381136739412697,-0.014275362843028688,-0.03542966318037504
WNT5A,0.018113502843339086,-0.08686699611806195,-0.05969709322624399,0.02838905239317599,0.017658915563413414,0.041511806349428484,0.03342183863477642,-0.009435090531466522
CXCL8,-0.01995289254665685,0.05084027684451706,-0.009508760186676561,0.06408681954282597,0.01073187229972246,-0.023054740405959125,-0.010704485804923796,0.04772659742219764
GRN,0.07710717503867966,-0.011443090546241317,-0.03498070117645046,0.02226157416009778,-0.04496509118496125,-0.022295350884904818,-0.017885758797507145,-0.07047134783391681
MIA,-0.01895112188989937,0.07146315227314876,-0.0116126581302976,-0.025254981871972566,-0.036043725467164334,0.10651199255240412,-0.0523444142896247,0.04702076753826579
COL4A4,-0.021110461681414658,0.04801515666753757,0.06943126510103928,0.0733021549652018,0.0061999374626598045,0.009252510189192684,-0.009688218438136897,0.08097165459505812
TAC1,-0.03525916750928163,-0.020214521641751772,-0.005595283421426985,-0.043416060346329645,,,-0.021932802936089676,-0.0874337995725729
RARRES2,-0.04998209040099172,0.06575575153003435,0.03977524805118039,0.08078636273502249,0.037982179179066385,0.041957550961793245,-0.01601751874437452,0.12258216149067439
FGF7,-0.024051638480436132,-0.0385234782405256,-0.017589162804546993,0.06933857589549977,-0.018555623663237302,0.005477184221226181,0.010197645447803938,-0.01122398948531319
EFNA2,,,,,,-0.01442295731423432,,
HBEGF,0.007355952609103182,0.03812676940294925,-0.026222366513855382,-0.028681464519046917,-0.02216878619240986,0.007094183643740867,-0.029970384936592924,0.020095269641869144
CSF3,,-0.025985661637091133,,,,-0.011538359671188377,-0.018225204034177097,-0.04165257933658567
PI3,,-0.050101354354267214,,,,-0.06806550170063921,0.004141425973380933,0.014785532698619338
