,UKF248,ZH8811Abulk,ZH8811Bbulk
BMP1,0.027686360062393386,0.07371301211504923,0.01150924285612193
NDP,-0.014398234069886563,0.011409318154100656,0.006643054255424725
TNFSF18,-0.02048307834214677,,
RTN4,0.04331897695551391,-0.006746969763768397,0.12423348685384736
HEBP1,0.011469164175996444,0.015516571363693941,0.050621864707286565
WNT7B,-0.04563783032406074,0.06279370317900262,0.014372190656478033
PTMA,0.01642510094664054,-0.09325945299781781,-0.018778402535178283
CEACAM1,-0.03216754485681956,-0.03793612118938395,0.05296864321013758
PDAP1,-0.012292923379354642,0.03356046930707465,0.03662592883055135
QDPR,0.0034640736659518126,0.03081324514400106,0.0030994454345010616
POMC,-0.004823612151902544,-0.0065578983213796845,0.05599458786749333
CCL18,-0.04014205666212863,0.03969388698130747,-0.044433056002777235
CCL17,,-0.01025783451922048,0.10221192314313503
VEGFD,-0.0049090592502165605,,0.053130159921163427
TNFSF13,0.051573289145945396,-0.05164361993917332,0.046691198778585956
WNT5A,0.02686119258566007,-0.007618870016675368,0.17006169607698976
CXCL8,-0.040634937933713026,0.1285780975147276,0.0167619638076292
GRN,0.11351556426385596,0.05448430575836029,0.09671259664160478
MIA,0.05959886753351614,-0.11017545755484028,-0.118277959123825
COL4A4,0.01957968025469274,-0.02315177352160269,0.04265111115465637
TAC1,0.007582863211335807,,
RARRES2,0.04184141344307118,0.1601355575624832,0.024839281664682897
FGF7,,-0.01517599677814524,0.0030357294452924193
EFNA2,,,-0.029440413353428427
HBEGF,-0.017261945090223507,0.03821068392044872,0.04169960815498726
CSF3,,0.17367578477670068,0.11093076692136829
PI3,-0.042231136068085484,0.16336005235706408,0.11373443386120557
PCSK1N,0.0002995338934286588,-0.05872973526802377,-0.002950002230418545
NTS,,-0.06278719134768458,0.08672814456564987
SFRP1,0.004478514244295396,0.07262098469569919,0.037395619288473556
CXCL13,,0.007947767272386093,0.010404436353036462
MICA,0.03692312586414788,0.02865377080733158,0.06876268618596083
TG,-0.03368665676658533,-0.035761766937983205,0.025095408886998256
ADA,0.04246645328678791,-0.0485587549712989,-0.019641462524977563
LAMC3,0.08256534302190159,-0.022056222216694076,-0.0014734399542743225
CCL7,-0.02553373914835213,0.12236988206901926,
NGF,-0.011456616793497154,0.0021182714060566446,0.042004916611113705
TNFSF15,,-0.004920080669018567,
HMGB1,-0.05359540477755742,-0.03743956389472997,0.09676505969287544
ITGB3BP,0.011491043971861955,0.004495628467115302,0.021771902703714735
AANAT,0.029761431774955518,0.014413962795899312,-0.017244644336441586
RELN,-0.016189692860356007,,
IL15,0.0066530470559927205,-0.016024351787821058,-0.008567507030917711
UTS2,,-0.0011070716710885138,
BSG,-0.0049016718186512456,0.11755674146965663,0.012435686951984935
ADAMTS3,0.023808897165208818,-0.02037084478299665,-0.0409341262744051
CD34,0.02113393662132971,0.008094087753699387,-0.007734963213148204
PLAT,0.05664550766388219,-0.10304952574947802,0.00528183252135786
NTF3,,-0.03437162149408578,-0.014978359905449408
CKLF,0.015713677907047776,0.039063615754190144,0.07140459813465147
CD24,0.09128988222555331,-0.1013527805108696,0.020925162101809284
HSP90AA1,-0.04748169289819291,0.0364959555626108,0.015718425896390678
BMP4,0.011141662602316388,0.013867512119065799,0.01658271040980517
SCGB3A1,-0.025533736595012325,0.055012887002959886,-0.010393775782239144
IGFBP4,0.08964370129727063,0.08654554488995513,0.05134569580039698
LEFTY2,0.05227284753069413,-0.034242092928514836,-0.03385118588114549
PF4,0.02555509375326608,,0.03330169662620197
ANGPTL2,0.011820731033086087,-0.025709547656001416,0.02385630690653808
LRIG2,0.024526109707273747,-0.0026797098133194024,0.0634059167738162
ICOSLG,0.05487459307622433,0.13935314042130736,0.057584524015082884
WIF1,-0.03175324947631149,,
NPPC,0.03588994290178562,0.010058715760462545,0.03941062585399261
LYZ,0.04386442009932582,0.0033183027123644326,-0.01976557220430424
EREG,,0.0634383628708502,0.019339736330285625
SPTAN1,-0.015900060180653302,-0.021123811912672093,-0.004571379794689225
LIPC,-0.03242723722475652,,
COL8A1,0.08539306391902567,-0.11058705592885446,-0.07450026722202552
GSTM2,0.06727012358772962,0.0034303757973141156,0.003237694828010692
SPX,-0.039013565557516644,-0.0406702720574253,-0.020015885318549708
MFGE8,0.09149424217235068,-0.021735116556319677,0.03504202800207015
TGFA,-0.0014121872335652124,0.09428681771013966,0.037408343400491886
SLIT2,0.04664443822133653,0.08917659162684276,-0.03582799991749256
PLTP,0.008260448541220133,0.06076672633640544,0.11825501819750613
APOD,-0.009148011438900257,-0.1099069512536293,-0.07688707783437138
B2M,0.12483702541880712,0.13978078731625618,0.14070417332972762
OMG,-0.026027841162549536,-0.08009008979989653,0.014076932827440975
CXCL3,-0.026295340781577588,0.1622543423589732,0.06185000768205762
CXCL10,-0.0296312347749439,0.11065179665694472,0.056704280121765864
