,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.00865391081201212,,,,,,,,,,,,0.08639685922552488
BMP1,0.05506902405068504,-0.005992001326186937,0.1357774090352057,-0.06126267035948252,-0.010386163566381543,-0.03186332533389655,0.16602974269606327,0.05368535799178614,0.042620445962091656,0.006545107017104237,0.0174620731304535,0.049229383267932726,0.09100925980838032,-0.01987276868128855,0.002865958952156377,-0.008855175146501991,0.008422193581104848,0.04639180967299857,0.10866476432216125
NDP,0.021314358543897467,0.03720473489356548,0.05031407074758502,-0.06458046944934451,0.025293973409226032,0.014826771809887585,0.0636704338320728,0.01521262382581582,0.06996880052134656,-0.023650263219309013,0.043578082522338274,0.06759770321865664,0.1490042221096916,-0.0279207976973154,0.037436739318984696,-0.03167167527791476,0.04944749126784611,0.0035575497989704125,-0.05510520970816541
TNFSF18,0.019620637382969864,-0.013188528075620487,,,,0.008438916592381815,0.06512778609866303,-0.020114126025381658,,,,,0.17898217947439146,-0.033042834433383086,,,,,0.026674845701717662
IL36G,,,,,,,,,,,,-0.01536847586338064,,,,,,,
RTN4,0.012705285613347009,-0.015849014961816746,0.07849991196218162,0.037385700623835685,0.09283678727697665,-0.08661923848341672,-0.15673886412625526,-0.011297895332677891,0.013822127818487406,0.06629974128138415,-0.017752286465484875,-0.02785772106190433,-0.0651956217694623,0.034966957255273726,0.003990299198384535,0.005653290131738082,0.008596241148033137,-0.009634598677787577,-0.07344438143635293
HEBP1,0.01714460494773795,-0.05358291424849673,0.041335501649582065,0.013218813587152796,-0.057579354510037026,0.039989514300315,0.06331075245509794,-0.030808166410463612,0.009497744433355377,-0.03296061648951789,-0.0012421769750775372,-0.059231435208626386,0.11930496973270734,-0.0015285596731465332,-0.008597475091498098,0.038228671819940614,0.08785417212336274,0.001459651412554573,-0.01677201622993873
WNT7B,0.003561871735458233,0.03435982348821697,0.05419706009610296,0.024665408569129733,0.030341509199588102,-0.003152524484701864,-0.04140702936432476,-0.036533349502236113,0.022644814119983567,,-0.02269254629022642,0.0033590978672193347,0.2914533187798466,,-0.02999192050524687,-0.02315224526523754,0.0470014452786139,-0.03896192999570897,-0.04098783854197455
PTMA,0.05706563105484923,0.05075504522015468,0.1267205795632301,0.012765951925219319,-0.09565948094069562,0.14757880253207747,-0.0709764028698718,0.011439423034815925,-0.02435268180784243,-0.004939999639026858,0.05405051462945135,-0.03495474778837953,0.0843703247779168,-0.08358659885992117,-0.03519103930251908,0.0035886764033860427,-0.027602654782719425,-0.053365629829356366,0.10412876795302671
FASLG,,,,,,,,,,,,,,,,,,,0.01510023556210285
CEACAM1,-0.030820949679097005,-0.0209055227563963,,0.017441257214037,-0.015610028993590687,,0.04430642434142944,0.0211806454638179,,,,,,0.06864896099261306,0.07754850253506639,0.007228869316765575,-0.032507504840555694,-0.025859599588790746,0.020997170513837593
PDAP1,0.007696169078194335,0.09687951642296198,0.024733336586486066,0.016304951182890694,-0.009434915470997412,0.06880591647012944,0.06900362455118673,0.08010976837291343,-0.05159911837899561,-0.040445042840900766,0.08779655599560844,-0.0014816424265818768,0.08844192458128239,0.08166121479745486,0.04159806113276283,-0.042881793218909434,-0.033464602047717625,-0.06946204048404579,-0.009854575164538502
QDPR,-0.017215564887618075,-0.02828176796760999,0.06861693286043473,0.0052941900256660126,0.028706941111881292,-0.04508169311925367,-0.134727336295988,0.032590998010655785,-0.023388310562907254,-0.04593493112462092,0.05943503451028252,-0.036312286772876894,-0.11262777398476505,0.040183990718102205,-0.04718410573484889,0.047079242879403856,0.12243067576351394,0.014260330341486898,0.02511489128401534
POMC,-0.023684499484249066,0.022601394148471964,,0.008904023701682228,0.015904273766337965,-0.012564251532838057,-0.016721998723385777,-0.023338841252234174,0.031799125853877674,-0.024362050285950128,-0.011854660365276205,0.004566193222093629,0.04076975713775646,0.02701507876333552,-0.035424578511962894,0.04058337554526999,-0.0013761783908802481,-0.04230290786463059,0.008932422755773406
CCL18,-0.03846163311206623,,,,,,,,,-0.051164375397394636,0.04190512856927661,,,,0.1305654315098271,0.04543525278933031,-0.015291618934825368,0.03215859926567119,
CCL17,,,,-0.025576017507312084,,,,-0.025086231253700995,-0.018900037364730754,,,0.0020518506039697132,,,,-0.023633444489758904,-0.03818510292383743,,0.05837405781606881
VEGFD,0.00807805633765132,0.03736096390624156,,0.06514294075841962,-0.014934791929971193,,0.000375621305544891,-0.015904339989574308,-0.013863405973224639,0.04069223634817873,0.046705811756822674,-0.027298772320199307,,-0.00916085603255908,,,-0.032507504840555694,,
TNFSF13,0.07682886544172535,,,-0.0008629869148556186,,-0.015064720674468216,,,,,,,,,,-0.006743935287848298,0.026494346056018445,-0.02903859716228698,0.06503653328479397
WNT5A,-0.005257087067452412,0.01616273763282777,0.1407573898343756,0.0500742565691759,-0.03438658506288612,0.11096843984968759,0.13113163245610074,0.06535189944539514,-0.009971791136947586,-0.010633392288159486,0.011274072087708574,0.03193753713375313,0.061452398385209536,-0.007369341700626668,0.061391782382658994,0.04184588781060435,0.04169611924793338,-0.042170667390175026,0.07216121985987853
CXCL8,-0.017643098592224238,-0.016372581846978488,-0.13783006254701152,-0.014400885144292117,-0.04123709814527098,0.012567383069980443,0.0717801297179366,0.027772296170807315,-0.012910206443198784,-0.06164818161504162,0.03565248787898161,0.03407531803945301,,-0.028155138256715263,-0.033576761503082725,-0.09023751406712371,-0.10727524481468773,-0.04761475277943316,0.029983129608648306
