,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.009138985697787271,
BMP1,-0.027052698135675464,0.03309395635367701,0.02535944064068921,0.0901939969953052
NDP,0.0976874885492658,0.005986008012767579,-0.015716022562263333,-0.013209751465479622
TNFSF18,,,0.049814457511678935,0.047608067872535825
RTN4,0.003820384194534815,0.0004387810263117356,0.029142835498526264,-0.0746837769370963
HEBP1,0.030536094737514417,0.018972783818046703,0.02850738518765637,0.04104597883090592
WNT7B,-0.029296911500854693,-0.020366673885378588,0.006394301201231787,0.005425588097127215
PTMA,-0.02199298498193755,-0.006467853100915845,0.00297199531703654,0.024192298343576144
FASLG,,,-0.029757044317626543,
CEACAM1,0.023459812836958617,-0.01351765766452986,-0.009495051104642202,
PDAP1,-0.006570339063633936,0.011737247368828235,-0.017723888297312924,-0.02992568299849439
QDPR,0.007843384151913742,0.010258741007643938,-0.012542337390268086,-0.030988961698101617
POMC,0.09181672136292846,0.12945074772561413,0.054061978990622615,0.02439237402539921
CCL18,0.01723146922446142,-0.013026455416996994,,
CCL17,0.001545058390029177,,0.00396541360874708,
VEGFD,0.0673163979503945,,,
TNFSF13,0.024414852292401916,-0.015179423569579693,-0.0346799212867644,0.02663344410330854
WNT5A,0.018651813427703938,0.02891849536318039,0.08213570499563758,-0.01759627401557838
CXCL8,-0.0896811237639333,0.03195457566577061,-0.0024674907725072146,0.02929410221803405
GRN,0.06306307362511086,0.01670685446323383,0.11272592872129837,0.03535945791575736
MIA,-0.016039807740203593,0.014342533763221558,-0.07412847650839653,0.04560855156090213
COL4A4,0.02262141407962977,-0.013348859904986158,0.039270341936272136,0.06868653846457774
TAC1,,0.0741256197838718,-0.023836629083068057,-0.024144881163937884
RARRES2,-0.006158444876798577,-0.009521420964955144,-0.01932270722288701,0.0173360069931174
FGF7,-0.024255983281675504,0.042211855157146906,0.04003165317599627,0.037450714018645144
EFNA2,-0.018420888581880797,,,
HBEGF,-0.02504816530014034,0.0016220004536994727,0.051465534567071626,0.15368984233899033
CSF3,0.006804927897239704,-0.019379408756106446,-0.02839674271549292,0.11463451359865794
PI3,-0.0029416856424580376,-0.009957401384571664,-0.0547820733801664,0.01107616881313387
PCSK1N,0.01600698930356832,-0.03598189004360249,0.010738148909903095,-0.06044184338290909
NTS,0.014834488449615347,0.05229271588894848,-0.03227180668961636,
SFRP1,0.007892820179153135,-0.013227637204811158,-0.04107452868769725,0.021063248544226344
CXCL13,0.061681114535725654,-0.03161184845612294,,0.0986863209292477
MICA,0.09097058975925824,0.0044529806933170215,0.048950346367569196,0.038365195220629304
TG,-0.027640216119108656,0.029544224422203433,0.029239394995866554,-0.04220377092441709
ADA,0.01429756237470818,0.01465790234898132,0.09084518334248298,0.05148663644952383
LAMC3,-0.01978797622016733,0.014973146714888011,0.04296610699888669,0.01682320365162603
CCL7,,,0.02500267295103834,-0.01463216322969437
NGF,-0.018173280848304798,0.013217757587947153,0.10563855893162608,0.07306001546646018
TNFSF15,,-0.012034280134144542,0.048748179956303046,0.045494679904678564
HMGB1,0.10038365396144285,-0.0005703839621175083,-0.04366835530222391,0.00722931762824498
ITGB3BP,-0.04773321084752917,0.04129440916564641,0.006730952852439537,-0.00012822310786885584
AANAT,-0.02478952681395993,,-0.017883178488771065,0.07828981248451544
RELN,,-0.014536106219093087,,0.07175915753538742
IL15,0.026473537461036915,0.0207820061722305,0.07879516301753117,0.06585955490128442
BSG,0.001281111819359017,0.02565630529684508,-0.01862052225672966,0.08178580057043082
ADAMTS3,0.027880285418881202,0.07287697249087043,0.02461420334601142,0.07873479215247353
CD34,0.039298864750617994,0.058702758974948886,0.05801459935739474,0.032306719979032596
PLAT,0.05212915214802462,-0.029825252213045713,0.07826740124866521,0.07689780815937779
NTF3,0.04300979314989291,0.003312782556504953,,
LTA,,,0.02787906355437236,
CKLF,0.07079402913086748,0.056502653472177866,-0.01945816889316008,0.03524463402510441
CD24,0.06485467955867395,0.01811602415427717,0.0970080595112101,0.03047204110751577
HSP90AA1,-0.02829916167847774,0.011007140254478727,-0.0871662730640285,-0.11923895452460845
BMP4,-0.0049150477848934546,-0.0417016325188731,0.07347574990763722,0.03548158724462672
SCGB3A1,-0.03526231451725253,-0.02499140249341454,0.03468631322691733,0.09565843702488534
IGFBP4,0.06023978552050214,0.018779966726084896,0.07360621712451,0.04465228672448529
RSPO4,,-0.016830646003687517,0.09512631719564034,0.0069837088217060365
LEFTY2,0.07371302211956443,0.04147540265833771,0.12865382737915987,0.1336331391294941
PF4,0.03177058334904011,,-0.02292645675886635,-0.02847678124600144
ANGPTL2,-0.015389360082380286,-0.02492770536367431,0.052213554745498617,0.0659862129496222
LRIG2,0.03799601969258466,0.008771257437774774,0.024144738292043083,0.04096929243098329
ICOSLG,-0.009431668162844468,-0.01231636826390098,0.08614716074532777,0.019105707601180657
WIF1,,0.007900226778275102,,-0.04246693175315597
NPPC,0.02154866588385844,-0.0048653645654209545,,-0.044265860104584984
LYZ,0.027884922391013398,0.04483706679365654,0.10184830799845537,-0.06483290125137586
EREG,-0.019874726409005117,-0.0030826821378070178,0.03809161277934084,0.045661855217257886
SPTAN1,0.03216169837547757,0.00535783002919587,-0.00633475116570483,-0.04291987285956198
PTH2,,-0.01274944558758539,,
LIPC,,,0.09342026726191227,-0.020709410547430928
COL8A1,0.0184425818039891,0.018098340840676092,0.16480410084455502,0.1356214992881799
