,UKF259,UKF269,UKF275,UKF334,ZH1007inf
IGFL3,,0.02740676221902746,,,
BMP1,0.018522941548453815,0.03909427593967297,0.005073545987338784,0.0717120041309436,0.052974032553588665
NDP,-0.005585677004387582,-0.026739709341821197,-0.011785530827286906,0.027316940286627213,0.07499693627726571
TNFSF18,,0.021321481089219392,-0.01640118038489512,,-0.028742988075981593
IL36G,,,,-0.013349799268401814,
RTN4,0.017988440490721565,-0.058345706486730674,0.021167240492951496,-0.07285482908307953,0.04664238670072354
HEBP1,-0.03022357096969829,-0.02310225688845967,-0.022795238166862214,-0.041677321371229786,0.11411366557384615
WNT7B,-0.03253338476856337,0.03197341300548098,-0.003028223711185092,-0.01467296784552413,0.11437270113992402
PTMA,-0.026098929464131667,-0.022275924241608087,-0.04243277575469942,0.054639116957800396,0.09024589602097371
CEACAM1,0.014384783294645521,0.013380749967908084,0.017135022794282487,,
PDAP1,0.0354241803469408,0.10052359374634182,-0.018506359556429566,0.07417188308993107,-0.06452982346632555
QDPR,0.054245400995425394,-0.09867234458616152,0.0008752096637123161,-0.030538313644604236,0.0567580480245568
POMC,-0.01684421695469021,-0.043092223205827215,-0.019030632743838594,0.060357569628246496,0.08550987927618073
CCL17,0.011442877543596294,,0.04708376030241191,-0.012195420632357783,
VEGFD,0.019381550922877362,-0.0003051004859790274,0.04032038716117769,-0.01307021002456802,
TNFSF13,-0.00288401851365091,,,,
WNT5A,0.0957301843524979,0.027122328105650927,0.029115636259862798,0.02256605775703111,0.0008796777179360872
CXCL8,-0.0032846016437647575,0.014411808765387373,-0.01915185751760483,0.027735871869509654,
GRN,0.008912489020617661,0.05968380811982181,0.00992296333415515,0.01172693736902031,0.08832240167680828
MIA,0.048150190493942605,0.02589557311330245,-0.0329981283438017,-0.017900251604483303,0.21776472208591638
COL4A4,-0.016037258459714383,-0.01685762759817567,0.004541863059953286,-0.017363908139544595,
TAC1,0.07277605793052783,-0.023512231840556307,-0.00986553349038334,-0.030772479181115735,
RARRES2,0.08820859245036665,0.06895225694658588,0.049659061354228394,0.07488842188008571,-0.005611653138499685
FGF7,-0.0002504058481389904,-0.013292284955088123,-0.03605936376016317,0.10691845538264344,0.0722039371021166
HBEGF,0.010143516287040027,0.008048154675826792,0.03721325748320516,0.02262135761760449,0.05875123314462881
CSF3,-0.04359286447815466,-0.017835045529830246,,,
PI3,0.02499048829524452,-0.02008249666371033,,,
PCSK1N,-0.07601492063213683,9.450909113293204e-05,0.0261327284319262,-0.031033199600980207,0.08279141315899413
NTS,,-0.02192141635812936,0.05912718629856056,,
SFRP1,-0.004230124572402343,0.06458573004712856,0.03673005277394233,-0.014599547069985647,-0.01347561501117751
MICA,-0.005817093554284558,0.04465510837634698,0.05839635393131221,-0.04305786520685778,0.04723389478139192
TG,0.007627424687156961,-0.021525304289090923,0.10329558580157035,0.019095383157417507,0.004199244873881446
ADA,0.047356069909551726,0.019065982823946725,-0.008733766402502294,0.038247174025713794,0.09258654019030928
LAMC3,-0.0147279771732814,0.06732495836931422,-0.03261455574210088,-0.004721579875360897,0.005497351943422727
CCL7,0.03227304991573776,,,,
NGF,-0.04655168512179135,,,,
TNFSF15,-0.027726014133482232,,,,0.09731369312038528
HMGB1,0.0013436759514832044,0.0315017511333839,-0.05353181495342922,0.025468528732671237,-0.047621162579016184
ITGB3BP,0.05994645336749416,0.04863159340224107,0.00977483417645408,0.03680903508876786,-0.02831360789003901
AANAT,0.02410742443543404,-0.016087693718492283,0.010907677001787268,-0.01635899027372478,
RELN,0.07928810874262421,-0.047206341045580684,-0.0116394653060256,0.05511244903760203,
IL15,0.08407629928782691,0.004208857616224066,-0.040931227912468775,0.029144822603622614,-0.014205676257753302
UTS2,,-0.005485791973983449,,,-0.011914115630130149
BSG,-0.05994300510718995,0.0034046014533843406,-0.02642968712741747,0.012975432142473594,0.05204347936654381
ADAMTS3,0.06308329431124311,0.036951062492598455,0.02506842584508463,0.03123005630445228,0.07957744242116194
CD34,0.007776103461879198,0.09521711156845708,0.005822122829403342,-0.035136401400836764,0.05231784822845008
CCL23,,-0.018305241698352268,,,-0.03203836360413093
PLAT,0.04346174492102477,0.031603487386826785,-0.012159344835226802,0.027062113357522313,0.08834517975844973
LTA,0.0052785481279246866,,0.0432894692168153,-0.015172209251513212,
CKLF,0.030297452121520907,0.0908381930966622,0.014063102707316354,0.06225194682265008,0.005510442107115066
CD24,0.027961391210827666,0.009817943300769717,0.05594349021299341,0.10173680667421481,0.06376680671769178
HSP90AA1,0.06603799666230327,-0.04104285419822677,0.0731577745079436,-0.05653515172972859,0.06152593378436528
BMP4,-0.006207170413427787,0.0014817789461592458,-0.0451990704654045,0.11594702620042628,0.03477514578186535
SCGB3A1,,,,-0.010586966971630044,-0.021112827967475642
IGFBP4,-0.035005423101923255,0.019831208701144354,-0.018917642788558488,0.053404028226546225,0.00731912148273806
RSPO4,0.007018447608552186,,-0.02075970839412624,-0.021046242820501437,
LEFTY2,-0.007580960397427372,0.11926773902158373,-0.022740244152745913,-0.018729922883308058,0.0757439732933454
PF4,-0.02172369879112397,,,,
ANGPTL2,0.01284663635304749,-0.01743213276965291,0.0034835324158297098,0.0027437460637959343,0.11099055847728218
LRIG2,0.012277089076184352,-0.02051042428784946,0.003336566156911369,0.09650839525084763,-0.035949949270344096
ICOSLG,0.03320548211382084,0.04909294322751044,-0.013148498102845522,-0.028459396381729174,0.10730432838667603
WIF1,,-0.03788262681963605,-0.01601977525988389,-0.03597681419242383,
NPPC,0.009514882005441018,0.01404402857834102,0.006680971280641609,0.02716194646857077,-0.028306993817631413
LYZ,0.023155929537828437,0.02245525806712982,0.03748464374560858,-0.013623666608537121,0.140324845516479
SPTAN1,0.005874380578423275,0.03041402833802887,0.03605115307009843,0.02291420576432506,-0.010861089053499322
LIPC,-0.0024736100652763865,0.04086736558668116,-0.03176010893120199,0.03434757246990011,0.06850290696322402
COL8A1,0.017843464751919072,0.005721192844707065,-0.02264034652111474,-0.010679481903913204,-0.017052258607056805
GSTM2,0.07343785042142956,0.01682790407331986,-0.026975261362973117,0.008686804745900058,0.12216523617432251
