,UKF259,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,-0.018872402434801844,,0.0599680585932482
BMP1,-0.04025151516028008,-0.02908849788149575,-0.03540636668374201,0.07558876497104702
NDP,0.030892879926491035,-0.023690823050326,0.055829531463112904,0.039696176254521084
TNFSF18,,-0.01946277551354583,,-0.002232330091706617
RTN4,0.02826498279638231,0.08298449596967375,0.01784225570625364,-0.03322457676389762
HEBP1,0.013903308498183123,0.023273130229862594,0.036270292670522813,0.007418274010384434
WNT7B,-0.024950395043932733,-0.04069823809639441,-0.02179263037101704,0.06092293907204749
PTMA,-0.0017842257217610172,0.000547794710752254,-0.1138300700750578,0.0669970300697429
FASLG,,,,-0.021834924805358293
CEACAM1,-0.017943306472731155,-0.027965976471699516,-0.014464085722732077,0.02580453751197863
PDAP1,0.006997267084135374,0.01289573403873647,0.026780093825975713,-0.04586395456079393
QDPR,-0.031364949162105485,0.022574725620242566,0.03971324730403218,-0.017181136055871914
POMC,0.015617368547037377,0.00841035065692916,0.008687567256307881,0.040269215806791984
CCL18,,,-0.049810633153814024,
CCL17,-0.016698952922087,0.016477645286459744,,-0.019790906845623964
VEGFD,-0.018604477615908274,-0.026243012064531404,,
TNFSF13,-0.011518563992053452,-0.026682912107972082,-0.01624219884693289,0.03496652426457178
WNT5A,0.050424722085119625,-0.049185423840802295,-0.04337270875895784,0.07699099961243742
CXCL8,0.018286240796066857,0.10026430318443742,-0.036856964251023895,-0.013860965773752511
GRN,-0.004298895914319549,-0.02742036865710105,-0.039508806140871953,0.08791749139945314
MIA,-0.02656265329309737,-0.016036394839681608,-0.0711696867468471,0.025584282113575843
COL4A4,0.030484171176938985,0.11198762155455351,-0.0028047811266940096,0.0377518299082073
TAC1,-0.0006198060618757755,,0.049208232748652915,-0.026017159472683866
RARRES2,0.06670120845620373,-0.0597245431157832,0.00990597984847372,-0.02963867577201779
FGF7,-0.02960044343092055,-0.027484791465093004,-0.060913540759048694,-0.04313206872275346
HBEGF,0.034943456239679295,-0.03188773783632935,-0.01697381943172962,0.011027075407830808
CSF3,-0.019903695850701807,,-0.020736242658349432,-0.020836771800706477
PI3,-0.016089555379878783,-0.021141463683179852,-0.06589504120697277,-0.04527138278413007
PCSK1N,-0.02095090161594707,-0.034956920105045114,-0.04743958027781027,-0.013111655785003442
NTS,,,-0.0005878635156861251,-0.030856417709275073
SFRP1,-0.014570481899008753,-0.08116003932245466,0.018112337769246416,-0.016316763979388717
CXCL13,,,-0.033825126902211754,
MICA,-0.00450768316999548,-0.050483478527329304,-0.02332493041002491,0.03247914114580255
TG,0.05732245017134954,,0.025760875914165576,0.04230337065598845
ADA,0.03345377245564907,0.028669384303116583,-0.012388580089584843,0.06915470897305524
LAMC3,0.018041259925284152,-0.02777574617906297,-0.026268509038386595,0.09223738369290757
CCL7,0.08912440427906981,,,-0.021834917041119655
NGF,-0.026047735091101042,,-0.0355995971767654,0.06916103461484363
TNFSF15,-0.012659185375203646,,-0.012876850693473474,-0.006367090115376025
HMGB1,0.06942360000533482,-0.00041670960347646007,-0.07684838560792644,-0.008040811306988754
ITGB3BP,0.007310997052857207,0.008380066416588408,-0.03849526305312622,-0.011301312237458892
AANAT,-0.011518565221407862,-0.03077844904340804,,-0.023102252793105946
RELN,0.054431717843342234,-0.01047018820640015,0.07835019560510414,
IL15,0.06332797977670686,-0.03832897044409879,0.03975876887211519,0.0601123992716614
BSG,0.0022576510413708497,0.031073607672701457,-0.03886900617587714,0.027450812771857517
ADAMTS3,-0.010270849159939009,-0.035918959496278734,-0.022016800326113622,0.07026125135524625
CD34,0.013934736483971226,-0.016869262951032773,-0.0406866885720375,0.08686548875268216
PLAT,-0.007487102066188273,0.027732984471289402,-0.08214909419333313,-0.01651117442413514
NTF3,,,-0.03952613321724033,
LTA,-0.014570481217378707,,,-0.004423571051227007
CKLF,0.026316168837814492,-0.04409423681398185,0.016632734470955448,0.022159114366333537
CD24,0.025624129301007558,-0.04975412126609772,0.06865202198337854,0.02882922760016968
HSP90AA1,0.015700590526240708,-0.0027660516005400503,-0.0398961529931271,-0.08390964785807654
BMP4,0.001257192075501002,0.03297223054026192,-0.034190741357472354,0.036596630406057644
SCGB3A1,,,-0.026741155677034244,0.022427464556317354
IGFBP4,-0.0011256153843954314,-0.051094582918884315,-0.12670333750011642,0.10702741269804444
RSPO4,0.0033997978024320826,,0.0641506608884984,0.06327020974583167
LEFTY2,0.050904382272112754,-0.025563056491986313,-0.008336757628858925,0.04702599439636985
PF4,0.10430444544971894,,,0.010965347014398785
ANGPTL2,0.03101460421479798,0.02583526354150876,0.01631253710447416,0.05941241749831906
LRIG2,0.035744977182824496,0.03154288617243622,0.034642486830476285,0.002554352617679342
ICOSLG,0.015579136018446035,0.04263028768021434,-0.038569230597288826,0.035210311172117016
WIF1,,,0.02885183005268704,
NPPC,0.05833538589471322,-0.029199771958960116,-0.023591190834496262,
LYZ,0.012345195422039776,-0.0750653496619192,0.060926313129648975,0.04052624064476634
EREG,,,-0.02243055088145313,0.0074942849245685965
SPTAN1,-0.05762809680227121,-0.02383235657584472,0.1262469210499521,0.02440277398959788
PTH2,,,0.021971277527063043,
LIPC,-0.01782453331671096,-0.004942050228408648,,0.004831113315505143
COL8A1,0.014137173335981643,-0.03482104371486222,-0.03283146003955609,0.039059371844408816
GSTM2,-0.023105165821251987,-0.051593164554133035,0.0017560548903518935,-0.003531151456868179
SPX,0.08746903919253832,-0.031998039375539265,0.1261181847254763,-0.023605472968459884
MFGE8,0.031522324621570064,-0.04400849899758965,0.00023785107531582952,0.06899108936862734
