,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.035002505992428955,,,,,,,,,-0.03355645222187196,,0.027856416349842275,,
BMP1,0.03189835480238965,0.05217328596119893,0.01047141644900764,0.018315107542380294,0.062154588537313746,-0.037681265980861696,0.008223107259005429,0.017632723102844944,0.0026359467231985532,0.007320495089490553,-0.032892381484870385,-0.004345250197681582,0.08555604339808946,0.010970509574791414,-0.026417943433505273,0.010451333044631654,-0.04026652800444267,0.08217006257746792,-0.02336973390763167,0.06531530598950817,0.06172069042872865,0.07194291278995804
NDP,0.056992627899913266,0.056826958143884505,0.04645863455236338,-0.029767005498255675,0.09539811662832715,0.04974596013413234,0.020855606321194684,0.0014760706637853048,-0.044652996164348424,0.002205693225874457,0.0006599859716683572,0.05134058004664532,0.06047290953774384,0.04206335551060759,0.12172235880101087,-0.010624975135762367,0.044530205980363766,-0.009877820969356604,0.012646339478414521,0.06091947659322235,-0.07375446634610128,0.09719793227510512
TNFSF18,0.0665540346059869,-0.03384890041147294,0.08857704353266856,0.010737876596541043,,,,-0.021070456349081,-0.022820653942396137,-0.01619555151571186,,,,-0.023736397864436144,,,,0.11502291598583912,,0.011104035324684364,-0.005671554435982446,
IL36G,,,,,,,,,,,,,-0.015082912256850173,,,,,,,,,
RTN4,0.006180005768241708,0.03775377616176881,0.015956303766449388,-0.03858678108048687,0.0009735420288778843,-0.014279300464640874,-0.04268431746729078,-0.053657461633998906,0.0035887180491342117,-0.0026396253532865745,-0.0323585424610375,0.05458325269478817,-0.022303047928235488,0.07043352020596302,0.034567428932879216,-0.006256305805135673,0.05461363783258558,-0.07795011840603333,0.029882244769385544,-0.008385508665145806,0.007111927286220521,-0.030422931156211905
HEBP1,-0.008566244941767052,0.0325754763213544,0.04556914119996357,0.024028730988549674,-0.010814558816773198,-0.00749986275036039,0.02109547168789098,0.06544516242413126,-0.036764716734247097,0.04819845398632241,-0.06909689626993804,-0.08358820971253404,-0.01639011115780928,-0.03391409840750012,-0.04688368996665399,0.0681661384612467,0.015352236244763305,0.00436599158734609,0.04356308225289605,0.054455322734866,0.014541898152659133,0.037751822985736046
WNT7B,0.1683239126777982,0.00989258943252747,0.05507659449061732,-0.02511914789120278,0.10311181732473586,-0.0407693255330089,0.0015481827208895804,0.008221165570573096,0.02652448122443924,0.14897982053726294,-0.016555691434462325,,-0.016577858746195134,0.03151670502728524,0.09306503830769373,0.009674706874414036,0.04238363634191417,0.01952305034204093,0.03299724248391047,0.028261316734379264,0.06847913774944075,0.02169716983580704
PTMA,0.024353343665626245,-0.14962448781591514,-0.04394925140031226,0.009958272654171,0.04027335328878509,0.04098828403916997,0.028505147346143265,0.11073500225945852,0.02948355747182385,-0.01834464647042346,-0.01450005616391047,-0.07736304621395068,0.03642227472380722,-0.047028475070630946,-0.012324660380543629,-0.002558387848269317,0.013827659721876148,0.014209269211966752,0.049621989810445175,-0.019554210783147397,-0.01314147096292681,0.0413272259478368
FASLG,-0.02197965294190344,,,,,,,,,,,,,,,,,,,0.0061079398355765235,,
