,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01636014298147869,,0.0666258393485166,
BMP1,-0.023158119930119323,0.09417968819418839,0.050840340291221635,0.06946440153022834,0.07699819038430267,-0.024695650272483032,0.06949795317938842
NDP,0.03445071910724567,0.07149197849392548,0.05525794632157999,0.12673447704170315,0.002999115180417106,0.059785774995368905,0.10598013111528341
TNFSF18,,,,0.07250337537330233,,-0.03240563211932669,-0.026018889586783348
RTN4,-0.01445466474501639,-0.03891957500456678,-0.012382821194414383,-0.08452972406466017,-0.04695376413086911,0.0020833991906031427,-0.04256073400331587
HEBP1,0.032311579937224125,0.07325944412567174,0.04977840561270755,-0.03010740973716748,0.011110786655718208,0.05106040834451569,0.09815218712212995
WNT7B,-0.014651220115996197,0.030278949894375035,0.004697944570235883,0.020348973618365036,0.0548989019879309,-0.020633173093011985,0.08738223878756893
PTMA,0.05254686199751692,-0.13355847299061657,-0.09442149342412666,-0.1691477152385019,0.05364396489392982,-0.07838638501421344,-0.08035475782126895
FASLG,,,,,,-0.01666175014635955,
CEACAM1,,-0.00829882065472469,0.05787368511227099,0.016527099215241925,0.03809137422538477,-0.023182378163001022,
PDAP1,-0.00046953057845172045,-0.024710926260081246,-0.029095743108882202,-0.06606135103406512,0.024157019549474162,-0.010593345218942379,0.04341679440591239
QDPR,0.013313527802091685,0.008961290889288296,0.014472755564174707,-0.15650954362965272,-0.022810783879647276,0.05761337741709189,-0.00423710760754994
POMC,0.06271753694277926,0.013939573616411778,0.06837626049790958,-0.014649161587489726,0.04767880683053086,0.020277002423228302,0.05661907774880965
CCL18,,0.09125202721861447,0.052056244469562966,,-0.023801849702143635,,
CCL17,0.013295707318305075,0.12726370172429638,0.01574077631967182,0.023983714177130615,,-0.015102005066247922,
VEGFD,0.008312164705004585,,0.02648362819009535,-0.02274959063233393,,,
TNFSF13,,0.04766728339591562,0.0393214793789826,0.1065696346551516,0.0661505295414171,-0.007806412154106846,0.0950059391195329
WNT5A,0.04592612693396836,0.08670311022971702,0.04140802620965121,0.06677635205855427,-0.015416429435231256,0.04131158768251634,0.030403693019058056
CXCL8,0.08132283416829884,0.01243797594781649,-0.056529366746891144,-0.014394462918315086,-0.0427880585912331,0.012499505241631566,-0.10381926387660381
