,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.02421922221987471,
BMP1,0.02983998076448351,0.02700381368059684,0.020086983066597956,0.0919143942557106,0.02691702409015093,0.02091364099978946,0.03672837874753203,0.0734595698464814,0.004557628774728194,0.021317783147349792,0.04272650494686972,-0.05300399890344655,-0.00872681489482918,0.016704293002467008
NDP,-0.04849194460994367,0.0346999829857758,0.019019770049531363,-0.010555014287456652,0.02690820591269258,0.06267689450492521,0.021682439923391982,0.11898021632999733,-0.019041694292795914,0.04589394550465884,0.045154208803020665,-0.014538859423930846,0.05521004009530065,-0.026052278622076788
TNFSF18,0.02675582859766605,0.02116624728643189,,,-0.018525844228271044,,,0.005862944305906989,,,,,-0.029521923603144342,-0.02886113828117816
RTN4,-0.04658453842672477,-0.03230044956668194,-0.013473725581152968,0.04480084339734996,0.043930855145727796,-0.008520482250287809,-0.06553403840308111,0.07434923208749901,0.0936271707519822,0.06280360085715722,0.0010922862381927548,0.01599079094377631,-0.08161756232726847,0.017973452805291085
HEBP1,-0.01816515385273616,0.04101108191631463,0.018254369533735004,0.0010300775418902565,0.018729342544164588,0.0188080990164315,0.07039262429243985,0.04861754067185852,0.028844311834176017,0.032577665711344427,-0.010458283070231503,0.06888787965095988,0.006563163865723036,-0.0440485939912892
WNT7B,0.05699985991735613,-0.01722763696686439,-0.021602363859801917,-0.05082779948943034,0.0012880812160422056,-0.02816179236170355,,0.0011570472843577457,-0.020058236689054165,-0.00805189564246796,0.0691358474055312,0.03465877486278475,0.00038816130614188115,-0.06275307503372979
PTMA,0.057428203824129595,0.03269115489224028,-0.05403203339261112,0.021732772126284293,-0.05204104932706386,0.006011598954374652,0.09466318135026058,-0.010555084605324767,-0.03736939831345156,0.027316665416812984,-0.010258525044541495,0.05744204634958734,-0.10911538393084133,0.018799344139549406
FASLG,,,,,,,,,,,,,-0.021005323168790283,
CEACAM1,0.1409426536436158,0.0836089662514244,-0.036517385671084056,-0.01511711914161616,-0.009034819890827632,,,,-0.053039348287954806,-0.01982371196651604,0.0548068703611997,-0.006140645030918302,0.04256704835498984,
PDAP1,0.001036816039104989,0.04202727083433975,0.003725988454986234,0.06346032321495726,0.03853436204994306,-0.018504474035869654,0.024341944003713104,0.035817368354959245,0.07159569265210265,0.05117979877643903,0.006948291124613339,0.03745955216511721,0.03838706970262354,0.03809492374399357
QDPR,-0.06378138166569038,-0.030954205288848003,-0.059715450433380106,-2.2776761946522264e-05,0.06409817599411402,0.009890442463371648,0.13356061689695467,-0.003329705191082107,-0.021606074726965442,-0.02205049534127817,0.018364106786473513,0.006562402753877449,0.04094366722591444,0.060232162402762156
POMC,-0.0225504554473205,0.08649904661102326,0.018414208479584835,0.02926065024832268,-0.021495924653232974,-0.03203570284368421,-0.021257027192853547,-0.024217591932357996,0.060287609409321576,0.0432818595811842,0.0860237283299785,-0.01616951278928134,0.017605528996181716,0.06317219892417371
CCL18,-0.021629328775557188,,,,,,0.0981904627775175,,0.11260425066014647,-0.03627714972929508,-0.019308570925190224,-0.004807960131165423,,
CCL17,,,0.007039972375669888,,-0.023105334623736446,0.014984444224883112,,,,-0.014063964145613233,-0.03071621609475988,,0.06874785213315594,
VEGFD,-0.021629335643882128,-0.0016677838547728657,-0.023581181582233355,-0.02692534877554097,0.03284276418040841,-0.0033987270099051295,-0.023744010213062734,,-0.028778987076442865,,-0.021278060457339824,,,
TNFSF13,-0.01632219075818291,,0.08520292075884955,,,,,,,0.035873892814948766,-0.021177386586332704,0.004277748880479785,0.10706147913493305,-0.03139680170621423
