,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03486300687279129,,,,,,,,-0.027439738293275288,,
BMP1,-0.05635206008323403,-0.016741994704478087,0.04362119421272721,0.05318805031833018,-0.05930834387377652,-0.0972612095634453,-0.060002884379802834,-0.24786481779182684,-0.04353908466981336,-0.0009550547669984653,-0.07474425087014146,-0.16181233817177035,-0.04512513341286807,0.013118802639728457,-0.04666054378868439,0.17671894755423145,-0.040549530297293704,-0.017982025927200503
NDP,-0.08536980610727174,-0.010075225719804477,0.0038107685831979187,0.06179192660252528,0.026990686696711175,0.13174318749732114,0.012611693149246556,-0.03753402459286511,0.006273068465327425,-0.023146137219716183,0.037510111480122184,0.0026288643782264105,0.027555434835173438,-0.006415948308347933,0.05616340424021036,-0.004538348915677319,-0.012269115777069255,-0.1176540727602948
TNFSF18,-0.03835747801848899,-0.027882243729085574,-0.02872124164940839,,,,-0.03919057641287811,-0.007468846709293423,0.025560362926536937,,,,,,0.16731084112121145,0.052045317786939334,-0.050329619902320454,
IL36G,,,,,,,,,,,,0.03694969420696074,,,,,,
RTN4,0.25872480948257237,0.02992939096139437,0.03423487920021218,0.03374526710995805,-0.00774345639340362,0.20460941194775104,0.2090601268404298,0.2831477693769411,0.10315761819825177,0.004683070303441606,0.23543441812012772,0.22091182553515473,-0.039635471175195836,0.07333122531791655,0.04233292146858358,-0.04300756784810495,0.23224687765805963,0.10782677591511852
HEBP1,-0.0658012195767242,-0.0033715901017934776,0.009732792889240172,-0.021956422842271617,-0.003746401365406046,-0.0744315252446627,-0.04371718991698966,-0.09592543773933747,0.03056858760335661,-0.05045741157295985,-0.11960342963661716,-0.04318084714017055,0.02938427131672282,-0.0023400316182399846,-0.04827900115567183,0.028281128222794685,-0.02190819508516102,0.030348538859631635
WNT7B,0.31016092166711157,0.0023779953191059872,-0.01784074498983639,-0.004827295795708341,0.05511238186000364,0.05887682470442786,0.09235745250098461,0.218664633088767,-0.021530461536252182,-0.003114962664086713,,0.21045156966896186,-0.03224518766165022,0.009353708824004445,0.03589599904400782,0.037537052319374396,-0.007660146815297337,0.08366924209799484
PTMA,0.039526074145034264,-0.03753627252686876,-0.06826141383490769,0.1326866384663883,-0.006649611094370102,-0.1190223795158244,-0.18719129849251756,0.08185359492820835,-0.01605003948181905,-0.047873925860713124,-0.2908482113120513,-0.20117369985497258,-0.047710229187966705,-0.03041215011652147,-0.09709429634395753,0.13323246936828545,-0.05298280548135345,-0.24931878599028492
FASLG,,,,,,,,,,,,,,,,-0.023798475660555665,,
