,UKF296,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.01921106754305741,
BMP1,0.07797029521677881,-0.032108833316984164,0.0033293675173628337,-0.001836348158723466
NDP,0.0025641722453312236,-0.03961535227470535,0.10355197691300533,0.08106435124531468
TNFSF18,,,-0.03240563635881351,0.060171984624202084
RTN4,0.012215866764931776,-0.02590643032732833,-0.06901821873331247,-0.06825765120819653
HEBP1,-0.013932619592480728,9.799441611735042e-06,0.05492435811060551,-0.008726621549149468
WNT7B,-0.017649499280387244,-0.031324246823092546,0.033600462451103194,-0.030862307788951156
PTMA,0.041073284825035965,0.0056530620039709715,-0.053778539306386604,0.010161459540266317
FASLG,,,-0.016661752326143295,
CEACAM1,,-0.01517513924641527,-0.023182381195849953,
PDAP1,-0.05503450953992011,-0.02325352162985859,-0.02524067739742621,0.005586240288572716
QDPR,-0.04370667088156611,2.5952694059395394e-05,0.03658980775744142,0.04365158075670161
POMC,0.018497002786548374,-0.023709230432174395,0.03144255419015057,0.08754907783364854
CCL18,,0.05700742430251608,,
CCL17,0.017615680120501655,-0.021906266188851577,0.0952997000199431,
VEGFD,-0.016023668842645666,0.0380636047580886,,
TNFSF13,,-0.023811362395868643,0.010324765984595724,-0.02644443158509638
WNT5A,0.0007795484609693195,-0.0002404838762116411,0.04978475509418826,-0.03766174777176068
CXCL8,-0.014921937158555979,0.013500786687071758,-0.0014764618545794026,-0.04468403662299739
GRN,0.05336752231100435,0.0015736902485901211,-0.00157555356066861,-0.0007667506502430108
MIA,-0.018223548755272566,0.05862247250033106,-0.06479174414940837,-0.004329583103536254
COL4A4,-0.030614112638101928,-0.024297770701783093,0.014503391752160104,0.03903298635057853
TAC1,-0.046868321481603796,,0.0007276841089845069,-0.10012427516085276
RARRES2,-0.05689445946036267,0.027041945289051315,0.08991339210846254,-0.04142033748509648
FGF7,0.036387744342847014,-0.027926049809139784,-0.0043332703947831916,0.04215464026095721
EFNA2,,-0.014422954286702748,,
HBEGF,-0.018888418058844756,0.02835833143898336,-0.04830288725227809,0.023882727644414598
CSF3,,-0.012922484187382151,0.010299719423541208,-0.031089168954314607
PI3,,0.0027521825423070484,-0.03454559949874878,-0.053850910333265854
PCSK1N,-0.0095272427014158,-0.017044191670123596,0.05399499892929138,-0.021048039852824763
NTS,0.03367554239525329,-0.017571632849160145,0.011594275757566923,
SFRP1,0.031101570601352546,0.013027315735252492,-0.02299870970391005,-0.03878624143653818
CXCL13,,-0.024573589945704903,,0.01513075368594396
MICA,0.07662171780959198,-0.011411466979210867,0.04034813400375502,-0.03306144220107342
TG,0.1298628068895502,0.01581155497040388,-0.016811943137279975,-0.02778985863279328
ADA,-0.02567545683390486,0.03801553055487462,-0.003298757207681806,0.06038291517616704
LAMC3,-0.025613179560002756,-0.04477392785595069,0.029802281849047416,0.030958940357371168
CCL7,,,-0.016661746401423046,-0.0526440925052225
NGF,,0.014329523256250148,0.03705719976955042,-0.035233570440381994
TNFSF15,,,-0.005862192759948128,-0.020045890402062796
HMGB1,-0.018163171420032806,-0.10463387357122807,-0.06468717568665565,0.01630853214527684
ITGB3BP,0.027575405315869623,0.039196224548202534,0.04029134516200945,-0.031976692671155424
AANAT,0.04361601640869259,-0.019409390075700188,-0.017628822523823074,-0.018983008272571215
RELN,0.0013876379961865499,,,-0.02277459657676623
IL15,0.0132547286715864,-0.03518904367860742,0.016930708734522903,0.07049533263480581
BSG,-0.024268563940120478,0.030132566790995758,0.08573747347130613,-0.07210555196589394
ADAMTS3,-0.025323012107316748,-0.029096317378364735,0.057888148271855074,-0.030574748866565943
CD34,-0.016930219948471287,0.006776134667486752,0.03922070586226549,0.025301463288923066
PLAT,-0.01715767399387454,0.011609369621822381,-0.005424644155836937,0.023936518729308034
NTF3,-0.029417156637242193,0.032712727405833204,,
LTA,,,-0.005768061685905601,
CKLF,0.0014131570752022758,-0.00020562508209063743,0.052915265911734774,0.09196347717097307
CD24,-0.015265256692428461,0.0018547287445949984,0.05931432799633457,-0.06707945079336629
HSP90AA1,0.005220835224816429,-0.045895150824901705,-0.1441023424884072,-0.025994081429404625
BMP4,-0.0504127209452823,-0.03794117731086728,-0.018626770874810617,-0.010418119220987935
SCGB3A1,0.0035807117751222774,-0.012470925195482575,-0.03493522756006356,0.07373598386269074
IGFBP4,-0.04993341275637104,-0.032927860708285316,0.01693221358155396,-0.02499117397736283
RSPO4,-0.015371740220494205,,-0.031291765398392284,0.061158181656076005
LEFTY2,-0.016855301152285476,-0.016583806098550667,0.0045879633334750865,0.06781413196056635
PF4,,-0.013219636151406157,0.011380354344681159,-0.0187510667366814
ANGPTL2,-0.004927741335486366,0.015042075886071779,0.016153843669346152,-0.023256211394201823
LRIG2,-0.01667424387147273,0.07274681370874563,0.023848516532343784,0.033988743366537406
ICOSLG,0.01146035124080752,0.042293341492690525,0.08416481211167635,0.04030056633923439
WIF1,-0.028926432448978627,,,-0.034407806832614816
NPPC,0.005428442811984461,-0.025012437842941694,,-0.045063144624227634
LYZ,0.0374333426702314,-0.014342205268568954,0.010360159545802944,0.0073412746669325344
EREG,,0.00813098130263552,-0.0358313524223123,-0.02158803249473521
SPTAN1,-0.0051522720052198,0.03565712252389992,0.0725719557204212,-0.039538753525574205
LIPC,,,0.12620486743012485,-0.029241166156394778
COL8A1,0.002142658229125061,-0.005155149802562583,0.014399902362394993,0.0734537593189863
GSTM2,0.02450846769807581,-0.004587044243595893,0.056863262878424276,-0.032884338036116
SPX,-0.01348827273379403,-0.016413867997185472,0.12268775701490496,0.025037376365015872
MFGE8,0.013181995377381711,0.04773240554366747,0.08043748469501485,-0.06416433429997262
TGFA,-0.005159066050686359,0.0592385215222632,0.035124637118255135,-0.02647692880670377
SLIT2,-0.025080856311515347,-0.015433909735355992,-0.02466443197503538,-0.0385854023390535
PLTP,0.04986722890709062,-0.03918347343042285,-0.017256708168469855,-0.010804256156402903
APOD,-0.05675640678348169,0.008330611165187398,0.026008815227395152,-0.12704551155267957
B2M,0.008802403576690739,-0.033790608494073955,-0.043754307920141663,0.048476678409635
OMG,-0.007223445727568161,-0.0059520640018029015,0.11390081791240012,0.020326481218562405
CXCL3,-0.016444512808394058,0.05172882040440182,0.07937506962168059,-0.02816369294242288
CXCL10,0.04319131866112945,-0.01773136440513563,0.016085484664215177,0.0349913613756738
RSPO3,-0.025390041235853804,-0.022357370597744276,0.03240652967831951,-0.0482684188341154
CORT,0.022457508599875945,-0.013833677329845364,,
NCAN,0.025275442677968673,0.013156677182246893,-0.0076898624600299625,-0.06270870867556093
PRG4,,-0.020412437438869856,0.05080909530202059,-0.026098930303434915
ZG16B,,,-0.02108297326466785,-0.015996583032262694
TGM2,-0.016249404105416657,0.04291760210460149,-0.008250210544707853,-0.03252537790154801
VEGFC,0.002193898398410269,0.020486682715473784,-0.03309231848082893,0.04504429930267022
WNT6,,-0.025710507630799493,-0.02546202325883155,-0.016529269593549917
NRG4,-0.03504667148240479,,-0.016908416446940914,-0.024857486227033022
PMCH,,-0.019409389387404104,0.010934196424578527,0.0009718459141158488
COL9A1,0.02342863812621029,0.001081308514805444,0.04316060867167585,0.0018389231128043363
GDF11,0.02128312503361365,-0.04674490189291619,0.06832612177019098,-0.0236407465423205
RAET1E,,,0.0700699047105859,
IL24,,-0.01300885577408213,,0.04461989581914632
SORBS1,0.0077554314300031625,0.04131915709891082,0.0036086259410646774,-0.002128520015480986
DLL1,0.036571314374655974,0.016083243372775495,0.029045618429162107,-0.005134546957118969
