,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.022404953787725286,,,,,,,,-0.018219037424096515,,-0.015471711380125716
BMP1,-0.005844619786238799,0.0048424978407141306,-0.01669896263469118,-0.004414019329961561,-0.01558592221802707,0.07166865026842018,0.124607237967861,-0.015436526858329148,-0.034017934129137714,-0.009570250947513901,-0.005612783092028902,0.003291169677014785,-0.06070607269067866,-0.04205455049521971,-0.022076310681575423,-0.017400397108874893,0.04905787320469274
NDP,-0.014805545344070959,0.017493761499332385,0.03341742198417123,-0.03339370911636688,0.04339634610709155,-0.0026092078735163956,0.030049965560831678,-0.03485303445105122,-0.007362206579127164,0.01975022954945722,0.048945419150694926,0.029162169246087062,-0.00918750793556461,0.08610279210143477,-0.008180772185066371,-0.02187199759627716,-0.0028717255263517264
TNFSF18,0.0243862824501433,-0.021730620061590718,0.016512260110945934,,,0.003235403526007769,0.016381619379839348,-0.015670681350780126,,,-0.04723471021139441,,,,-0.018788971710575114,,0.04309491484853225
RTN4,0.010484187298787194,-0.008645390415071735,0.0073482780792036885,-0.0011379388377622363,-0.03423018189602675,-0.06761468604058543,-0.19117953758538125,0.01949354887918078,0.036706791295420545,-0.021443317994960655,-0.06368635787304203,0.04748762106190584,0.021140596397779085,-0.0458872796332877,-0.03198138338984944,0.005217115383477919,-0.049395400535328836
HEBP1,-0.05973355965772884,0.03699199337200895,0.0315156138433462,-0.05107200262654931,0.014626162198458866,0.04317078687176524,0.017198652088906287,-0.01151354039499562,-0.1062478118230571,0.06455561352177458,-0.004218375421552698,0.011849207954286655,0.064152889481935,0.031071382403712332,-0.05981161316208268,0.059624590517421895,-0.01721749285851981
WNT7B,0.059553389546686125,-0.030571007388459946,-0.026966260360943566,-0.012274963645527553,0.030694851547914036,-0.03021287607117637,-0.057911948915346144,-0.044918549344892804,,-0.027195673498772187,,-0.034477412722041516,-0.009053293070948662,-0.0019152887512173364,0.03135857324123565,0.0398496504526648,-0.033023063765717134
PTMA,0.004217012050572001,-0.030403947723629726,0.05095430854503992,0.025076949470604785,-0.011862297922924115,0.07051201420124384,-0.09156637650391873,0.006325876626073602,-0.11354754233634644,-0.027721022560889073,0.09193378723176684,-0.03284516512824395,-0.04964281384693978,0.005899969850547181,-0.0070335635220315305,0.012299709828587637,0.03586173260703421
FASLG,,,,,,,,,,,,,,,,,-0.013418610001732428
CEACAM1,,-0.006254655460717857,0.009956092857923773,-0.0080526151265978,0.025440528696035802,,0.01031654247194128,-0.024646248475089828,,-0.0042404605436931,-0.033214017687798573,-0.030919895965852488,-0.03443598903726685,-0.022060925215525756,0.010398892601833538,-0.023947034796818204,-0.018670024982336934
