,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.0055952083580058905,0.1594404894861925,0.0011544127978219485,0.04619054312451474,0.03904374797619189,0.025912159387361397,0.12416599924402048,-0.022445423899520325,0.006801808709837095,0.08137342286677242,0.09050772708691857,0.17193486945547937,0.03375553728418906,0.22259549801814443,0.1758069823636863,0.04125105928975221,0.10841630103075889,0.17455298656733054
RARRES2,0.11306493752687427,-0.02724706678398248,-0.02440436800797497,-0.040267052933077856,0.024541746471399725,-0.03225462240914249,-0.0055568273264038825,-0.03275770673308699,-0.03324900824461275,-0.034769272939943134,0.0528680446999056,-0.06990267710127467,-0.016890106792631525,-0.07341528952470866,-0.08572103965900396,-0.002593349773502104,-0.07994591309508285,-0.08116525403650864
SEMA4A,0.06847632907692126,-0.0028249265505111767,0.03448720249712586,-0.03664770311378954,0.026126020046755034,0.05092958280750996,0.04980577881417712,-0.03592559689114468,-0.024449609535196485,-0.02506999743013507,-0.06524075710393956,-0.06286443045656086,0.12398236896837111,0.06795419937566904,0.07431221749060485,-0.033587430984349284,0.09946456991408603,0.06446933807698971
GDF11,0.12687998447748686,0.042169139258730455,-0.04713287030689878,0.0032193164478882224,-0.04758264583942243,-0.027341060481878655,0.06325289533610118,-0.007168709927503718,-0.024146464876467013,-0.009430142123088426,0.04517756652635231,0.004240927355357199,-0.06091274818298068,0.01088593657584418,0.023082475145002345,-0.010415405345536756,0.1518793563560929,0.017561573722284722
GPC3,-0.025416554814443052,0.02991724451122354,0.013808518884896306,0.060010332523024575,0.007574724757527819,0.012322319321360504,0.13390340818609195,0.04433003107706162,-0.0529136123514089,,-0.009828222916224089,,0.013876135396583979,0.09235084426862757,0.10905717349525157,0.09486003411720076,0.11500863203734646,0.06797186291729836
OSTN,,,,0.15595631762336476,-0.016300659270898032,,0.017107417001287723,-0.02804739059076975,-0.02865040402156474,,,,,,,,,0.07353493254629336
GRN,-0.12777416156019503,0.1080674342947743,-0.06697415356210924,-0.013528501892407518,0.011122122508645806,-0.020953486457878933,0.069574743565959,0.018147596071751787,0.06716689127372377,0.10496561715808275,0.07664860776027485,0.1073972613992189,0.15651009644454422,0.11414881992189037,0.041748564592242,0.09359555498187744,0.1615096014945052,0.14421522811333853
CALM1,0.07812610524927142,-0.0368552411882196,-0.006176690416321882,-0.032521432399628215,0.012613138692987707,0.03913854956264442,-0.0383105397833945,-0.02152495514676009,0.0032451408061226483,0.06056534921503549,-0.0648785064800408,0.03306971043550909,0.009036333291174791,0.04013017226625069,0.10942925658181739,0.005276132225360309,0.09159733410267315,0.05182892211113436
ANGPTL4,-0.02071884640407698,0.039325703328395405,-0.003860726227711282,0.0024020017075645278,0.030390053068679337,1.981602248212042e-05,0.03931812657731041,0.011401680094153058,-0.01873829401875379,-0.0861878636828784,0.030886353926242748,-0.03839311555443401,0.0223079671592911,-0.1274174247662252,-0.1116861910243924,-0.025267284901534823,0.15531247838360723,-0.04175369028626774
BMP8B,-0.05644048562017277,0.05449476699238081,-0.017651613377816507,-0.024329525598949478,0.027610971512368115,-0.003240032946815519,0.0015799851827517125,0.10307140739111656,-0.015452565768696785,0.03926729560535832,-0.02680503284147571,0.0026966247204231746,0.01061013970821771,0.009207666322895987,0.0031377538617140426,0.08369866282027703,0.3446142661102947,0.05055976170543919
