,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.05115437556961837,,,,,,,,,,
BMP1,-0.08249590847067347,-0.0282035636868289,0.06966134495712756,0.02533543425272476,0.03585370313124287,0.12393262706174896,0.21606465037828393,0.07152432238523616,-0.01085042650583803,0.11413474623560482,-0.028791209918267075,0.01915196316339784,0.06458001319714406,0.08013041133461196,-0.020749604312864937,-0.045586666941453434,0.0466806391409634
NDP,-0.018901492521862084,0.006994047658388552,0.0677393434954823,0.031235791590017666,-0.05066748331998371,0.012104426065000763,0.06234569361554507,-0.05182345941589311,-0.07106069823834212,0.03813248715741968,0.03959849081358491,-0.11462858194212959,-0.009267104020750615,-0.001842506905804245,0.10170938091239808,-0.006958183121377986,-0.05540686456092809
TNFSF18,-0.022645265823349834,-0.004947455899040793,,,,0.07667410745277109,0.013299046961620691,0.08372712646828968,,,,0.02719828576210566,,,,,0.019385769225106483
IL36G,,,,,,,,,,,0.027762898426566558,,,,,,
RTN4,-0.10038259228508387,0.036342118565807775,0.002373990181511889,0.02264833783978739,-0.00013124991722609952,-0.15091443521535478,-0.22318231795569976,-0.03306859929562515,0.078943056237952,-0.0036865820777923857,0.0716984983105193,0.013720369002627648,-0.0391728073955916,-0.059855096416490845,-0.10062579275686136,0.037259357464682646,-0.00664222101320987
HEBP1,0.002656925463748297,0.04480280007269511,-0.02567720848707777,-0.04892030388951803,-0.017848906789678706,0.10856574120988374,0.06807888391759015,-0.03438319710119259,-0.07423701767399374,0.08369335142199255,0.047324609003084314,0.09802638301602999,-0.02042317210724148,0.04428048301219133,0.01611883313634537,-0.01374579342667957,-0.021099252717155147
WNT7B,-0.019949769920922303,-0.0283482654353868,0.005866133903509896,-0.022808606609178304,0.00022147425598969498,-0.03206664673871008,-0.06042629113983532,0.06314051605886817,,0.05155015859104084,-0.016973563230618247,,-0.0021379079354624736,0.008453755339485341,0.045806196008840123,0.06821546822834823,-0.002616826809595215
PTMA,0.006294376519774677,-0.015933783199972646,0.08867047364760133,0.005190354867349395,0.016131090863354996,0.1958813859366649,-0.16046890994593924,-0.027206521210989647,-0.07345018990994082,0.05697785542596842,-0.0735102595086124,0.08478391740973423,-0.15683535176752555,0.030871731418992177,-0.08093078272161792,0.004591945965757428,0.04652761968746601
FASLG,0.02846111785392464,,,,,,,,,,,,,,,,
CEACAM1,-0.01096114298986575,0.007417826629727996,,0.0023221015253522296,0.023813345680639787,,0.04092415799820742,0.008582573641028483,,,,0.10278343281152691,0.07597860150636435,-0.01468479685101562,0.04787723735107594,0.042842538170898926,
