,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
FGF7,-0.03958706525382568,0.04172603406988426,,-0.015254568311210968,-0.03674302558909448,0.04555707481929949,0.028887214790930083,0.06801561211117414,0.11151360923344962,-0.028529136700986772,0.006718066329987929,0.006669743698362746,0.04716084188314624,-0.03620351178656043,0.058951359021030214,0.03146675907742181,0.09458913241992839,0.021501701931957214,-0.013212655681602996,0.0535253340941702,-0.029653609707913798,0.006433260892128976,-0.07769015438738872,0.04486187147890685,0.0630458915473336
EFNA2,,,,,,,,,,,,,,,,,,,,-0.018751912487375826,,,,,
HBEGF,-0.013053788401921758,0.03996331011830313,0.056670766168224106,0.018112492904450564,0.0006647383722317471,0.07038468267970442,0.046201428492300516,0.07288608660561355,0.20992976394081025,0.06992332827852334,0.018288922306766785,0.05431412044215312,0.1062568056892233,-0.008088445257812221,0.02995345766238014,-0.015773160145361953,0.05937102664273008,-0.01096204206175331,-0.0064215434725094465,0.021354655355252227,-0.07856015337739382,0.050589658338147374,0.11818940377979141,0.0069025938292357125,0.09089333259364038
CSF3,,-0.009326738423443339,,,-0.025505751846783255,0.04794698715308677,0.031210452081552858,,0.04732362871844337,,,,-0.025662158865716555,,,,,,-0.02481854294143763,-0.15927641374328605,,-0.017453476583773987,0.031121560742234985,0.02475327648547198,-0.0049987136066669624
PI3,,-0.02144496808650111,-0.012664148270877328,,-0.01551869892267566,0.00023928526891786334,0.013726757351248179,,0.004180241560682487,,,,,,,-0.010362059169429344,,,-0.10230275816761365,-0.2813492001159955,0.0015134883846989573,0.01977268207419314,,-0.08775664978308526,-0.006509773022762683
PCSK1N,0.05640594080558896,-0.03631661570728127,-0.015187626011888108,0.01770772023924399,0.0694784451431567,-0.0326375707912711,-0.041384706296391544,-0.031938025673683104,-0.12072746191652303,0.031979443185791726,-0.056833954062493634,-0.10310585982946634,0.04208788744448907,-0.02902318817166211,-0.0015108072614703348,-0.07944148431790433,-0.007790188317477244,0.05883586023885128,-0.054660976352368204,0.03835589037813887,0.012210543241482975,0.029468887964197846,-0.01921513961452289,0.05484677738600516,-0.1517689957753812
NTS,,,,,,,0.06160238336534695,0.019521018894163997,-0.026675076866384668,0.011507199888771717,0.02697026393768964,-0.00515308880457583,,,,,,,-0.09189651770146458,-0.007502984254231989,,-0.07605939061144511,,-0.032798854532362476,
SFRP1,0.09016018154254894,0.037890773972804014,0.07402416872476195,-0.010221442356735966,,-0.018023463653213456,-0.0380823027674802,0.0474162899885498,0.07402217547442244,-0.01766216240641979,-0.025219838421145477,0.09382919186847546,0.09282563788366341,-0.03200927783718046,0.04902540607050469,0.01444612785562431,0.14368577164133886,0.004644601855027449,-0.034045915099428795,0.060057557983023105,0.03701767602409114,0.038350793504947564,0.04706839938316225,0.08093909728432994,0.08096793169830586
CXCL13,,,,0.017075838974834254,-0.0400797689211472,,0.015146172861297368,,,,,,0.015310801482692371,,,,,,-0.009299885245223426,-0.022599317538768256,,-0.012794613302510872,,,0.041095773206445536
MICA,0.048920541554179874,0.050518956177171746,0.060871095785239276,0.058003330228345924,-0.038752660717186825,-0.025819911474829305,0.04525451284306455,-0.03686994089132575,0.21551278799833315,-0.07698621235680225,0.006045248633154334,0.04210752771200185,0.03727899499803689,0.014567862475561322,0.03215886015831021,0.006301295960107725,-0.010806190810646675,0.003552940965398672,0.004598677035560493,0.07979872744213912,0.014917569868512365,-0.007079676424998095,-0.011960705771919804,0.11532352775939057,0.05149504013550612
