,UKF243,UKF248,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.01633760843089719,,,,,,,,
BMP1,0.015114517653653181,-0.08747990309805335,-0.00011847437578996168,-0.031795729692172925,-0.015929285208290934,0.0016706147794361434,-0.03954778429769144,0.039090805433350376,-0.017987561027213887,0.04331980996562451,-0.06902222054107025,0.02925248473345031
NDP,-0.09462517552463687,-0.07229423158708516,0.07488738521233997,0.00828363397103449,-0.06678494321654387,-0.03584461309251323,-0.06595506241352034,0.05548553085506129,0.04095732184738882,0.01846799744765383,-0.02697426451087392,-0.02472858577015219
TNFSF18,-0.008185789754768224,-0.02257965683988501,-0.01082702871085915,-0.024260858051436907,-0.010647508906761256,,,,,,,-0.02209481853605485
IL36G,,,,,,,,0.07464547168587066,,,,
RTN4,0.04504877232338356,-0.03633497556290718,-0.021239792901159963,-0.011652667436345155,-0.01353191047461139,-0.009001791937455993,0.07465877537460117,-0.009946949121153322,0.04661388805187963,0.04336610791146545,0.16106149808055076,-0.13515077202872874
HEBP1,-0.03918764209019245,0.021017257045842456,-0.039567402346380634,-0.03850850890842309,0.008451690942840057,0.0021658064390347167,0.010904904896840577,-0.023478322111120928,0.049801272319036284,0.046302776571126913,0.06247692491207198,0.014529396800540904
WNT7B,0.02895667481458329,0.07923999298419973,0.05760838898478258,-0.014279855514360134,0.06735810994464,-0.01218291908911213,0.04384376286158299,-0.020374000392479934,0.058079519303191066,0.010724732471366705,0.020953504200164563,-0.04804099519366198
PTMA,-0.023282645142594875,-0.06703756783498517,-0.016553413080729638,0.05901856799961657,0.05932520124080139,0.07979500623070188,-0.058663672894795134,0.0372286029552989,-0.10579994960372165,0.041169909485101706,0.01497648926253086,-0.03272879906564467
CEACAM1,,-0.014371332767351938,,0.018055029358387726,0.0004412380067953938,,,,-0.034435993893748025,-0.02823477979309857,0.03599954529801791,
