,UKF260,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,0.03697958744619839,
BMP1,0.04754334762438557,-0.08221548174691272,-0.2418818022357345,0.06095156290616423,0.08348907582686353
NDP,0.012056714417453323,0.0923593981042668,-0.013730490179977767,0.05680634473425282,-0.034842149729305
TNFSF18,,,-0.02862468373656765,-0.03275700003373878,
RTN4,0.03911532737311143,-0.01942467647306077,0.09976278841174323,0.08590174463991018,0.025808589228093065
HEBP1,-0.02437428625599668,0.04249439287585674,-0.0998610645917639,0.04120466513948114,-0.08644997987061515
WNT7B,0.042515243593048826,0.03933092462961717,0.08380992890483252,0.023679259085165386,-0.0019185501467860026
PTMA,-0.025388475898344583,-0.022091679900761965,0.0001027509396441076,-0.05403889978596432,-0.15443256481394654
FASLG,,,,-0.02165835094130663,
CEACAM1,-0.013766873617021046,0.03380997416335197,,-0.018764211993772522,
PDAP1,-0.006448977289380925,-0.044163361291043875,-0.10464275776927029,0.02714169780941174,0.0525710921639588
QDPR,0.032782604138148014,-0.02379242704722765,-0.1087617298380114,0.04495763780830427,0.08402241489048684
POMC,0.01819725433574888,0.012686136818054002,,0.01618271568435691,0.030708391109544358
CCL18,,0.06796314927208115,,,
CCL17,,,,0.05324476708742431,
VEGFD,-0.01277502719065564,,,,
TNFSF13,,0.006310125642576234,,0.0504135852232283,
WNT5A,0.12796357470612166,-0.1037954091033151,0.0027805936911492264,0.0948824130452993,0.08906558291974982
CXCL8,-0.09653335341927284,0.016592560084121702,0.12499697572692754,-0.028211544000778112,-0.002864811492417476
GRN,0.04737080169339204,0.005802449170853118,-0.08924977922655533,0.041846136775781334,-0.04816373112537245
MIA,-0.04200806257667073,0.007797506382917843,,0.07620599369864846,
COL4A4,0.12697355592264573,-0.007357906520723623,,0.04518331616745762,
TAC1,0.05050067888623677,0.006308903347793966,0.04674986652164227,-0.0038078141056805044,0.06390396610815287
RARRES2,-0.15791247658873056,0.07682575582608468,-0.09167385693181129,0.02146553182359469,0.01267992879691702
FGF7,0.0032675307650095746,-0.006961249992561489,0.035786475758910176,0.0784809760453985,0.06198872730416253
HBEGF,-0.0800917266197821,-0.002187963774300934,-0.0687173673110235,0.07155916953016732,0.0834444164455653
CSF3,-0.08966680956644683,0.004530111967767798,0.0027953485375080147,-0.004074716845945607,
PI3,-0.055281166002865645,0.0078043073324438736,,-0.07971522805953112,
PCSK1N,0.04465796630534715,0.0013252995159176455,0.14802791046230582,0.08386714197748629,0.06495590692018938
NTS,-0.033211811523788035,0.030358307543511265,,0.03196330664671299,
