,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf
IGFL3,,,,,,,,,0.03746596600896582,,,,
BMP1,0.03445366800763304,0.06123158371472536,0.028128246078830244,0.021510263940847273,-0.01880214729306029,0.012667583247769933,0.027527017292811793,0.04744843756604957,0.2272700205265852,-0.016104002197802874,-0.006696739358706115,0.012603099058612236,0.14093988544317404
NDP,0.016691642671246603,0.07407558000865477,0.0541144251708581,0.0629147894017401,-0.003990945009340356,0.014727826237077486,0.0304089484320768,-0.009526401251956893,0.06146003813873324,-0.0012931519416744964,-0.016255486248319226,-0.09121621509691429,0.09983890178490705
TNFSF18,0.07522517520540027,0.030156239739010892,0.07724207806955354,0.021413937572479568,,,,-0.006165754247819341,0.010418254263895765,0.010616581683223037,,0.12946654458318124,
RTN4,-0.005964105477004767,-0.10609589043960678,0.04786174961680439,-0.00788329936751709,0.016171950831516978,0.0244536865159164,0.027946309980046668,-0.17199959704959447,-0.317185676703188,-0.0406693487174767,-0.016868530196753946,-0.038567559208766825,-0.11023286752157631
HEBP1,-0.031077635399530085,0.07867471325670158,0.003819488976667053,-0.009382736766902725,0.005747944613498638,0.018084602756127072,-0.05868213885144731,0.07078037264815398,0.11160172539679802,0.04956090292792204,0.004625562728523776,0.08504341215325138,0.054137814831986715
WNT7B,0.11774226134691587,-0.06480113254366975,-0.011150364519037854,-0.005115957701223103,0.020409460453829853,-0.05591580456413602,0.016871816039077947,-0.01729607094745598,-0.11144540591075401,-0.05680015980186402,-0.0040602218638836115,,-0.05286799718098441
PTMA,-0.06485832853423598,-0.07287540285173648,0.0493923992468069,0.06850806986561726,0.033588520789370704,0.012252926654612683,-0.006771244851139434,0.21227947344377762,-0.14202714460232013,-0.052519018427136896,0.05358324087557316,0.09582382357559512,-0.18209891784907842
FASLG,-0.0169850661489747,,,,,,,,,,,,
CEACAM1,-0.023583912995837508,,-0.018547731763951178,-0.022014965704293368,,0.010612202996061392,-0.012142485253252172,,0.026854072128441875,0.04901278145015564,,0.013068033971207644,0.02112222314719309
PDAP1,0.043882295088474736,-0.02216457087789823,0.018361566116946736,0.015857991494312156,0.04758868521868681,-0.0061326107303920855,-0.0053609658546504325,0.059159269579458246,0.2852533690512728,-6.860894046072094e-05,0.0017755063464776984,0.0730889007025788,-0.01661706902298346
QDPR,-0.03005992031060718,0.02787450096681983,-0.05047113363095165,-0.03924800369896769,0.034675816097815025,0.07692349750003934,-0.016485250636522977,-0.029819283777461812,-0.256350069540462,-0.006545358920166817,0.03717046143203191,0.10581124933865034,-0.11888957007610977
POMC,-0.05506435040806027,0.08542944545735394,0.019862227760784255,0.011923444414139452,,-0.00046725213734394305,-0.04006932405390127,-0.053468393857059655,0.020340228226885426,0.03116737539371381,0.027921152792662905,-0.009284377331545683,0.008079906033060087
CCL18,,-0.03149255710411412,-0.02314581677701917,,,,,,,,,,-0.050964782975271745
CCL17,,,,,,0.06441643080556785,,,,0.13905740895021992,0.0041419674430619655,,
VEGFD,,-0.05091316020933214,-0.02314582412690008,0.15347485754342255,,-0.019222422599219486,0.012502039020506788,,0.13315763138215603,0.011737619571518818,-0.01162709054365234,0.0003867786851873662,
TNFSF13,,,-0.017466581631298224,,,-0.02132550742086639,,-0.02192914562429944,,,,,
