,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01602037331636837,,,,,,0.1074291328629315,
BMP1,-0.008800549199706036,0.04689462921753926,0.019164296005750713,0.05922680143057848,0.026137407653327043,0.003631752283611702,-0.014575520619008075,0.02337917738194358,0.09954286479013033,-0.011008206945496929,-0.006767567425640984,0.08022216473840817
NDP,0.020980664289317854,-0.014861730481006774,-0.006758580190799384,0.039084406695928754,0.012026652510060007,0.030513714803894153,-0.0013942083695994225,0.10345388731462457,0.027322671829881823,0.005912886254642472,0.0937023094346399,0.036603220507126735
TNFSF18,0.08421748931310975,0.0006335659433937611,,,-0.023789773430020724,-0.012622089446573373,,0.10353437104108738,,,0.07538536493980677,-0.0021236635113896633
RTN4,-0.025462196743920012,-0.05159737327336439,-0.008456059704313573,-0.026542357487500338,-0.03635631180034038,-0.009584464780901606,-0.10251908960647273,-0.11812485486713195,-0.06237797237997061,-0.03736902489519321,-0.054419262514342204,-0.05302413182895802
HEBP1,0.016341078647643673,0.008996293776471827,-0.0317329846607279,0.0398942873710393,0.04455282638196315,0.040544880967379134,0.020745577701323563,0.0008484357715061727,0.016161304105506234,0.01625711429384387,0.05116863482499011,0.032828534979546097
WNT7B,-0.0268626793922026,-0.03931624041044233,0.09393548218000741,-0.012683790884553013,0.000683209051099974,0.023932130834367116,-0.01938005494167092,,0.07616525910978962,-0.042886266981232074,-0.030409660819601562,-0.0082038994694021
PTMA,0.017469239911613463,0.05348368506493631,0.0254329452658228,-0.016724250290073697,-0.05980734898535726,-0.01548329476379361,0.05695256813322795,-0.029887427384415934,-0.145615373821612,-0.023233801754326593,-0.08019101554085466,0.0028464818353279744
FASLG,,,,,,,,,,,-0.019554257998363765,
CEACAM1,,-0.016909165060490117,0.00027954860190439385,-0.023235683327450116,0.022001938451755947,-0.01985153968813039,,-0.03193205401723445,-0.019823719700785305,0.05874842494919966,-0.02720687800699025,
