,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012030810558884057,,,,,,,,-0.027914088403069342,,0.022624129763427862,
BMP1,-0.01780859485019962,-0.031332863893744754,5.560301203480716e-05,-0.03859205222561311,0.015375350175052637,-0.019628372808348307,-0.08341416403781594,-0.032802088422935,-0.022671360289422397,-0.07133120862517578,-0.06965129977037157,0.030027254288134204,0.0994936318104525,-0.01700136464958769,0.0005118008026403004,4.215969456030102e-05,0.03269627389345205,-0.0019242197835271386
NDP,-0.029694357321685967,0.006940178238866699,-0.0146371775674481,-0.07105035695807473,0.019808148037934698,0.026476253939701,-0.005153021665627107,0.024132520538481066,0.005411117634601657,0.006913801539606501,-0.03392955972179151,0.04233049832478338,0.06887594059634562,0.0513432772162516,0.0475100992835043,0.009149573265775163,0.11361246018319371,0.0008203419663146422
TNFSF18,-0.02433851484110631,0.020689573821959024,-0.03408029441910746,,,-0.02324618562900418,-0.01786539250511256,0.003938777757889484,,,,,,,0.005625036731923733,,-0.020364538632031463,-0.036608452864067324
IL36G,,,,,,,,,,,0.04621708062073116,,,,,,,
RTN4,0.067688462309341,0.03947494695364178,-0.005389183233126713,0.04339908036342188,0.08781640234153744,0.0202393616923894,0.06396674932890625,0.03464895123507285,0.036940939201837684,0.14950201964189103,0.11736855801621097,-0.04682795196239804,0.015797196524111025,-0.03749907645437497,-0.040022132145387974,0.035808072206017186,0.028357789056965167,0.02861023387456636
HEBP1,-0.06666003720587572,0.030441426176268167,-0.003955786866088791,0.002285770791533072,0.011589385057029472,0.025123478856992214,-0.025553506089442547,-0.01584351758725031,-0.04539906970205352,-0.09345475798364501,-0.04062684118196405,0.04274791398449516,0.047212486460888346,0.026255258871472047,0.08114887172822263,0.01799610002161296,0.07971994507657529,0.006375081659359697
WNT7B,0.13650622614821925,0.00852292198164223,-0.0211696224464016,0.02874150299258375,-0.01718745497853059,-0.022230798100444777,-0.0219015667659314,-0.015711414096590236,-0.02098273335127767,,0.038470963423090365,-0.03662061681907544,0.03284382480779857,0.044844104421969504,0.07755387493455047,0.03378300692544824,0.028001522890873876,0.10606202144590782
PTMA,0.03148573002730414,-0.10667633335315817,-0.019489791476128386,-0.008151377544968566,-0.06458486167185495,-0.0365558862608778,-0.009769149552261098,-0.04982783685770343,-0.05711071983934924,-0.21365100554533129,-0.12608544296819943,-0.03858458267519991,-0.09017054541033584,-0.023982860829208547,-0.0640654024366892,-0.04885301867115999,-0.08829500483147323,-0.04430885400425762
FASLG,,,,,,,,,,,,,,,,,-0.027252340609896075,
CEACAM1,,0.0195329613496803,-0.016246411960560713,-0.010356782038585276,-0.01752850442286794,,0.010471303507417764,-0.027348118762778633,,,,0.09721667780689588,-0.02613729269204186,-0.022566772173773356,0.00829869290837898,0.026576550809535162,-0.015475171113722586,
PDAP1,-0.0036400168649288684,-0.005069281293609351,0.013910047479282097,0.02866403839610662,-0.025809870914717266,0.026314624231607363,-0.03396107847668801,0.06919590113949464,-0.0010626242775967282,-0.013618207689266297,-0.06656876886982001,-0.0323883883820248,0.008986966573121697,0.024651548420813695,-0.0212343515379036,0.010300147169058681,0.0011897851298557536,0.00727658520532688
QDPR,0.06047871250634904,0.01821671380646934,0.08038643776499349,-0.0037214587819750914,0.08821277638101956,0.032907123513659306,0.04371237666569694,-0.002322645874768654,0.007724668683349792,-0.17084014638628583,0.014048877381289442,0.09767371755652635,0.04425049944991567,0.05163170778776919,-0.06229679036371197,0.022164576046170326,0.07953612304016554,0.05567686147569377
POMC,-0.03278013382256761,0.005355106662918777,-0.028867282059150928,-0.02661157895253162,0.051757227889896396,0.0587636827715359,-0.030305485850536128,-0.008265586141846325,0.05012403325892055,-0.07961548466259791,0.11384060386747145,-0.04145397783629668,0.040701051719506075,0.043360206523295364,-0.03399338187894402,-0.014264585322432464,0.04237681562629087,0.07733687975231346
CCL18,-0.03263994961748218,0.11445507147410891,,,,,,,,-0.09233757680653311,,0.057310201478840264,0.029633936849423954,0.02674496781306276,,0.030672644253554905,,
CCL17,,,,-0.00323570656114991,,,,-0.025309745429537598,0.018510213618856294,,-0.018639023491731924,,-0.018543144084476885,0.017365990760503363,-0.009767912631759922,,-0.008061890101431084,
VEGFD,-0.036775683059261745,0.10138094547970718,-0.023269725626169913,-0.04024194005518012,-0.01677028060015766,,-0.020154834876046985,0.01705407638018339,-0.01904985321640429,0.08774273754123825,-0.019976018788840595,-0.05123657814765552,,-0.022566772173773356,0.017393445763043462,,,
TNFSF13,,-0.014402904494316478,,-0.03529557050392922,,-0.005237197898277287,,,,,,,0.04864298230185984,0.024448384786886167,0.07485669397835731,-0.01927393659592686,-0.04024852052118371,-0.030240804832329545
WNT5A,0.054997443699972344,0.0038268244415942203,-0.01328506905596862,0.06549233651925548,-0.04976236499724695,-0.03800870886204307,-0.03451513403429003,0.007489670099753164,-0.019622798456899432,0.07004653564641516,-0.014744671655814133,0.04886725513337197,0.03684885835864404,-0.053839947754390646,0.04237464322678769,0.01995086982325853,0.009827531166858456,0.021494594248765278
