,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015200534544499236,,,,,,,,,,,,0.08522590604191296,
BMP1,0.07083168658732132,0.06490994148051955,-0.003490286788763262,0.061512650456441144,0.0038831564245038765,0.08395851901967763,-0.01585115353440485,0.03811655530102553,0.06920306847227793,0.03660000457560581,-0.07800607004565242,0.05975736941314789,0.008321582845039019,0.04141940310853344,-0.00716408896320528,0.034690241085113,-0.04566927049280123,0.010638308987002484,0.061240930064104006
NDP,0.09291663019493997,0.01738925261214345,-0.012525355612312983,-0.06433404358375937,-0.010364196950252305,0.03327625047305296,0.0031633299872227106,0.035607307808663016,-0.008121039658586288,0.06698037202741908,0.050680763030981,0.13782601023975524,0.10905225105165654,0.02744736610569413,0.012392072218079715,0.037809835089259745,0.025504323317572523,0.027969678124319518,0.07372873677342336
TNFSF18,-0.025411062738981496,-0.02058337187260877,-0.005305989332171764,,,0.013337421901742889,-0.017874564123101146,,,,0.07384307651382105,,0.009717291365555106,,,,,-0.004343761172889911,-0.030045459496468193
IL36G,,,,,,,,,,0.11377544828129887,,,,,,,,,
RTN4,-0.10182340578604496,0.05976052682504938,-0.003161530522258168,-0.01282558751130118,0.005932887208833085,-0.1580449229700927,0.026301782415752144,0.0018488994491440485,-0.009706811928870539,-0.024740412283373033,-0.05240158488244652,-0.08726890226432774,-0.0808190532938142,-0.06538011539865506,0.0148000509354506,-0.0968034251762939,0.02339172505509732,0.0765988850985217,-0.0982644454129759
HEBP1,0.025737793033199556,-0.007296926367666909,0.03001448115413089,0.015107860304285884,0.02615511910092298,0.09184805138797957,0.007565682024593237,-0.0015756270296743637,-0.00720962882089065,-0.004745226487129263,0.011575398259382096,0.13771103023277104,0.017167440908495972,0.002414809997124094,-0.015370129383958864,0.07314806779386471,-0.006471785229369917,0.03969358759452679,-0.009438108353549446
WNT7B,-0.04239018945635273,-0.035641201062990936,0.00886958069850288,-0.030606262938803527,0.06755080157255539,-0.018676514508750356,-0.03941761797733234,-0.01837983591214753,0.042535286840501556,-0.019703597041728756,0.05672519118710099,-0.006370947608542348,,-0.008669468218065407,0.07510805791401262,-0.008167388751808858,-0.020366673885378588,-0.026661261039001898,0.05512235028566959
PTMA,-0.12469789303879075,0.01813592089056174,0.012767065696890626,0.010362801392671298,0.0330702233038027,-0.11877340349634771,-0.01394333577887128,-0.06116128353873109,0.044018237357967796,0.01374803602687481,-0.09277145549879337,-0.10709416696900982,-0.07835982699970756,-0.09505595276882835,0.009271084432068715,-0.0506111306070448,-0.03507878949083458,-0.043533767120696946,-0.04410957818819672
FASLG,,,,,,,,,,,,,,,,,,-0.025275105839216258,
CEACAM1,,-0.030820955367488228,-0.016636630715807763,,0.0162802422771593,-0.029703910481082278,0.0653175362185648,,,,,-0.035822581876292586,-0.04296755546565482,0.01612966762074716,0.06895031747408409,-0.02637014571205138,-0.01351765766452986,0.024612949710933522,
PDAP1,0.005675615440957751,-0.0031327690513325117,0.01033621168435323,-0.005039938587466867,-0.028248738390435225,0.10384476939971111,-0.01736910910281601,-0.03393454735340598,0.037212792304880414,0.03684868575800979,0.02303324451670529,-0.027782554915174926,0.10239657193356264,0.0591523510899853,-0.008066283763282263,0.0591769634451808,-0.005096448818278777,0.06868695576982195,0.029048776679652263
QDPR,0.019628387731231673,-0.040834621324344206,0.06165937441949708,0.02365601217072737,-0.0054484412144321405,-0.146711444466726,-0.0009712414294332719,-0.0005793322349785188,0.03048430183489754,-0.021413103722378347,0.0063444697696636515,0.03751699005314017,-0.003610996796045579,-0.0385563091350265,0.01327200829376908,0.06484690603196622,0.03394125636972368,0.015300316322526928,-0.04032084947335837
POMC,-0.013540405889865442,0.05844638423814284,-0.00659896826290184,,0.00010308080007445348,0.08799644233638632,-0.02074023072121138,0.05796187138350419,0.003885854354695857,0.051275539078562124,-0.10167220944593654,-0.08486183899306435,-0.037792468647386016,-0.014803050244990205,0.01950910990144496,-0.023099028839768335,-0.004850018722607248,0.055724335959172845,0.009413250229328022
CCL18,0.05470449553752329,-0.019668330593332884,,,,,,,0.05498415766559001,,,-0.0191009481958927,,-0.0013001350649913513,0.058920311187166015,0.08167993328190863,-0.012549985963312422,,
CCL17,,,,,-0.021326318383395947,,0.054274160033321577,0.04056371364467146,,-0.016376622400059458,,,,,-0.02184455818175872,-0.038066960838165645,,-0.022909044552993463,
VEGFD,-0.04107322278655525,-0.020421943504642347,-0.023828635703719802,,0.00020346589218749237,0.004275942571277337,-0.02375137148952342,-0.016686728578509367,-0.025100332237102316,-0.017551333464784314,,-0.07893272248439141,0.02544858168133513,,,0.00454776230721122,,,
TNFSF13,,-0.016919236148554985,,,-0.014710417123767274,,,,,,,,,,0.019817772525653154,0.05303988357191955,-0.015179423569579693,-0.03732837595884815,0.012383243520318384
